Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
667dfb32b8fd38cdd37e80b352ca78e56a87cf0fe298083a3c6bd2e5a31906d0,2014-10,Dorset Police,Dorset Police,-2.468228,50.593864,On or near DAWLISH CRESCENT,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
9521a21b8dc166e5193a4339cc5ddd637ed2abe60412cd23c5d2cca63d38c36e,2014-10,Dorset Police,Dorset Police,-1.860616,50.877119,On or near SOUTHERNHAY ROAD,E01020418,East Dorset 002C,Investigation complete; no suspect identified
4302fdbdcb656580238f0e140654570582d46503b431e6f6265a2cd14d6d67e6,2014-10,Dorset Police,Dorset Police,-2.313083,50.701183,On or near Parking Area,E01020490,Purbeck 004B,Investigation complete; no suspect identified
9b75424570be6bc194809fb8ba90e6771c3930a34b57a9ddd4572d01d0c03752,2014-10,Dorset Police,Dorset Police,-2.337692,50.712913,On or near SCHOOL LANE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
0f6e2e0172bcd73a2779a4b486132f1a79abd097b9df0948a54e15ed80088683,2014-10,Dorset Police,Dorset Police,-2.435590,50.714287,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
6052d6a3d119f27eb1fb84611a0a3c5ca927df50b1557e559931b350a8b8ad43,2014-10,Dorset Police,Dorset Police,-2.453203,50.618114,On or near LENNOX STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
7728375a5b123cf086dc07f413b7d3a0f4c90f5c2d0924dcb99f9bc24e5e565d,2014-10,Dorset Police,Dorset Police,-1.866363,50.875273,On or near THE LEA,E01020417,East Dorset 002B,Investigation complete; no suspect identified
ecc7acea77ca5e8d913be8c2fc842747d34b601646dd6d25aed6d631cffcd2fd,2014-10,Dorset Police,Dorset Police,-2.463281,50.632472,On or near Petrol Station,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
6952bb2b95372a2e9ebac9d348f7e311fb0c7fadc36b2ee8c30ec3d25b8c1cca,2014-10,Dorset Police,Dorset Police,-2.277445,50.658594,On or near FIELDS BARN,E01020490,Purbeck 004B,Investigation complete; no suspect identified
206497d2981c6b8a3242d3ca846b03f6a7ee9598ab6d9c71c759cd53cc573b72,2014-10,Dorset Police,Dorset Police,-1.775557,50.733250,On or near CHURCH STREET,E01020367,Christchurch 006D,Investigation complete; no suspect identified
98bb75dfd94954b92ca3a410e1259e04ed419cd2d225708572497ad5041b33c0,2014-10,Dorset Police,Dorset Police,-1.984141,50.799209,On or near Sports/Recreation Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
5030c16e32bb89fd8061e80a137265b5c8df95c284fdad9b44ff02586192adef,2014-10,Dorset Police,Dorset Police,-2.439542,50.711377,On or near GREAT WESTERN ROAD,E01032645,West Dorset 009I,Investigation complete; no suspect identified
02b15aa97d7c3d5123170043dcfd5e627ff3482ef8fabb62a976c7be68d79ba3,2014-10,Dorset Police,Dorset Police,-2.459476,50.601866,On or near NEW CLOSE GARDENS,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
