Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
556fa83480518e83aa2955bb85faa0cda0b767e92133c86c913bfd714ce015d4,2014-10,Humberside Police,Humberside Police,-0.358287,53.744403,On or near Hospital,E01012852,Kingston upon Hull 024B,Investigation complete; no suspect identified
c3e01a024596bf2ebdd501ae532f2bf71b04a97c435aff79bc074ed4153e1e20,2014-10,Humberside Police,Humberside Police,-0.332203,53.754767,On or near OXFORD STREET,E01012856,Kingston upon Hull 024C,Investigation complete; no suspect identified
8bf058a1c0437b579ce917ddcc1dd298da9efd3bad2c28045c582ecb3edced67,2014-10,Humberside Police,Humberside Police,-0.327182,53.752863,On or near CLEVELAND STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
6d675e1129277049859dac426d5015de2c0621ea781ec105ed065546c4e59d40,2014-10,Humberside Police,Humberside Police,-0.350756,53.756246,On or near TERRY STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
fb35e7047b0566a4e5169a1bf29df15f03fe3b2e60c16d6c281fbfe658376680,2014-10,Humberside Police,Humberside Police,-0.308613,53.756001,On or near JESMOND GARDENS,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
7fbfb46fa0416ecaa27fdd6497e140ade8c0a517f5d95e8f7e91c76dbd813c40,2014-10,Humberside Police,Humberside Police,-0.330980,53.751172,On or near JENNING STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
662d1cec889bf0fd90e1a174211304b60f09080a5ba9f73117c6d97361eed721,2014-10,Humberside Police,Humberside Police,-0.344227,53.749091,On or near MARLBOROUGH TERRACE,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
bdf6ca9806f8bbdda8926c11d6d0959dba81291a0c90d8d0bbdae01ddeaebe62,2014-10,Humberside Police,Humberside Police,-0.339880,53.745111,On or near JAMESON STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
f8b799b157648fefeea104a3bec6ecf51eb5cac263b5fcb9b834d78c8849fc0b,2014-10,Humberside Police,Humberside Police,-0.372981,53.734985,On or near SAPPHIRE GROVE,E01033110,Kingston upon Hull 031G,Investigation complete; no suspect identified
90d6af20c2ac1f6aab710839e2fd0ff4bd54c44a8e65975b2d1728504e4d11c1,2014-10,Humberside Police,Humberside Police,-0.312968,53.757833,On or near DURHAM STREET,E01012808,Kingston upon Hull 026B,Investigation complete; no suspect identified
352361f67aa0bbc3f16f29e8457b780e6c984c0ac75353697ccee1b4b268325e,2014-10,Humberside Police,Humberside Police,-0.313861,53.752578,On or near Parking Area,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
209d15e5d3afd5f7b18528ca4c1f1d312bb82a6a5f6912b59cde98a1046d4c9b,2014-10,Humberside Police,Humberside Police,-0.365768,53.730599,On or near Pedestrian Subway,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
c94a74ecffb0a04defc2ecf8be6e39a3be80355c01bd057ecb9f5945801ed138,2014-10,Humberside Police,Humberside Police,-0.334612,53.747178,On or near Parking Area,E01033109,Kingston upon Hull 029F,Investigation complete; no suspect identified
87a612938e96209c11743753c335b83c3a44791d2f796e8475fe15606c758049,2014-10,Humberside Police,Humberside Police,-0.392614,53.739754,On or near ST BEDE COURT,E01012860,Kingston upon Hull 031B,Investigation complete; no suspect identified
3a7eb5707996c02b9781650a2ed73073c1701a93f1276ecfd06a9ab37c6f304f,2014-10,Humberside Police,Humberside Police,-0.327182,53.752863,On or near CLEVELAND STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
c4e9110190dc3d2a6364c3225134028a45f6545260ee44eeb6fbf32a898c2a41,2014-10,Humberside Police,Humberside Police,-0.349148,53.754327,On or near HUDSON STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
eebb88a0c2db6e204046b08725fbbd48ca4b23bf2f550dfce131a9b54dc57324,2014-10,Humberside Police,Humberside Police,-0.377481,53.743721,On or near ANLABY ROAD,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
831e95dc02c2f4d8a93c6d3cd8dbc3fd09add82ded69a989c7ba8aaefd21e6b6,2014-10,Humberside Police,Humberside Police,-0.344710,53.746068,On or near BROOK STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
6a74d52de3ee11e1805effad51216d48b285f877384d4ce3f451123ba85536ce,2014-10,Humberside Police,Humberside Police,-0.372981,53.734985,On or near SAPPHIRE GROVE,E01033110,Kingston upon Hull 031G,Investigation complete; no suspect identified
02e83074d5e9c0df39d9792cc5b95b14a2bb8f51bb809ce0f63ada5ac9c73856,2014-10,Humberside Police,Humberside Police,-0.339180,53.742090,On or near Shopping Area,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
747c5c4b6a81aad9a6f350b4a7515c836a949567e4a435b2d4c3296e4cb8fcd6,2014-10,Humberside Police,Humberside Police,-0.342179,53.747175,On or near BAKER STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
6ab0d60eefbb6c7b0eac4341099c85497e6094e169aa4e2b77fe55ab7a711878,2014-10,Humberside Police,Humberside Police,-0.339180,53.742090,On or near Shopping Area,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
1740c56f3e00f794c744b7be061072227d71c17e5c25f1c614c6c02ce94d06c1,2014-10,Humberside Police,Humberside Police,-0.346599,53.745087,On or near Bus/Coach Station,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
8b61dcd63080feb29f5741cea20aef430ad7ae6253e60be8be2e782d3b2b767a,2014-10,Humberside Police,Humberside Police,-0.350756,53.756246,On or near TERRY STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
