Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ac4f47f262ea3ebd61b388979aa4fdcb80e69f4dd8f3cbb07d369adec3b0c4a0,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.182713,52.328800,On or near Parking Area,E01018151,Huntingdonshire 012E,Investigation complete; no suspect identified
c30b945cc05b5b2ac2f874fe25dd645c82ae418990fe193128695273ece68292,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133491,52.193454,On or near VINTER TERRACE,E01032795,Cambridge 012F,Investigation complete; no suspect identified
30e228ae82fc6df3f49c55aeca49bb235bba8394f82408c0f81ed3ba0b386bf1,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.228365,52.557751,On or near TUCKER'S YARD,E01015666,Peterborough 017D,Investigation complete; no suspect identified
824ab7a536d24db8f3a7d2dd9e4c280e51115ad27c4f4da8c5590fb79808edff,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244900,52.572212,On or near CROSS STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
b7ed51de5f524a1c864e898f7132bfbe454971d1c330ae7da8eb757a18fe67e1,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.250385,52.566386,On or near JUBILEE STREET,E01015622,Peterborough 016A,Investigation complete; no suspect identified
f9f78d5178122759fe6eb6d422ec9a3c4526d962a99d8c56b563b97489880339,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.069826,52.561904,On or near Supermarket,E01018081,Fenland 005A,Investigation complete; no suspect identified
f1997e3783a00296076584ed8835484bb3f84367a393f629a2ab39dad4419826,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238603,52.575418,On or near Nightclub,E01015599,Peterborough 014A,Investigation complete; no suspect identified
e1bb27563d239380b4c374e312f92f96cba37fdcdb6da4f29665d03c629319db,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.402621,52.347668,On or near CHURCH ROAD,E01018126,Huntingdonshire 015B,Investigation complete; no suspect identified
5d5f7112bcefc44396b6164592002a6cdc7a8fced096fde4433189fd0418013a,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243155,52.570838,On or near Shopping Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
af4f7d0968cfc45166b7066f2ee6c12c37cd0c191063c5702ff90d4290dd38d7,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.105977,52.219315,On or near OXFORD ROAD,E01017955,Cambridge 005A,Investigation complete; no suspect identified
b00ab87187004051628125cfdf6e104b8d7a381c99c5ec99a0f26c41d285005a,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.094622,52.381190,On or near WARBOYS ROAD,E01018196,Huntingdonshire 006A,Investigation complete; no suspect identified
d598d3e6b3596d80316cba9b7bfda45df3f1254d254b454f0f7e6679fc9c586d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.010597,52.584648,On or near A605,E01018081,Fenland 005A,Investigation complete; no suspect identified
53026e90e24fa455ffe2080089b16cf66e41364068d995f5a73e9b9db6d941aa,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134489,52.204811,On or near CAROLINE PLACE,E01017991,Cambridge 008E,Investigation complete; no suspect identified
6acb1530c103479656ef594292d02d6c9b2089409d2bd043effb9d3fa360e38f,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.261632,52.581225,On or near ISHAM ROAD,E01015665,Peterborough 016C,Investigation complete; no suspect identified
