Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e8f7574d6f527cb37091e0398b6b9f878b3192d9e590f5fb6d2fae44cf3b083f,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.508084,52.840171,On or near Dersingham Police Station,E01026655,King's Lynn and West Norfolk 004C,Suspect charged
7ee346d6f1a06f68ffdc04cde560e90023b4a00803e0de49412e2d716f0352a3,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.316188,52.764246,On or near THE BURNHAMS,E01026711,King's Lynn and West Norfolk 008B,Suspect charged
aa331cc551fe8a4989d4791cb7ac80b8bd2258bf212d6f0ebd4458e56fda493a,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.271572,52.660634,On or near BRAMBLE AVENUE,E01026530,Broadland 011A,Suspect charged
945463647474f55fc0f77f09f03db62ce4e370eb5c43fb24bd9b9c51f378a097,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.740593,52.606039,On or near THE STREET,E01026444,Breckland 012B,Suspect charged
f54d2185f355d467001ebb88cc9333d0279303bc065e5eb91992b16754299ccc,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.940658,52.681229,On or near RED LION STREET,E01026426,Breckland 005B,Suspect charged
0d81e5a25c9f3f21e3183801b0d119f6790ad4491c73dbd6a67b278382101c00,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.395659,52.755420,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Suspect charged
ec4ca7a0408ae0915a744e0767df6e31ec217f88728889e9041ed2bc014dcf3b,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.413054,52.738441,On or near Supermarket,E01026704,King's Lynn and West Norfolk 011D,Suspect charged
4d2d0d65cd3eaf1aa7707f08b1ede6f300931ec3f1ebd6a35f3b4e56015abac1,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.415504,52.606932,On or near POND LANE,E01026930,South Norfolk 008F,Suspect charged
57ca8ac5f86ac98d73e370c2b1e9cc52316800c6270043b534dc3a86f87a4f75,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.283060,52.626842,On or near TRORY STREET,E01033437,Norwich 011H,Suspect charged
e98fdba9cd4e50dea8fda5415876a999d8e0eab545210850486b0e1051e2e00a,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.710258,52.570900,On or near MERTON AVENUE,E01026619,Great Yarmouth 011C,Suspect charged
