Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c81d280cd2ea0c3066cb70497376d3fde4101e70a73686527b4cbfd78de7c66d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033120,51.704890,On or near HANBURY CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
f41269ff2fc7276be8ccdb7ef088ac821880adb0c6f50bf933674fea8ceeb27f,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.066002,51.717476,On or near PEAKES WAY,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
704b4d32a818931e3fd5adbf658ca094ab30bbd11faaa29ff0ad77ba52ca23c5,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035309,51.697804,On or near LABURNUM CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
35585151c45947049dfc975dff8818f14cc948ec0bccc3efada9e00aed91f22b,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036788,51.709420,On or near SYMONDS COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
62c7a1e089db38ea8b943cd38ff48ef36d5adbf38deca2b0a749cb7a2032321b,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e74610e7b152926a05c97baa30adfc41a06619b1146b8c44f0db87d46d902e89,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055923,51.703372,On or near DARK LANE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
5c6bddf34b75f7a96d9638e402192b1fb4f77741927c6565a32640e45f076ac4,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032921,51.684447,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
1aa722ce454630c7945724083104b440854583ab104cbd4272561410210f4269,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.016172,51.685712,On or near FISHERS CLOSE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
998b121d9ff89dc5417078e201a6cfb1015aeee1313a41af9bd1fea599db6774,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024510,51.716831,On or near THOMAS ROCHFORD WAY,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
376ee64739db48e1dadc610f6464c88e37bc03806f44033327a54c4c59f92e6f,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
