Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b761fef6b4065790552cb7770ce1d352530411e1b8eb0008ea6cb3d097fddaa8,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.391416,51.656084,On or near STANLEY ROAD,E01023860,Watford 009B,Investigation complete; no suspect identified
9456997553b4d389dda28190c3ee9ab9329bfddadcffc4906a7ce500bb493953,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.340704,51.771097,On or near HIGH OAKS,E01023671,St Albans 009C,Offender given a caution
4de49a24a60dd199851b0e367228667522e81a2b41f5ae5649afb7816c3ca03d,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.079036,51.795887,On or near MILLERS YARD,E01023478,East Hertfordshire 017D,Suspect charged
2bff0ef3308dfbe837909afb47e6776cf1aaadae15e8b332eb953504dc689543,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.224588,51.766829,On or near FOXHOLLOWS,E01023927,Welwyn Hatfield 011D,Suspect charged
48fe96e7028afee1840e91c5c449ad91e1d225467d0e877ed676aafb2c8b10a0,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.417416,51.655080,On or near CHILTERN CLOSE,E01023886,Watford 008A,Suspect charged
247b1bfc8c51e2564448ac41c258a30b11bebe9216a9527a135e3a739d0a4283,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.477049,51.752477,On or near COTTERELLS HILL,E01023398,Dacorum 015D,Offender given a drugs possession warning
20983a6e48d14ddb71caa5abe5d60e3ea64c87d0cd01c0f07c93bcd064cf35f0,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013120,51.760647,On or near Parking Area,E01023320,Broxbourne 003A,Suspect charged
74e20a3f2fa508240cac2c260b46f4b516ce23a4fb9aa13e157c3636719a64ca,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.211682,51.793061,On or near STANBOROUGH CLOSE,E01023917,Welwyn Hatfield 006B,Suspect charged
7722edcc1f39d3ec3c29427ea2cc2579da5b64903409df366c8a45eead33cd1f,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.215427,51.965403,On or near ROOKES CLOSE,E01023642,North Hertfordshire 009D,Local resolution
bf66e5909b7f5e334086ebf68a28e0881639ab674f55694066dd9dd96739267a,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034230,51.691312,On or near MONARCH'S WAY,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
