Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2f2e4cbfd95ec80fc5995746e65ae0c1bd59dc1d68e09dd5b84f606fcade747a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
2e4aab6cf4651831abfc5bf0e79a0e40c2b852f7c393aa4fb789cd878a5ebe79,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246989,52.576073,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
67679fe933afa90c4f492dc7160ece9311a046d9bdf43c42deb76b9b8306154e,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240662,52.581878,On or near GRANVILLE STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
febddb7adfc58c48d201ab0d4cd34082539706b8c1c6e9904740f239ef7f1b83,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240177,52.584028,On or near PRINCE'S STREET,E01015655,Peterborough 014E,Investigation complete; no suspect identified
3eb800de0defb299102e40f32307b89caf12bc2a87156b46cabe68af4938d565,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.219299,52.598758,On or near BELVOIR WAY,E01015609,Peterborough 007B,Investigation complete; no suspect identified
0771eee63dc2f1ff125608f340f5e5d7db27c8d761d7586f9e24e3aedfcb8978,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
80e7c1f581af58a1e8f60d9e90fbabf2ebd3345ac696356bc61f3ff335134fc2,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224061,52.599306,On or near SCALFORD DRIVE,E01015607,Peterborough 007A,Investigation complete; no suspect identified
b289e5ccff8716210ff423ae7dc825c8f6b477a984af1c1dd1cb73a24cb29754,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.071544,52.323729,On or near OLIVER ROAD,E01018168,Huntingdonshire 013C,Investigation complete; no suspect identified
abf83e806e14ca430d436fc018652fff6932dc49dbc9bc0eb7c6684ad11655eb,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.099277,52.445895,On or near ABBEY ROAD,E01018156,Huntingdonshire 003A,Investigation complete; no suspect identified
09078dffd33f71000fe49da171b2a259e9d324bf0f50fd6923097e020bf362d2,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.282685,52.434036,On or near DEVONSHIRE CLOSE,E01018191,Huntingdonshire 004A,Investigation complete; no suspect identified
73d63d6aa635f698e3db75db125a7694f9f9a81eeb5dd0633bb9cb5c772425e4,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.270467,52.228822,On or near BEC ROAD,E01018187,Huntingdonshire 019A,Investigation complete; no suspect identified
8e5e75693a1f0ea55b8748938345aff11522b4825e784d74da2ac7682c8f8436,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.172112,52.338905,On or near BYRON CLOSE,E01018144,Huntingdonshire 008B,Investigation complete; no suspect identified
44f27d09d6b51476a500f9795fe1103a61ef753b403eaebfda28e24703bba4d8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.237360,52.599424,On or near PRIMROSE CLOSE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
e58f2bb407ec734379193289e0cdecc9fef716672ca6c7ccadfaa93511a0f257,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.025003,52.493428,On or near FIELDS VIEW,E01018060,Fenland 008C,Investigation complete; no suspect identified
1c92b7f56f6308c5b79bcf618f217f44b5fb877944344aee0cf99d2e8a00ec60,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221975,52.547963,On or near BEW CLOSE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
7a4675adf99c5a53e66caff1513e596a6ce110e112ad492414a74461d7cf797d,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241255,52.579225,On or near ST MARK'S STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
2dfa7028546969c6217e1e7902d63146ec6a21ccf5860cdf4ac78b734d12eee3,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.110079,52.348170,On or near DURHAM WAY,E01018206,Huntingdonshire 006E,Investigation complete; no suspect identified
c2f007c431000811b128647705735953026cb545fb14d9f65009173dbcba8583,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221194,52.576759,On or near Petrol Station,E01015616,Peterborough 013F,Investigation complete; no suspect identified
db903cf79ad65b7508827671f1dc1728e6317d79097cedb9212d0704ce53931b,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.254084,52.609220,On or near TUDOR CLOSE,E01015660,Peterborough 007F,Investigation complete; no suspect identified
ce3638c497dd91d813462351c728d1bdefe6ff43caa869d2a51c48df49d0838a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.242759,52.391921,On or near WITCHFORD ROAD,E01033428,East Cambridgeshire 004G,Investigation complete; no suspect identified
ff063775afbb9ca8ec164e38b82899dd43e9fde167b1b4e7a87ff9f49518984b,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.267139,52.400178,On or near Supermarket,E01018025,East Cambridgeshire 004B,Investigation complete; no suspect identified
94cd5b14cf21602eed3b653938e46b0fdb6ba6ba1ebec07ac64fa038f248ac35,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.264479,52.399905,On or near Parking Area,E01018025,East Cambridgeshire 004B,Investigation complete; no suspect identified
cfa6c9363af32ee51c6bf196e15c7e6f94d61a55b36152ec3c547c6f85e5bd52,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246788,52.586284,On or near Petrol Station,E01015601,Peterborough 012A,Investigation complete; no suspect identified
6cb48040ecdd26c5ee13690204b20e09aa531b08a8afd6c57ea54b8127e9510a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.063400,52.332470,On or near BRAMLEY ROAD,E01018167,Huntingdonshire 013B,Investigation complete; no suspect identified
4fa926087a33a899a3f84afd612d5937933f180af6895f5507913c1e535125b9,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.161923,52.247565,On or near ASHCROFT,E01018135,Huntingdonshire 018A,Investigation complete; no suspect identified
f4e91714beccca32d47a658328c22a51105629950701e81b072e3dd7b5ec047f,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.271251,52.604221,On or near Petrol Station,E01015676,Peterborough 006C,Investigation complete; no suspect identified
a8738623356dd05adc7892280a5951b086b3558186e1ba042eb739bd7dc0efef,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.162799,52.671115,On or near OAKROYD CRESCENT,E01018063,Fenland 002A,Investigation complete; no suspect identified
7b166df6b0a53f0a4d5a87edd1499ca35f70b748198bcc40d77c10a51b304f33,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.135852,52.230782,On or near LAWRENCE WAY,E01017977,Cambridge 001C,Investigation complete; no suspect identified
e02cf51898b9d820e77d2b9d507e1bfd78d64f50fe3b2710643a1a4e9218fcfc,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129157,52.196751,On or near Supermarket,E01018005,Cambridge 012D,Investigation complete; no suspect identified
3df2da33a77e07bd90feec82c5aa71adfc91d8da846bd17d350186b508ad670e,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.070401,52.322020,On or near NEW ROAD,E01018168,Huntingdonshire 013C,Investigation complete; no suspect identified
8e82812eb90026a8a86cc30a61b0dcb1d3e818e48ca9fd654bc5a7542cd0f67a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243871,52.560662,On or near MELROSE DRIVE,E01015624,Peterborough 017C,Investigation complete; no suspect identified
648b32de71ca0629c4cc14e872bc916ac4ff8fa39b498327034eec487fa292eb,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.277806,52.534583,On or near BRIDLE LANE,E01033177,Peterborough 023D,Investigation complete; no suspect identified
7b04157bbcfeaeda859c6ff834f36ba5e9fea574014b746efd216c59cd96d266,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.285985,52.213304,On or near ACKERMAN GARDENS,E01018177,Huntingdonshire 022A,Investigation complete; no suspect identified
5e4de834e34c75c3a1be1e48edb7d3452ea9f2751d47c8d67ab0aab1cfd34502,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224226,52.586811,On or near Petrol Station,E01015615,Peterborough 013E,Investigation complete; no suspect identified
bad48be04149740b70e60a62bcb3fd21b60c41739594a5b65f0973201d3a89cf,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123776,52.204510,On or near EMMANUEL STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
10990057e7535e7b673f0a80ecffb8421da129720ca405dc1ba3e0145de5a76f,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.261777,52.515585,On or near MOUNTBATTEN AVENUE,E01018217,Huntingdonshire 001F,Investigation complete; no suspect identified
b8a4c8add3bf0d35ea65b080d7fee7a988b0913c4f6293717253949bfd01babc,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.145578,52.199862,On or near SEDGWICK STREET,E01017998,Cambridge 009B,Investigation complete; no suspect identified
ea6f0019c82b8e5f3766d60c7f0bc9df702565ebba0cd92e0706c98943a450b3,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.261777,52.515585,On or near MOUNTBATTEN AVENUE,E01018217,Huntingdonshire 001F,Investigation complete; no suspect identified
6ef1f74af220629de18902dc431f36b1f2b46806f7610f46f7b17e52ebdc022e,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.159698,52.661632,On or near KING'S ROAD,E01033112,Fenland 003I,Investigation complete; no suspect identified
f8be631f85852bda7a25ed9f6ff506ae341e002a58eecdb7efa93071a2d87628,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.257232,52.385651,On or near B1090,E01018113,Huntingdonshire 010B,Investigation complete; no suspect identified
d6a7a3e50865b3f84ce49d6030c142f51c4a3b64b4bae10a8967738fb5730c64,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243921,52.568655,On or near VIERSEN PLATZ,E01015599,Peterborough 014A,Investigation complete; no suspect identified
43d649a9cc54d0d8e95d1ce3e956626eb5bb0211b151f452615d45f35fbef73c,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.258605,52.595036,On or near LINCOLN ROAD,E01015632,Peterborough 010C,Investigation complete; no suspect identified
f53a57c94d4cb94d6b544cba998d816cd1f50443cf39edde0bbf35167fbf729e,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.178197,52.350490,On or near GREEN TILES CLOSE,E01018146,Huntingdonshire 008D,Investigation complete; no suspect identified
44cab596d0f4912d29b1d91204b915afa7111cc3767ae8cd70a92831b2095e43,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.169861,52.338304,On or near Parking Area,E01018142,Huntingdonshire 009D,Investigation complete; no suspect identified
1bf6cd243e730d12862c745a36aa5cc37b1e3eca7be50e45bc017bade46a075a,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.148049,52.227116,On or near GREEN PARK,E01017971,Cambridge 003B,Investigation complete; no suspect identified
743db2ab7bdfc4d25c3fb74f3154a9af0fa67a11333453c40c6c3077a0639f80,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154810,52.207382,On or near Park/Open Space,E01017945,Cambridge 006C,Investigation complete; no suspect identified
2e4bfe7be10ab33b0024478ea68a17929d3e1f79025d7115dfa9db1af8e56be8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.286652,52.579270,On or near TIRRINGTON,E01015597,Peterborough 011E,Investigation complete; no suspect identified
