Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce32d6a549a73027ab76a71986db1d34753e12b11d7f1ff846bdd44ff14969bd,2013-10,Lincolnshire Police,Lincolnshire Police,-0.429844,53.474750,On or near BRIGG ROAD,E01026387,West Lindsey 001C,Investigation complete; no suspect identified
5cf9b4af017e04d74e782108d910ae9181c7c7fa3d0de6346f75967dd518a3bf,2013-10,Lincolnshire Police,Lincolnshire Police,0.341243,53.139653,On or near SOUTH VIEW CLOSE,E01026095,East Lindsey 014C,Investigation complete; no suspect identified
61debe3cd8812e24ed366aec9d4d0fd1e49c4f5997500c9eef84bcb1d8803722,2013-10,Lincolnshire Police,Lincolnshire Police,-0.110623,52.906242,On or near Parking Area,E01026017,Boston 007A,Investigation complete; no suspect identified
82173e784659079649b6155c9dc3323fb62346d13fe8543bd55624b096b89ef3,2013-10,Lincolnshire Police,Lincolnshire Police,0.351142,53.188917,On or near CORONATION ROAD,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
574fbf1080808715a67e35352875d4ca7564facd5b3b8d36143cc454fd426afb,2013-10,Lincolnshire Police,Lincolnshire Police,-0.307629,52.952231,On or near HIGH STREET,E01026201,North Kesteven 012B,Investigation complete; no suspect identified
bd8e6182fc3657e639d86ea7cf0f92c19b2fe355f8d6f9e44e39cbfde5b88a6d,2013-10,Lincolnshire Police,Lincolnshire Police,0.009057,52.809496,On or near LIME GROVE,E01026252,South Holland 003C,Investigation complete; no suspect identified
d5db14b40dd76c193be369f6b835ec192d10a2035f6a2e6d1f4ec216c293f7fc,2013-10,Lincolnshire Police,Lincolnshire Police,0.240934,53.106699,On or near RUMBOLD LANE,E01026112,East Lindsey 017D,Investigation complete; no suspect identified
5926a382dca9fe86f6607d3b6d6ce61e16cdffc5391bba0b898c49aba55eb8f6,2013-10,Lincolnshire Police,Lincolnshire Police,0.019669,52.977094,On or near PRIORY COURT,E01026013,Boston 008A,Investigation complete; no suspect identified
47af5a089fb5f1e1b1fee17b488644e1d2b88e91093040720fe05cc496cf9096,2013-10,Lincolnshire Police,Lincolnshire Police,0.037555,52.986220,On or near FORGE CLOSE,E01026008,Boston 001B,Investigation complete; no suspect identified
79e7fe314d1da7e144dfb6b9218dd08ba1f7a862e6f25204aa4edf5d09aaee6d,2013-10,Lincolnshire Police,Lincolnshire Police,-0.540816,53.229306,On or near Further/Higher Educational Building,E01026143,Lincoln 005B,Investigation complete; no suspect identified
87db4b93d6197ec763e99ec210f9efb48788dd030df4cef02b1bd8f5b99c7f92,2013-10,Lincolnshire Police,Lincolnshire Police,0.321186,53.101807,On or near Park/Open Space,E01026056,East Lindsey 017A,Investigation complete; no suspect identified
b240b2e091205481c49b83a989c9921de3a62c73ed0974a9200cdeaafa78d371,2013-10,Lincolnshire Police,Lincolnshire Police,0.322406,53.145794,On or near MONTGOMERY ROAD,E01026094,East Lindsey 015B,Investigation complete; no suspect identified
47f87a91b8bcb8ce80a8ae2d313efc41f074882b01b458d6e8b714f7e2bbb613,2013-10,Lincolnshire Police,Lincolnshire Police,0.251870,53.352471,On or near POPLAR AVENUE,E01026074,East Lindsey 005C,Investigation complete; no suspect identified
6199a94ef08617b22e35229b78a2fa066821cbd25063437178fe93f7d5c4a988,2013-10,Lincolnshire Police,Lincolnshire Police,0.259157,53.333138,On or near SEAHOLME ROAD,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
f58f40d831475fee4f274496b1319c101119b4f7fcc7bd977b4a9f49597784d6,2013-10,Lincolnshire Police,Lincolnshire Police,-0.009527,52.993249,On or near CASTLE ROAD,E01026022,Boston 008C,Investigation complete; no suspect identified
781555d50569071229ba3715ba199fcf074736345aa4064b8f8d257d3040f4ad,2013-10,Lincolnshire Police,Lincolnshire Police,0.321186,53.101807,On or near Park/Open Space,E01026056,East Lindsey 017A,Investigation complete; no suspect identified
0009a274695da740421689ba21406de5d32a1654eb7af487ba597730d9b9e1e8,2013-10,Lincolnshire Police,Lincolnshire Police,-0.534791,53.235102,On or near PRIORYGATE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
8b7c47c11a155433c9b350a578bd25e82008c88e76cfe9675530258cf5a13d14,2013-10,Lincolnshire Police,Lincolnshire Police,0.236289,53.106714,On or near HIGH STREET,E01026112,East Lindsey 017D,Investigation complete; no suspect identified
018d6d38d6dace9aa8471d1be2c7072f7dfee4c7c415c745867a786c5ea6d248,2013-10,Lincolnshire Police,Lincolnshire Police,-0.331563,53.390786,On or near LANCASTER DRIVE,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
e4b84b7af8d30824ed0373c54c90e2ab3d1da1994b505f3faee702115d40a1b7,2013-10,Lincolnshire Police,Lincolnshire Police,-0.617624,53.178621,On or near Petrol Station,E01032994,North Kesteven 003H,Investigation complete; no suspect identified
d86732396218d9bd99a45761bb6107567d21a32186d0dad6b5bd69a462f74718,2013-10,Lincolnshire Police,Lincolnshire Police,-0.543571,53.253198,On or near GLYNN ROAD,E01026150,Lincoln 001B,Investigation complete; no suspect identified
42735d7ff107d01991e28f3a3a962c2f3cce495fb092bd34f4af5c43eecf0e84,2013-10,Lincolnshire Police,Lincolnshire Police,-0.774647,53.392622,On or near Petrol Station,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
47c0b2b4fca0a88d52d954099014aa42fd9b09aa821e0b76373e045dab4c76cb,2013-10,Lincolnshire Police,Lincolnshire Police,0.093531,53.171193,On or near Parking Area,E01026101,East Lindsey 013F,Investigation complete; no suspect identified
40f0b039355b12ea32e490326ca9ef48fe8b28b93d1c96b36dc75585185140fa,2013-10,Lincolnshire Police,Lincolnshire Police,0.120170,53.010930,On or near OLDFIELD LANE,E01026009,Boston 001C,Investigation complete; no suspect identified
ee0edcb50895f0a93fce82a63313581ed22c9fee42601b0b7c1ac17d47310541,2013-10,Lincolnshire Police,Lincolnshire Police,-0.187183,52.976896,On or near BROWN'S DROVE,E01026033,Boston 006B,Investigation complete; no suspect identified
d56bb925c74bc1cf1fe7bbcdc52f7e5d9a1141a8db0527a232ce0994b6b58d94,2013-10,Lincolnshire Police,Lincolnshire Police,-0.320458,53.494010,On or near RAWLINSON AVENUE,E01026368,West Lindsey 001B,Investigation complete; no suspect identified
23e7290efd8017192dbb2b04fcee8c7324549b67763c53164adf471fd5120b9e,2013-10,Lincolnshire Police,Lincolnshire Police,-0.749887,53.391844,On or near HARPSWELL CLOSE,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
eed9abb66e163e6b37029d38b5b939a04cc2f5e7a3076c2abc2165f8f447441d,2013-10,Lincolnshire Police,Lincolnshire Police,-0.002761,53.366921,On or near BURNT HILL LANE,E01026081,East Lindsey 004A,Investigation complete; no suspect identified
c48b0aa1ec4bcd2b743615554f36c43ece39ff9e068043b5adf2754050a4d121,2013-10,Lincolnshire Police,Lincolnshire Police,-0.566438,53.362715,On or near MIDDLE STREET,E01026399,West Lindsey 005C,Investigation complete; no suspect identified
c70e938626b49aa403485162fdf229d262fdf508d5d8cc1cf0643cbb2178d232,2013-10,Lincolnshire Police,Lincolnshire Police,-0.535670,53.233917,On or near MINSTER YARD,E01026167,Lincoln 003G,Investigation complete; no suspect identified
203799ded95e6d611264592f336d6ea2fd535f0abac2dde8d08c1a069e3474b1,2013-10,Lincolnshire Police,Lincolnshire Police,-0.424768,53.025025,On or near ST JOHN'S CLOSE,E01026209,North Kesteven 009A,Investigation complete; no suspect identified
96f56ac348b92e8552d38c67d42b280f6766b1f7ee3f1a48b0f087022fb87c4f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.642234,52.903403,On or near WILKS ROAD,E01026318,South Kesteven 006B,Investigation complete; no suspect identified
5f6106f7a90d96b994465948bb81f119e540fe2fc65b43c431f4772bcf06251b,2013-10,Lincolnshire Police,Lincolnshire Police,-0.421557,53.028012,On or near JESSOP CLOSE,E01026209,North Kesteven 009A,Investigation complete; no suspect identified
8c2e4dae47ec4fb95cd84631bed1142e9e63536ffac33fdc3ffc0eec52f0b471,2013-10,Lincolnshire Police,Lincolnshire Police,-0.105890,52.844275,On or near RESERVOIR ROAD,E01026276,South Holland 001E,Investigation complete; no suspect identified
d5acf6d4c1c341b5c872426a47779ab653400f6f057666610c3da07c7387076f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.176252,52.799794,On or near DARLEY'S LANE,E01026259,South Holland 005C,Investigation complete; no suspect identified
c31df4df7c5e2f50fa353e3295c7a4da64dbdbdcdec82234b420d634951da802,2013-10,Lincolnshire Police,Lincolnshire Police,-0.545572,53.241491,On or near BURTON MEWS,E01026151,Lincoln 003E,Investigation complete; no suspect identified
fc44b792ce609898b504a6a31f1651da4ffbd249ed3372eee27f106684f1179c,2013-10,Lincolnshire Police,Lincolnshire Police,-0.143129,53.094476,On or near LANGRICK ROAD,E01026051,East Lindsey 016A,Investigation complete; no suspect identified
275f80cde847fbde5b313ca084416d411c0c4d52cd2fc73d1c5a84d578199511,2013-10,Lincolnshire Police,Lincolnshire Police,-0.166991,52.785455,On or near SUNFLOWER CLOSE,E01026264,South Holland 009C,Investigation complete; no suspect identified
10d9a527b396a9be0a476fb18143e96cdb51045e566cacd6f26085ccecf6e311,2013-10,Lincolnshire Police,Lincolnshire Police,-0.022526,52.979764,On or near Supermarket,E01026036,Boston 003D,Investigation complete; no suspect identified
e7652b4da9f01a32809a7c81be0fee5e09db825368c7792df4c50badbb86d57b,2013-10,Lincolnshire Police,Lincolnshire Police,0.331399,53.147003,On or near THE CLOSE,E01026092,East Lindsey 014A,Investigation complete; no suspect identified
0c3103a4a3d69d99ee37f67b626b48f7878c936d934e007a2291be9a6c7b398c,2013-10,Lincolnshire Police,Lincolnshire Police,0.014444,52.974279,On or near WARD CRESCENT,E01026012,Boston 004A,Investigation complete; no suspect identified
