Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1ab501040baf37ac366ba8805961f0caa7faa6a8debe6bb5394c831eea0a79da,2013-10,Dorset Police,Dorset Police,-1.878658,50.825504,On or near BELLE VUE GROVE,E01020423,East Dorset 006C,Investigation complete; no suspect identified
afa59d48f01abf686fe9f64b415fe99311094b83d5b741011cf0ca9ace3f7ee7,2013-10,Dorset Police,Dorset Police,-2.475842,50.614822,On or near NORFOLK ROAD,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
aa2e05f4ca382666c92e1b10c1f55a280b1ee6e66c9bacf434ed8efcc4415895,2013-10,Dorset Police,Dorset Police,-2.056514,50.769305,On or near CRUMPETS DRIVE,E01020409,East Dorset 005C,Investigation complete; no suspect identified
d466fc089b13bcd71f22455a6c22b2e1302072a21f91a1a6a87475dc8cc40278,2013-10,Dorset Police,Dorset Police,-1.884452,50.796221,On or near NEW ROAD,E01020395,East Dorset 011A,Investigation complete; no suspect identified
ce5154ef7b9b38008dc355af7cc1d73d8ebec5c8fbc94892a6e6ab84c3e35e73,2013-10,Dorset Police,Dorset Police,-1.884452,50.796221,On or near NEW ROAD,E01020395,East Dorset 011A,Investigation complete; no suspect identified
d504968c5b966e6823e871495547763fc5019879201ab066df50d605848aef6d,2013-10,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
126d6b7f2a2af3e8139ae9df9a88dd46b96298df6c5a2ae0747bbf0ca761b1df,2013-10,Dorset Police,Dorset Police,-2.457671,50.647395,On or near SELWYN CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
cb98f2afd001906e4d92adf401e21c5645ba39d04f5f6d88fa9794a941a8c140,2013-10,Dorset Police,Dorset Police,-2.282459,51.042588,On or near MATTHEWS PLACE,E01020447,North Dorset 001B,Investigation complete; no suspect identified
7da7746e8bde7fd70a13500b4c081c45addf15f6b065e66d9e06d20ab632728d,2013-10,Dorset Police,Dorset Police,-1.959728,50.973665,On or near COBLEY CLOSE,E01020397,East Dorset 001D,Investigation complete; no suspect identified
d77c9764a099dee3e658f3e541f5efce10fe5e0a76401f7fb91faf855a9cde59,2013-10,Dorset Police,Dorset Police,-1.962631,50.832971,On or near HOLT LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
