Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
791d41cba42262389b1252d104c2d3b9ce6ca7f67c8fb9f00a6b4df64e4a6d0a,2014-08,Dorset Police,Dorset Police,-2.757196,50.734251,On or near RAX LANE,E01020500,West Dorset 006C,Investigation complete; no suspect identified
fb41eb87298e1b3477147794f749d42c75b34e4eae83bc48342b849d399cc7d0,2014-08,Dorset Police,Dorset Police,-2.109533,50.689340,On or near FOLLY LANE,E01020485,Purbeck 003C,Investigation complete; no suspect identified
c8d2b3048844f3d229e2ca7b85617cf84857befed234e4df81d92ab60e6dd023,2014-08,Dorset Police,Dorset Police,-1.940546,50.802729,On or near CANFORD BOTTOM,E01020408,East Dorset 009E,Investigation complete; no suspect identified
254324ccf29bf64bc2652659acb333737482737ea46caee4dbdc1947259845cb,2014-08,Dorset Police,Dorset Police,-2.799491,50.765695,On or near WOOD LANE,E01020517,West Dorset 007B,Investigation complete; no suspect identified
dbd141315a2decb554c5dcdcd44916551d17287c842a9a602bce0691ef23d6e2,2014-08,Dorset Police,Dorset Police,-1.726729,50.750052,On or near VERNO LANE,E01020372,Christchurch 004D,Investigation complete; no suspect identified
bdc6fa3fb9c57990fb277b75cf841318d62f8fd13592396aadbed6e50717a0bd,2014-08,Dorset Police,Dorset Police,-2.760544,50.733645,On or near Supermarket,E01020503,West Dorset 008B,Investigation complete; no suspect identified
cbe17718185f06e5ff653fa760d43467e42b95d4158f3414f7d8923fc57951d5,2014-08,Dorset Police,Dorset Police,-2.112050,50.688178,On or near COOPER'S CLOSE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
a9b3dfa6d640828f0bf2b4960c77ff58eb0ce2b9d209f85aac30ff712f32101f,2014-08,Dorset Police,Dorset Police,-2.306887,50.927254,On or near BRINSLEY CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
817a184ea3b60c3bdb732adce15da3aff359033b1bfb1da1cfbe9272f83b7fd1,2014-08,Dorset Police,Dorset Police,-2.381654,50.677759,On or near BAKERS PADDOCK,E01020505,West Dorset 011A,Investigation complete; no suspect identified
2f07dc3c42210e388a36a9318790dfc3c002d22427092b72f9de2a819f4e144c,2014-08,Dorset Police,Dorset Police,-1.880002,50.871898,On or near HOWE LANE,E01020415,East Dorset 003E,Investigation complete; no suspect identified
1b6ee5eb8c333d3ec0a40e0ae28546c2f14f2101891114a690ca067e48772b98,2014-08,Dorset Police,Dorset Police,-2.196937,51.003162,On or near KINGSMAN LANE,E01020457,North Dorset 003D,Investigation complete; no suspect identified
62be5afb1a8cefe3303ab5538e7499ed5998f45c95bbe7885ddacf402dc918a1,2014-08,Dorset Police,Dorset Police,-2.440705,50.702497,On or near ELDRIDGE CLOSE,E01020525,West Dorset 010F,Investigation complete; no suspect identified
cede14571278f3c9cf6c9bf65aa88ed255e453cf95d09ffdf3075dcb83258ef3,2014-08,Dorset Police,Dorset Police,-2.452314,50.618324,On or near MELCOMBE PLACE,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
433a7f75b1ff48cd2cf9c19c09ec8c0ea7103a7c367274c53b494b19252ea0b2,2014-08,Dorset Police,Dorset Police,-2.028007,50.738875,On or near UPTON COURT,E01020472,Purbeck 002B,Investigation complete; no suspect identified
5d34cb2f75cf56260204dba3a1fd920019c158d0d5920b8a68a34eeab4ea18fa,2014-08,Dorset Police,Dorset Police,-2.455195,50.615103,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
