Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d4ea7b0d980bf5abd3b0ebe6b81e88893b13254ca616d3806d69673f1e072428,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.148780,52.642766,On or near Sports/Recreation Area,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
8b4d15e039a8042b6b44ff0074241f2128d83470c0ebab656092abf7fa36fb8e,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.285197,52.630695,On or near WELLINGTON LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
67aa3f7542f86301e4db040696a63f3b0264742af84901afbf1df5fb7e979238,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.418235,52.717514,On or near SUMMER DRIVE,E01026744,North Norfolk 014A,Investigation complete; no suspect identified
9ea8b47eb97e5142b73f0f39e78ee9632bb22f30906c6ef6f53459cbb389acdc,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.521403,52.569061,On or near GREAT MAN'S WAY,E01026728,King's Lynn and West Norfolk 018C,Investigation complete; no suspect identified
a75bbca122be822cba256b9bb578ce356955f16ec716eb6642a4dd801d864b37,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.386219,52.755682,On or near HARROW CLOSE,E01026705,King's Lynn and West Norfolk 011E,Investigation complete; no suspect identified
7f5cd16c7dd987550d2a8afdad9f783fbc4240622735b6001839ca24f32579fe,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.540298,52.783017,On or near CHURCH HILL,E01026718,King's Lynn and West Norfolk 004D,Investigation complete; no suspect identified
f8ab277f43bad047cb20cd4f83972867660d4fc4d68cecaf1e9256c5fcec438f,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.942293,52.682870,On or near ST NICHOLAS STREET,E01026429,Breckland 003B,Investigation complete; no suspect identified
535e6fc11516b881d80e9999e7d8bd3e9b48de272c9849d10efa632568706dc1,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.709667,52.562851,On or near WOODFARM LANE,E01026617,Great Yarmouth 011A,Investigation complete; no suspect identified
cd643d13e05f6aeba60baf9ce54eab28965f793826015520d6dfcc320b21058e,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.733517,52.601362,On or near DUNCAN ROAD,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
3e77a770c7ef1a4d7fb6bbb96fc9f8c71cc109cb9c7d79630aed23d98540c994,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.293950,52.629354,On or near Shopping Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
91964833af12dea41f3e272a85a84bd076aab3153c97c980a68d3a8676be06b1,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.302641,52.628968,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,Investigation complete; no suspect identified
d112e9e537a45401d8e8520326ab9a0dcbed534ff9c90b00f19e73d3668fef80,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.566969,52.807405,On or near CROWDEN ROAD,E01026786,North Norfolk 013D,Investigation complete; no suspect identified
394a6e88802c7ef370a250e42df62ab1557bb00490710591852b40384ca659ed,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.185494,52.633870,On or near WARMAN'S CLOSE,E01026883,South Norfolk 002C,Investigation complete; no suspect identified
1d14516f2c7e9f53c04ba7f9f923d8f17e11ee17bc8b2083c60b0308556477cd,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.216439,52.940433,On or near ROBERTSON CLOSE,E01026771,North Norfolk 001B,Investigation complete; no suspect identified
c6a9b08b115b2dbcafd01bb52a44cfc4740d40cab972a9290672f73baed6e79c,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.710210,52.569112,On or near CAMBRIDGE AVENUE,E01026619,Great Yarmouth 011C,Investigation complete; no suspect identified
ff511c1d12981db340eb1c0e40ea005e4a777d6c21cef45afb9cdfc5f9b0b867,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.514488,52.570207,On or near HIGH STREET,E01026728,King's Lynn and West Norfolk 018C,Investigation complete; no suspect identified
2f10b398335ad1cda95e681e06b402a7690a5c8bce5dfa78d10588a40d02a70a,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.287660,52.629844,On or near WILLOW LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
