Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ad0b9951811b6fa21a10de541741937dd0ca26a883a5fa33622af7f9e84e2603,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038796,51.686092,On or near RAGLAN AVENUE,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
c222c0bf1776484efd5008a493fc995b23bb4da8c18892158cb2aebc665af9b9,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036124,51.719076,On or near Shopping Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
7fe48dc40dc038ad05049ab09a286b0322358883252ff23111055c9b631023b7,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030685,51.684301,On or near ABBEY ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
ad3055eebf07fa2e1b3c387ca2410afdd64bb7ecf89d57176556bb1f0db56351,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
9c23832757d878d27eb5d1471100c7480b449e84a84cc68d73f0758d38af99cd,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
3d4cca391ab447472e69dbf78bc7099b629f5c4c2230885b25b0610374f6e873,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
479e1f7b9a5af289b3cdfb04034e7837c83176c076a62403b0f8ce70269b064a,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035114,51.699303,On or near WALNUT TREE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
6695f39cccbf5eb42a8dc58bbd64764ca144a135981493d1f8fdb719307859c8,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
0dcf091750f74521f062f948cd841cbf6d328c672ea756a9ad568a4f54f2a736,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030837,51.702145,On or near OUSDEN DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
6dee3ca0534aac7d8c56ed645e1e7667e3a629014e699b7e74e38e944cd24c52,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036202,51.682523,On or near M25,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
2a69063d38e6224c2ef54804ddd5ae3d20a9b6f2b031a02abe4073c15e310c4a,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039704,51.713974,On or near SAUNDERS CLOSE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
0018d0c073ab3d708625ffe5a0aeb62c91d4023f8ab6a15fdcb9d757b814585d,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
5a31c9e27911984dfa004edaddbd378dd3350923ce4ac1b2883176e0ae8b2303,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.084717,51.725435,On or near DAHLIA CLOSE,E01023307,Broxbourne 006A,Investigation complete; no suspect identified
409140582584fe579789b8ee884dc99aead4d2bc14ea649d2c584a1a6bbd0eda,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
c568f46327c858d10b2e40b012096c34f945f38e19c52de5224c12f8bb0bdb71,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027385,51.696997,On or near GARLAND CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
7b32bee80df218f83f8e3eb740db302d0dd0732ddc2bbf719cd05b95eb7bd069,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030300,51.691857,On or near TRINITY LANE,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
0a0d3fa9939aa5bca0e33248b139b6171e1d00b4d2ca6a1eebffdfcaae7a4acd,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026681,51.688901,On or near EASTERN AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
aacfa47d847aff01f515ae8be5648d81942bec34e4fe54c9b95f2e184f6b6b3e,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
4aa54294cfca0d83dc74558d2fc8cbd0029b0223e54515e99dc807cb14310529,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050165,51.711729,On or near FLAMSTEAD END ROAD,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
f270ec7dc326eb5be69d7cbec46503842c76d9ccb23b1e796a3db56ae315801e,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
7190fc5532a1df898980e5df240c65e47b46fef37e808903660dc9f85ee41f0d,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027356,51.713309,On or near MONTGOMERY DRIVE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
e3a6bade8012f849d8d1877bea3ed664175804f24d0754afea175af38f66c8ec,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033943,51.713608,On or near BROOKFIELD LANE EAST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
b0642be0ff40edefb9932e0d53399cb60f4804cd8b3352da282acaeebea6afa1,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060091,51.714537,On or near Pedestrian Subway,E01023324,Broxbourne 009B,Investigation complete; no suspect identified
ada2e629f1e2b82ab6036d3215cde887710a0d00cdd8473eca9893af7846a61f,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041675,51.690789,On or near Park/Open Space,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
1cbcecf7d550f5c59139dcfee89ae7824a063ec9370ddb24c24b88def9a915d2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
47dbb885364a25d01847830bb0452c7e8687527975a1edd984b1720dbd8882ad,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032211,51.686494,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f879ae2eac9397bf1c18ac1408b8c38025b10e49fa6685d8f571266a58c3eb89,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
5dbc02babab24f0ff57593fcc3c50a148e4fa8371d45b2fc0c9797924b68ade1,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021712,51.684735,On or near ALEXANDRA WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
b58f7c375a55ed5cc06fa2470315b31ea3ceed68930ccf77e7cccce798aed132,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
3259434e54d54a76e1873551226f6ea5d6390d91f03f34cdc85c519f61271d3a,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
d09e6f893577ad44185e84a725d252d823707b60be406c32bb5789367deb880e,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015614,51.683913,On or near Sports/Recreation Area,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
c61820796747bc95c1a5ba156a4a02c01e7cc3804b9a6b09ee33bfb9ae478f8a,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.087803,51.710289,On or near Petrol Station,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
7f21095b681010c8229d8df42a86b96cd2fa62d972f5198529ba02a44d1d72e6,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.047273,51.707967,On or near KINGSLEY AVENUE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
922c427956e0cb6336e0b71ef85f8aaa76190967e55f313e9efe1254be9a01ed,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
3d60a656c329997ee6a3a523f6a4f09011a9d88251b47040267c681dfabf1dff,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030837,51.702145,On or near OUSDEN DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
c808a77dbf6f451b65c04570789f95c24bf768f4e6fb2449b70c72ac6b18ddef,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
e781aabf6491aca719340ae947d9cbd7b143938f864948bd7b1c7f6c01fc233d,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.057034,51.697365,On or near BURY GREEN ROAD,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
f7d6cbcc85c882cbcb40812c29fc891e645c4a5c71378ca171a7d3933f709028,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033715,51.706860,On or near NIAGARA CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
074b42e41f931441695809ea4620a7b93d04e4cdbf3ed4c125acb28fbe49e3a7,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045116,51.712661,On or near ALBEMARLE AVENUE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
5c19f9f8fe375714577971b2e9cac93da901c9fd155fb696269fbb606755589d,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035269,51.712093,On or near DAVISON DRIVE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
5c90c5fcc5313edc8ad58a8437e841020fd04c673b482b161ee14fd2757acd75,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048190,51.704467,On or near CHURCHGATE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
50eff5d7d171fa7f116cd994714722a9ef6be272d87d3f7c5c00580df9506347,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
70b71243b75053adc72e3a8e727266dd414660e2ab17d45898a4a0b22b4ea265,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028378,51.714423,On or near CUNNINGHAM ROAD,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
ff9fc59dd9044ba605fec02ab383cc741c979efe7680d6b7aaba8b05942ee749,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039258,51.706197,On or near RAINER CLOSE,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
