Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6999d37812c1c05a612e752ae850ea6d1e5af7e36e933e56c8a2ea691c716621,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
f911dc385fdc9a17b38ff562415b5c177cf6880726dc969343db4f6e0d9f7310,2014-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
3547e872036c6e2c0125a512a3e6d76339184ead6cd18d807eeba3aecfa02d8c,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
c63e302cefc5cd7e064a43bfc25a066fdf6fac268d723bead653288b0b5cb3bd,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
a2c545d1a1a50cec6633f2b030ef50b990ecb4d39f2608f2d7b9bf6ff7ea6909,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
c2108199245a5e7aab04539941763a532312de2d8d8fbf478b775fcc93a87c71,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
1138389baae03e64115aacd85d49f5378f82f578f8c0147b0d3974287e68fe95,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
1903bfec77983e913c35f9f4c0671eae4fec6b5200ff5c5645caf5801b19937f,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
d14fc7ade4994e07398c5f0df58695f74e69e756de5380ba05fdf349267c3fab,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
5c1bfa58e4b6f68edd58c0831f617f944da0596080b01c33c444aa8804d97020,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
d21ee17fbcb782887ad49bb37c2d442ea285c0fd0278c2bf1b33a428fd0a3498,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
0938ba6f32ebead45d6fd8ecacad858220b2d0194b96825dafb3db1a6aed305b,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
51a440808c6b80e93d05b09d5b540c217b0c12639edeb71da4901f3435bfacaf,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
2499ef62ea992702560ce08e1c0d907684f6017fc5e605a07c7bb435354ad99a,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
71c664b2659f160376e2c1d5dca0dca03d33f5d80978ddb62ffa671b5772069a,2014-12,Dorset Police,Dorset Police,-2.491445,50.610648,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
f27fff6ba67bd80c468f75d86ec3f0a6136613b6cefb761db34f0530734e9c08,2014-12,Dorset Police,Dorset Police,-2.444482,50.645126,On or near HOLZWICKEDE COURT,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
29824468b7cbbede6c9b4859c7592ad79fd3b878bf660281413813cb4a2376e0,2014-12,Dorset Police,Dorset Police,-1.972302,50.613121,On or near Petrol Station,E01020478,Purbeck 006A,Investigation complete; no suspect identified
5fa5e23e06904d6917900d95b3ed185f17e29055d2cbdc557931d5ba9a065adc,2014-12,Dorset Police,Dorset Police,-1.793493,50.740216,On or near BARRACK ROAD,E01020361,Christchurch 006B,Investigation complete; no suspect identified
a4c23d7608bb6db0dbd137742b639b6f4d602dc72776c1aa89894be57644d906,2014-12,Dorset Police,Dorset Police,-2.435021,50.710980,On or near ARBUTUS CLOSE,E01032645,West Dorset 009I,Investigation complete; no suspect identified
ac1d69829be82e774dd50f7467d18504cd809a24c520c5ed55e4ae13262ef946,2014-12,Dorset Police,Dorset Police,-2.249067,50.898958,On or near CANDY'S LANE,E01020446,North Dorset 005C,Investigation complete; no suspect identified
90d2dd56ca93c536c1b883f6f9116b00762407f5c10bdc89f347f5bb92903f10,2014-12,Dorset Police,Dorset Police,-2.436416,50.716362,On or near NORTH SQUARE,E01032644,West Dorset 009H,Investigation complete; no suspect identified
51c9b9400544edd58b52bb1571cffda97845e83a771459c658bd4cb74f4dff6a,2014-12,Dorset Police,Dorset Police,-2.714526,50.720959,On or near PORT LANE,E01020507,West Dorset 007A,Investigation complete; no suspect identified
fce913894c6b9133f0097cb78d6191c217ea1f7535e2ab88603b899ff8036b1e,2014-12,Dorset Police,Dorset Police,-2.458403,50.613552,On or near A353,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
28ae5924045afd1e2fcd464daf8e2e29c4c17ce4526933f73ca66d8a0c1c059b,2014-12,Dorset Police,Dorset Police,-2.269054,51.033322,On or near ADDISON CLOSE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
84b6c1c190888229ddea51a336cd064c93fd36b10b829cb6c1be091e349b3a08,2014-12,Dorset Police,Dorset Police,-2.453203,50.618114,On or near LENNOX STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
95e572336bb89019eb010b630d0f389617b0976d3e745738b2393ebd2675101e,2014-12,Dorset Police,Dorset Police,-2.439577,50.710522,On or near Parking Area,E01032645,West Dorset 009I,Investigation complete; no suspect identified
8c7ffa60d333831e7fbed9c399accd0703da04176ff459e59998161796702faa,2014-12,Dorset Police,Dorset Police,-2.439577,50.710522,On or near Parking Area,E01032645,West Dorset 009I,Investigation complete; no suspect identified
f24ff0468c2045c8168b08840b8be63e09fb50fb6156163359f70d9dc9b509fb,2014-12,Dorset Police,Dorset Police,-2.442773,50.558081,On or near ST PAUL'S ROAD,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
c740bc84351444c98d4511aed1970b1e3f84cf995420c9df5ba766660e513d7c,2014-12,Dorset Police,Dorset Police,-1.732991,50.730705,On or near AVON RUN ROAD,E01020356,Christchurch 007C,Investigation complete; no suspect identified
