Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01c222accbffb05985b96ca86026a941a954919b276412f8448660a2b8e34bc4,2014-01,Kent Police,Kent Police,,,No location,,,Offender given a caution
8b96892e2138a489f27fd64d0181c6e7681402986376c8515141e86c0bc12143,2014-01,Kent Police,Kent Police,0.853130,51.158939,On or near PEMBURY PLACE,E01032820,Ashford 004I,Investigation complete; no suspect identified
2ee497e56dd1d393b8be4c95d9f6b940eae99cfb1240eaf31c2e7b7e5b40a712,2014-01,Kent Police,Kent Police,1.383985,51.387861,On or near UNION ROW,E01024678,Thanet 001E,Investigation complete; no suspect identified
519853be0c5c629d28a849f7b01bdb3e26549a4415c99d422d2c5e2db4b269cd,2014-01,Kent Police,Kent Police,1.060092,51.269052,On or near INGOLDSBY ROAD,E01024128,Canterbury 019A,Investigation complete; no suspect identified
baeec51203f89f08ca14c4802e47fb31fe433f103c0174289294315e05e78813,2014-01,Kent Police,Kent Police,1.090113,51.282681,On or near CRADDOCK DRIVE,E01024092,Canterbury 014D,Investigation complete; no suspect identified
76a373cdccb5800b3b1bc76338c606a280b8a24cb52aac11ad688fd1233486b0,2014-01,Kent Police,Kent Police,1.384330,51.391359,On or near Margate Police Station/Odell House,E01024678,Thanet 001E,Investigation complete; no suspect identified
74d68dd450facb935bce202d2c54060e1843dae4c519416177549987865fe159,2014-01,Kent Police,Kent Police,1.066300,51.270562,On or near ADA ROAD,E01024128,Canterbury 019A,Investigation complete; no suspect identified
f6067326c335e492b62513322b0eb5ef9b49218e8d2ae96bd3875a58de1b55eb,2014-01,Kent Police,Kent Police,0.691087,51.089111,On or near POPE HOUSE LANE,E01024032,Ashford 011C,Investigation complete; no suspect identified
cace90e24f94165bcd95fd6fb7e3e4ca801692c025521bd19892e55ccff2837d,2014-01,Kent Police,Kent Police,1.426125,51.367691,On or near NORMAN ROAD,E01024635,Thanet 009A,Investigation complete; no suspect identified
158a56b38b456c863fe81d0651f98a26585043a3f73ee800b7dfd2a988580370,2014-01,Kent Police,Kent Police,1.392911,51.360833,On or near NASH ROAD,E01024701,Thanet 014A,Investigation complete; no suspect identified
5f5794f8f9ea42a6da9f13174643c21cda87c7d7cfcc1f26cbada525801121a6,2014-01,Kent Police,Kent Police,1.168252,51.087030,On or near Sports/Recreation Area,E01024515,Shepway 006E,Investigation complete; no suspect identified
