Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ff673b3441708a4f9992a448bd0bb43ee0db15ff0cc593f702bc1360e91c473,2014-01,West Yorkshire Police,West Yorkshire Police,-1.904621,53.865088,On or near GREAT NORTHERN ROAD,E01010710,Bradford 008G,Suspect charged
2292df4e4fe2275c37ec48babcb88480aa10e2c2c6533b5090ac01df4d561216,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
43803a9ae13bd14856662741f6a1d002ede4f17da2ecf6d01969406527b0e4e8,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
b6bb8ec09824647453c2decfcd45620be98576efd9a418d189583d123912152f,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
7ba557b4f4e6c69eb34afe74dcb160f26640d0e8e12d84f43ea0efefdf4a9de4,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given penalty notice
63620d9e0d37953195bfe55af82dd369705d8417ab1733018ae42e14a8484adc,2014-01,West Yorkshire Police,West Yorkshire Police,-1.737733,53.799686,On or near HASLAM CLOSE,E01010617,Bradford 039C,Investigation complete; no suspect identified
fbf8f42b8a8d0db4cb2037d4d7645e282d2deaed2964956d2c2348ec6837d6af,2014-01,West Yorkshire Police,West Yorkshire Police,-1.768366,53.767500,On or near HECTOR CLOSE,E01010748,Bradford 056C,Investigation complete; no suspect identified
ed5394552056047283f24d3e8f666b9b5eade9296fe395801b27163be8e7054e,2014-01,West Yorkshire Police,West Yorkshire Police,-1.779644,53.832945,On or near WELL CROFT,E01010788,Bradford 020D,Investigation complete; no suspect identified
e19b110fd62b7bfa740b45b54515fade6e9895604e819c5759ffcc7e2841bb3f,2014-01,West Yorkshire Police,West Yorkshire Police,-1.514000,53.810457,On or near DARFIELD STREET,E01011434,Leeds 053D,Investigation complete; no suspect identified
e7e293aeb0ed10614de003623993b0c0ac61a5d440abd7c7ab7e65af6c9e6960,2014-01,West Yorkshire Police,West Yorkshire Police,-1.819054,53.657231,On or near CRESSFIELD ROAD,E01011208,Kirklees 033C,Investigation complete; no suspect identified
a879e5f1544b584046f8013b06c0f45c6bada36c43cd3545ba92210865006c2d,2014-01,West Yorkshire Police,West Yorkshire Police,-1.767824,53.849235,On or near Supermarket,E01010577,Bradford 013D,Investigation complete; no suspect identified
d868423d0d40917780237037b26db7240ffd49cb8d75261738b0ceb3a1bfc764,2014-01,West Yorkshire Police,West Yorkshire Police,-1.565570,53.788751,On or near SYDENHAM STREET,E01033013,Leeds 082E,Investigation complete; no suspect identified
9381ba00e4fe322dd582d016bdbfdc0a3b2523bddfc745d61b5575040b74b818,2014-01,West Yorkshire Police,West Yorkshire Police,-1.641181,53.743422,On or near BANKWOOD WAY,E01011050,Kirklees 002C,Investigation complete; no suspect identified
bc19321f66ee9892f314545af3a07a14d7658098c8864ac30afaa793b720fd57,2014-01,West Yorkshire Police,West Yorkshire Police,-1.564330,53.676790,On or near QUEEN'S WALK,E01011795,Wakefield 029C,Investigation complete; no suspect identified
2b112030f6cbd94ad0b6325ee71d56cc134ff7deaf7dcfba2d074a6d1c444732,2014-01,West Yorkshire Police,West Yorkshire Police,-1.878402,53.619097,On or near HOLLINS GLEN,E01011073,Kirklees 049C,Investigation complete; no suspect identified
f4d43ae84f83ec71d33dc19ce275c4035016e2f2b2d9b235c4b9211b4bd41e84,2014-01,West Yorkshire Police,West Yorkshire Police,-1.575956,53.822970,On or near ALMA ROAD,E01011451,Leeds 110D,Investigation complete; no suspect identified
f2c82d9e443fb0471a9c6a164d43158075c2573a9410972d815ea66b6d201b08,2014-01,West Yorkshire Police,West Yorkshire Police,-1.498677,53.755684,On or near CASTLE LODGE MEWS,E01011630,Leeds 100B,Investigation complete; no suspect identified
8930c8bdf95e49ef9471e170697ce66db7fee8b5eb0f68e287bcd321387aedd9,2014-01,West Yorkshire Police,West Yorkshire Police,-1.813413,53.773223,On or near UNION HOUSE LANE,E01010761,Bradford 049G,Investigation complete; no suspect identified
ba839e640d146289e34f04b1302826db35bdff3bc0ee47ca53e4d4d96eefa586,2014-01,West Yorkshire Police,West Yorkshire Police,-1.737993,53.718857,On or near EAST VIEW,E01011067,Kirklees 008A,Investigation complete; no suspect identified
ac17f38c5a09dbbe15f814a4d8c14c16717574c5f4289f77e41f111855ae6439,2014-01,West Yorkshire Police,West Yorkshire Police,-1.644430,53.804048,On or near RYCROFT GARDENS,E01011609,Leeds 068B,Investigation complete; no suspect identified
185aaeef4ad61c2c1aeb582614add1f9c0b5dc6a3c08b5a3c0f7d2367d385301,2014-01,West Yorkshire Police,West Yorkshire Police,-1.750656,53.773585,On or near WOODROYD AVENUE,E01010742,Bradford 053C,Investigation complete; no suspect identified
ccc5caf94104e8ec8ae61ee5d74033b137b60d62ed962033874e0a7a342aedbd,2014-01,West Yorkshire Police,West Yorkshire Police,-1.828322,53.636581,On or near Petrol Station,E01011153,Kirklees 045C,Investigation complete; no suspect identified
06ad4abfab2c26f9816f1abc753462926b87bb407a3eabb09f21f8d52467f6c2,2014-01,West Yorkshire Police,West Yorkshire Police,-1.882185,53.743065,On or near Petrol Station,E01010942,Calderdale 005D,Investigation complete; no suspect identified
821a7525b6532d044313ba725803c30bcf4ebf91545f201d0de0810443cb3e13,2014-01,West Yorkshire Police,West Yorkshire Police,-1.673436,53.813226,On or near OAKWELL TERRACE,E01011592,Leeds 039D,Investigation complete; no suspect identified
ca806200584dffdae191a3e6d7aa41918e1c505309b1ef4c04e69033b49a498d,2014-01,West Yorkshire Police,West Yorkshire Police,-1.613819,53.693211,On or near YORK ROAD,E01011129,Kirklees 018F,Investigation complete; no suspect identified
12d07aca61bb99a2a431dc95be25c65819fbc40e06eb99491ce405805587ec83,2014-01,West Yorkshire Police,West Yorkshire Police,-1.776672,53.837514,On or near BRIGHTON STREET,E01033689,Bradford 020E,Investigation complete; no suspect identified
25881723a7bf191ddcaba57c6ba106c0c3a7d07e19d1e2819715816182e976ac,2014-01,West Yorkshire Police,West Yorkshire Police,-1.758930,53.785961,On or near BACK GILES STREET SOUTH,E01010733,Bradford 048C,Investigation complete; no suspect identified
c4354540f9eb09a59af4ef6aa343b9ff40cc4fceacd6b97d3295b48d1ebba3af,2014-01,West Yorkshire Police,West Yorkshire Police,-1.718881,53.819327,On or near CHAPEL STREET,E01010649,Bradford 027A,Investigation complete; no suspect identified
7ba9f259bccd4a9f2ae27b25ee82d26bbc19f3050d8c87ce709e6d54ac80790d,2014-01,West Yorkshire Police,West Yorkshire Police,-1.695249,53.873484,On or near COPPICE WOOD GROVE,E01011268,Leeds 010A,Investigation complete; no suspect identified
cda19d3d409974f3c6bdf584f0f968a95b2c19634341a597dbe4035ed09c8f5c,2014-01,West Yorkshire Police,West Yorkshire Police,-1.398145,53.713687,On or near CALIFORNIA DRIVE,E01011758,Wakefield 013A,Investigation complete; no suspect identified
bb905f594005fb540823954fdaf8595d7b755079d5010a8da3b0e42472a97aaa,2014-01,West Yorkshire Police,West Yorkshire Police,-1.630219,53.662172,On or near CROSS ROAD,E01011255,Kirklees 028D,Investigation complete; no suspect identified
807364e1dd186e4d52f70e4d0ef97784f28d487be84dd5cdfca7a5b2a53c1923,2014-01,West Yorkshire Police,West Yorkshire Police,-1.778360,53.785450,On or near NEWBURN ROAD,E01010838,Bradford 044E,Investigation complete; no suspect identified
e85bb33711b16e22f258e5fbcb8101fef1b023ae86f348bcc0ce32bb99ebb392,2014-01,West Yorkshire Police,West Yorkshire Police,-1.777211,53.833255,On or near Parking Area,E01033689,Bradford 020E,Investigation complete; no suspect identified
f82ab1e620a655c841d584a20d1d887f1c900f98732fba2037ffa4f18089cfe8,2014-01,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ffe5bb8e515b409fe21a6fa9390f51ecdfaabaed80aa488c2b782b1d1ad82d75,2014-01,West Yorkshire Police,West Yorkshire Police,-1.470728,53.796441,On or near Shopping Area,E01011415,Leeds 069B,Investigation complete; no suspect identified
cadef28518ea1719fe1937984feb4f5ce2d1fdc4266d427526ee3072411b9b3f,2014-01,West Yorkshire Police,West Yorkshire Police,-1.715877,53.800831,On or near GRENFELL DRIVE,E01010619,Bradford 038B,Investigation complete; no suspect identified
302205e30ded0285f38ca305de7fb6334230d6f01070f9635ca0e3a0dda5af45,2014-01,West Yorkshire Police,West Yorkshire Police,-1.634440,53.845767,On or near ASH GROVE,E01011459,Leeds 021C,Investigation complete; no suspect identified
022a1088e3ecea36056b945ce79fb82b22de7eed4083cd776c11929c7a673062,2014-01,West Yorkshire Police,West Yorkshire Police,-1.785152,53.777921,On or near EWART PLACE,E01010667,Bradford 050D,Investigation complete; no suspect identified
