Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f430a615d82f3bbb428d98a2f395354cc27f1c22525fa435c87c6573b9172aaf,2014-01,Sussex Police,Sussex Police,-0.090546,51.144550,On or near WEST PARK ROAD,E01030823,Tandridge 011E,Investigation complete; no suspect identified
0e566c0981f2e8f8e85b35858a29a69c65793df5c65e02874eb2ed7652575287,2014-01,Sussex Police,Sussex Police,-0.200093,51.084136,On or near BRIGHTON ROAD,E01031692,Mid Sussex 007A,Investigation complete; no suspect identified
bf020392e8b8bfa69399e41033bbae67246e18c4c13fcc75fdf64e2bc6212cd5,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
05bc443702f714429060a151b844666bbe4d30a3d2f1a902a56dff0a0faf902c,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
61511f16c00c3ff476f7ffcc2d1515ff3b38f9fb44af3c09fe90cea0e7506bd6,2014-01,Sussex Police,Sussex Police,-0.174552,51.167079,On or near OLDFIELD CLOSE,E01030579,Reigate and Banstead 018E,Investigation complete; no suspect identified
e85417448ee488025e43af53d7348d1c954c5532622726bde2b3c10d9c17e2cf,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b537afb44e390c528ddfec06363e0d35bbad4f5e5a7c33296ecf7ff424d57a56,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
aef5691eab5430df30596e1fc6adec050bffb1aec69bf50f5a921049c80f680c,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
03709b621acb0e4672cead45677a64f3cbfc9bd62c5929214d92b808ddc162f6,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
1ad5af2bcb68efc759f095401f32dc328a494726515dfebf7b5d4fad520a71be,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b46122b7306a68922a448266d650cdb3a5bcc112d8d38b1f6e800cb804fad873,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
5e48da45246ea32ac70f0f82f765bed22f88d04cd14903e560cf4d288c3cb5dd,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
231c758bcb67afb10504742965d6faae55a68bd767c4e88cc10d9a3a0d6bf24d,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
f291b5ec6eddb63037e5c1f447d1f6aa334b872401815ca121b02befe0df099a,2014-01,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
337bf4ba46e5ce74c59c779a22ffc492e26cba1bc57aba47fb276f95581bdb94,2014-01,Sussex Police,Sussex Police,-0.295002,50.824921,On or near Parking Area,E01031378,Adur 007D,Investigation complete; no suspect identified
cfece077930d3da377b3a380d47a00f35820599a09e4e68fd4242f3d90b0ac8e,2014-01,Sussex Police,Sussex Police,-0.271818,50.835245,On or near Parking Area,E01031369,Adur 005E,Investigation complete; no suspect identified
55a007271aadb9d70b0806c882f7e27ca500d3b58ce13be25d0f3254edd7c1a2,2014-01,Sussex Police,Sussex Police,-0.223133,50.832284,On or near Sports/Recreation Area,E01031348,Adur 004B,Investigation complete; no suspect identified
cc7956b61ffae9a2fd575950c3858f2cf52a59fb56b9dacf1589b4c441bf44d3,2014-01,Sussex Police,Sussex Police,-0.324234,50.823833,On or near Parking Area,E01031342,Adur 008B,Investigation complete; no suspect identified
e9546c48e01c23acbfaf40cede4752443bf2c7c9c1cda10265b0a31c7651e3c5,2014-01,Sussex Police,Sussex Police,-0.337091,50.822012,On or near MARLBOROUGH ROAD,E01031363,Adur 006E,Investigation complete; no suspect identified
3c66030fe417e3e3dcd8b4b97fe392c92a1c5b5e5fd6a36a0a86ffd6967af931,2014-01,Sussex Police,Sussex Police,-0.304870,50.824929,On or near WEST AVENUE,E01031376,Adur 007C,Investigation complete; no suspect identified
8bef88f39947c3eaed48c0586dc6525e738f3ae4aabcea815ca5288a6be7961d,2014-01,Sussex Police,Sussex Police,-0.263017,50.830555,On or near ANCHOR CLOSE,E01031357,Adur 005B,Investigation complete; no suspect identified
bbc8a5fb6fb80ba5a91b00eb1dca9d6dd822027fb5da1dff6971d53b48bdcb89,2014-01,Sussex Police,Sussex Police,-0.285940,50.828511,On or near ORMONDE WAY,E01031357,Adur 005B,Investigation complete; no suspect identified
b9fe01103fd3bcfdf01f20630115de575f6e62848e2b601a1d3720c67d462de1,2014-01,Sussex Police,Sussex Police,-0.249539,50.833627,On or near CHURCH GREEN,E01031373,Adur 004F,Investigation complete; no suspect identified
7c0b9e79245b702fe3f7ce0257b208aeeabe4ecd5d0ebdb6edb2eb387778855d,2014-01,Sussex Police,Sussex Police,-0.279766,50.833825,On or near ROPETACKLE,E01031364,Adur 005C,Investigation complete; no suspect identified
9d28b8c7c07262e25b3c223c7426429133b208a91619c6eb37c75e8823467fff,2014-01,Sussex Police,Sussex Police,-0.252139,50.833226,On or near DOLPHIN ROAD,E01031366,Adur 004C,Investigation complete; no suspect identified
648eb386f1248166ed8d8bb57d07eeaf05e67d7717bcd3b55faa61145792a825,2014-01,Sussex Police,Sussex Police,-0.274126,50.834272,On or near WESTERN ROAD,E01031364,Adur 005C,Investigation complete; no suspect identified
e172828868696164204c86232566fb573ca4dbac63cb4fd9f67765a4e9323140,2014-01,Sussex Police,Sussex Police,-0.328165,50.819906,On or near BESSBOROUGH TERRACE,E01031342,Adur 008B,Investigation complete; no suspect identified
39c91460633d2c1642133072ccfcbd2998b7e94dae731246f7d39a782cfd5644,2014-01,Sussex Police,Sussex Police,-0.323652,50.828582,On or near Parking Area,E01031341,Adur 008A,Investigation complete; no suspect identified
8b1cf2462a46c6b2c4dacc5889bdf0c28d1d1ef13d171df21f2eeb5e8a8705ba,2014-01,Sussex Police,Sussex Police,-0.261830,50.833820,On or near CORBYN CRESCENT,E01031366,Adur 004C,Investigation complete; no suspect identified
eef7d68e2ad77e573075d28c0019d1b2f882185896c4a66df25e2f36d37fd1e0,2014-01,Sussex Police,Sussex Police,-0.268458,50.834710,On or near GORDON ROAD,E01031365,Adur 002D,Investigation complete; no suspect identified
1f152b6ba9c6c8097f094f2b31f94d0e93980f8704d32dd8c88ac55bfbf6dd02,2014-01,Sussex Police,Sussex Police,-0.275647,50.831921,On or near Supermarket,E01031364,Adur 005C,Investigation complete; no suspect identified
0358a2c60bc1f0cbc46c90ede7e0ee5c9fea8ca5167bf3a0ed858508c302e032,2014-01,Sussex Police,Sussex Police,-0.249539,50.833627,On or near CHURCH GREEN,E01031373,Adur 004F,Investigation complete; no suspect identified
17856746304ad173a731258c727dc7ded6351c982c14887f64ea169c2b0350c4,2014-01,Sussex Police,Sussex Police,-0.271818,50.835245,On or near Parking Area,E01031369,Adur 005E,Investigation complete; no suspect identified
8daca9d3457ec8631ceb2a5535c04ad5ecb1241b7af907b57493bdfe6cce4877,2014-01,Sussex Police,Sussex Police,-0.334234,50.818922,On or near WINSTON ROAD,E01031832,Worthing 009C,Investigation complete; no suspect identified
d818b9633be86075be08d3384bc0397687a52c21e5344a219cb29f1c191c7ad5,2014-01,Sussex Police,Sussex Police,-0.340687,50.829905,On or near FLORLANDIA CLOSE,E01031361,Adur 006C,Investigation complete; no suspect identified
e24311da708309129e62879d7342eb74a0a6cdc0d7dd20cb30b65dfab4c7c257,2014-01,Sussex Police,Sussex Police,-0.320970,50.827725,On or near Sports/Recreation Area,E01031360,Adur 007B,Investigation complete; no suspect identified
963324959ef5b3f276e9fd1d6e57a55bc1f4d0348faa1cdeb656c4a790fdd1a8,2014-01,Sussex Police,Sussex Police,-0.275416,50.838959,On or near NORTHBOURNE CLOSE,E01031367,Adur 002E,Investigation complete; no suspect identified
902665a0e549c923cd391f21d767ae5b8e483e5d69b937b5c46b54e9538056f1,2014-01,Sussex Police,Sussex Police,-0.283155,50.830494,On or near BRIGHTON ROAD,E01031357,Adur 005B,Investigation complete; no suspect identified
