Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2e2361cb85ec44758755337ec8ba5f148e6e99e39e6c17a30833dcd9a03c06d7,2014-01,Northamptonshire Police,Northamptonshire Police,-0.729132,52.398868,On or near Shopping Area,E01027110,Kettering 007B,Offender given conditional discharge
acfbeb080b8d9b1f572ba674b10e04f93ee5a61b94113944920958f651d5891b,2014-01,Northamptonshire Police,Northamptonshire Police,-0.894572,52.239265,On or near Supermarket,E01027155,Northampton 023A,Offender sent to prison
5ed528e3d534452daa74e253d5b9a16e4668aa0b9f3bff598f43252e60ffb3fd,2014-01,Northamptonshire Police,Northamptonshire Police,-0.870390,52.238209,On or near Sports/Recreation Area,E01027257,Northampton 025D,Offender given conditional discharge
5c5e66fbc8138504eda8c5b10b847c33c6765562bf4dc135d02aecae1498b2b2,2014-01,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Offender sent to prison
b36e15c296a8287c3da5b9d6d11a5cc6878a582bd48f30ab14b9f1d1dc0b7836,2014-01,Northamptonshire Police,Northamptonshire Police,-0.722837,52.397973,On or near YORK ROAD,E01027111,Kettering 006C,Offender sent to prison
358621d583431ab6d815cb3fd577c5bc5578f4fe4e8a058b32b78a904ddd82e1,2014-01,Northamptonshire Police,Northamptonshire Police,-0.619588,52.299370,On or near Supermarket,E01027063,East Northamptonshire 008C,Court case unable to proceed
80acbf7aee0ea6b4615841404107ad4c9d35fb433c5f9d5a89292fab6a762911,2014-01,Northamptonshire Police,Northamptonshire Police,-0.888495,52.265596,On or near WHILTON ROAD,E01027231,Northampton 009D,Offender given community sentence
db77c5df94e6507cdffdf1608d51cfe0066f7f46312e0cac27ed3a8c60f8110a,2014-01,Northamptonshire Police,Northamptonshire Police,-0.727107,52.402820,On or near Petrol Station,E01027105,Kettering 006A,Offender given conditional discharge
cd32ece15594ddba61eb64c51579eb05793af644c88e76e222848053e259a4b2,2014-01,Northamptonshire Police,Northamptonshire Police,-0.870366,52.276087,On or near LOACH COURT,E01027218,Northampton 002A,Offender given community sentence
2d88b7a125252e59235b769fbd36fbbce497a664aff760db078d7deee87c2744,2014-01,Northamptonshire Police,Northamptonshire Police,-0.877404,52.241720,On or near MELBOURNE STREET,E01027224,Northampton 025B,Offender given suspended prison sentence
ad1ffcc6bc01246a97c2c28dda9054d270978cd2a6e6210ee9bb861076bf9b5c,2014-01,Northamptonshire Police,Northamptonshire Police,-0.898569,52.236336,On or near WOOLMONGER STREET,E01032979,Northampton 021F,Offender fined
c826739ae0e6fcd894e7aaaf9ccefab4fe0e5549646a15978f7a7ac1251fedba,2014-01,Northamptonshire Police,Northamptonshire Police,-0.727856,52.401317,On or near Shopping Area,E01027110,Kettering 007B,Offender given conditional discharge
10cd0fd05d9b3e55d12fc82de2d9e319c9007b22f834b8d30a83b5e1bd98d0d6,2014-01,Northamptonshire Police,Northamptonshire Police,-0.685464,52.499696,On or near PEN GREEN LANE,E01026958,Corby 003B,Offender given community sentence
a4acf7392f47483a567b241a1d6920efdc836051b571705d8c3809596c90d8d1,2014-01,Northamptonshire Police,Northamptonshire Police,-0.681585,52.304079,On or near VIVIAN ROAD,E01027314,Wellingborough 004B,Defendant found not guilty
