Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3aae31500113ad67abcbee184772ff3fef849c4a99b56b24f7e78ba26787e2ec,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.329880,52.631479,On or near ROCKLAND DRIVE,E01026572,Broadland 015D,Investigation complete; no suspect identified
266b25441639a5ad2ede504bd2eb569f5f9663f63de17a8beb954a3247153a65,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.373831,52.540682,On or near BROOKE GARDENS,E01026876,South Norfolk 006B,Investigation complete; no suspect identified
fee4ba5b0cff312c2c9d38fc43c5d6427b214523bd4398457676efc1999f2e51,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.728085,52.606112,On or near KING STREET,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
6b93e1c4c65cf7a501098ab1eaac06c0d3552ae22c6e3c1f54d5013a13e5cacd,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.290420,52.629983,On or near Parking Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
a38e255ecdd01a53b37d3967272ba84c3b4a29a490bfc27e78060925492195a8,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.558283,52.741232,On or near ST NICHOLAS CLOSE,E01026665,King's Lynn and West Norfolk 012A,Investigation complete; no suspect identified
3fbcb79374352aa3fc3170970fdeccaeedc639961e5a518291522a6d97fd9e40,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.119325,52.707658,On or near MORTON LANE,E01026524,Broadland 002C,Investigation complete; no suspect identified
1c75693be565599229cf21b4e71774f74e35c89a48ff2bee5d5c022fe3f7ae29,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.289628,52.601513,On or near Sports/Recreation Area,E01026821,Norwich 013F,Investigation complete; no suspect identified
1c2e9133fbd7bdd16ac18e09d1f759ae5fb2ad1f3b4711b5f85addc56f37baf2,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.302592,52.398486,On or near BULLFINCH DRIVE,E01026900,South Norfolk 013B,Investigation complete; no suspect identified
606577f894ef83d4b09975f90a1d5cdd4e9ee8145aa9a3d5c4ff671ba115f6d1,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.414562,52.451416,On or near BEECH TREE WAY,E01026894,South Norfolk 012C,Investigation complete; no suspect identified
e33d51e1b892eca47d807830bd61675d43638d5dcfa6ef839490b587c9d22967,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.731741,52.593683,On or near COPPERFIELD AVENUE,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
75efae52ce553a69a4a2d5bc25264089d9ee1d8962f8d16218f28f90f32a86c8,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.372556,52.626880,On or near MERIDIAN WAY,E01026509,Broadland 017B,Investigation complete; no suspect identified
5948836392928d4bf74c5405e09e4fae363ef3eb9b60be1b1a17228015f06b8d,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.318775,52.651523,On or near CROMWELL ROAD,E01026559,Broadland 013C,Investigation complete; no suspect identified
8ac2c96871d599962e8b9cffd0eba87e2b0282ace5e2baec762dbb3ada861d8c,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.290087,52.630469,On or near ST LAWRENCE LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
a8a6d9a2fcb0031cbe2792b41bc517d52bbaf42d88281fa73b606c4a310ed8fd,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.308369,52.643945,On or near GILMAN ROAD,E01026844,Norwich 003D,Investigation complete; no suspect identified
895fee3ab031dd1ac768255209eda0747a990e436bfc466c4cd4b1a8ff36c013,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.292642,52.629265,On or near Supermarket,E01026823,Norwich 007B,Investigation complete; no suspect identified
d486789ae669bd0ecf252e3f17284fa8b30af89596986db185c30af7eebad0e8,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.292642,52.629265,On or near Supermarket,E01026823,Norwich 007B,Investigation complete; no suspect identified
61f8a02ff8c3bfa2eadbd34c3576e1f4cd9267be6cefeafe5fb9cba29677d254,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.233781,52.607002,On or near CHURCHFIELD ROAD,E01026659,King's Lynn and West Norfolk 016A,Investigation complete; no suspect identified
518256cb368fa3f67fdea7915939edbe8018969148f970df5a4a4efe3684cc77,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.298057,52.639745,On or near MILL LANE,E01026846,Norwich 003F,Investigation complete; no suspect identified
a8991c3ff2234b26f30ca15cd954203b84ed84d8dba16976994388eafe996155,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.729636,52.592553,On or near MIDDLE ROAD WEST,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
b78d5d63b9ff1cb4e97918d8e1997203b2198e3f02acf722642a01932fd5b45f,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.522131,52.771464,On or near CHAPEL ROAD,E01026674,King's Lynn and West Norfolk 012B,Investigation complete; no suspect identified
260876e448b20bf25555894e0f5e769c81cafd3505dd56fcd10c49e4199ec6b0,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.314785,52.631822,On or near CAMP GROVE,E01026850,Norwich 015C,Investigation complete; no suspect identified
1f764d8f15dd167211e93bfa53322f4ed2804d56cb1c63eff93a547f36be5c78,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.409356,52.710624,On or near HALL LANE,E01026723,King's Lynn and West Norfolk 014D,Investigation complete; no suspect identified
2766a185ed102c1cb3b7028c5fd57806215f557f35c621b37ebbb6e67204d857,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.271625,52.653816,On or near EUSTACE ROAD,E01026832,Norwich 002E,Investigation complete; no suspect identified
3e649a6770b7811d730891755f766c57e96ec4f50aaa6b47f30b4c51d6726f20,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.166946,52.648631,On or near Park/Open Space,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
0c81e6adefcbe65ecc6f18ba31e2a242cf592c0f1d66fdc0e6b14e70a38dfc99,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.213332,52.638351,On or near THE COLUMBINE,E01026794,Norwich 005D,Investigation complete; no suspect identified
8b0395c20369f9945af04a3a12eab213212b4f926d191ded58a2a7794e373a1f,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.234868,52.643521,On or near THE DRIVE,E01026916,South Norfolk 001A,Investigation complete; no suspect identified
454cacc8552661580eaf6ba8da698ab269ab932274bd1dc8b1003d2072aebad1,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.442081,52.755768,On or near SHEPLEY CORNER,E01026714,King's Lynn and West Norfolk 010D,Investigation complete; no suspect identified
12e9ce342ac0b56f0e30ea7981c133251123047b652b441e566e6d2afb753eef,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.237955,52.638265,On or near PETO COURT,E01026793,Norwich 005C,Investigation complete; no suspect identified
81a0afe606832cb1c2149c428200e825a2cf73f0a2201e6a35f9e89b7fdb8dd9,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.197528,52.648070,On or near WORCESTER ROAD,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
ab5eac1e25f007bdd272d22b169337cc01140b886455ee9d4379ca9db67a9a69,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.369087,52.650399,On or near HEATHERWOOD CLOSE,E01026546,Broadland 008B,Investigation complete; no suspect identified
7415b20cd2109e50810f4ccbb9f175c5f61ef9d48e65bfebac64d9205a54d93f,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.733223,52.605374,On or near TRAFALGAR ROAD,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
02d8d9451b8e5df1cb3ce2e320ddde8acae675534ec68a361efcaab9ac651495,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.294071,52.631357,On or near Parking Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
9b04e01bc1c39087a61426499b5119e082d8c130113972b0e9b2e21297419503,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.726271,52.563192,On or near BRIDGE ROAD,E01026611,Great Yarmouth 010B,Investigation complete; no suspect identified
62718fd4e1412fb1cff259ecc7428b72654fa221db905a646fa6a110e6d10b9f,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.201490,52.646640,On or near TRIUMPH COURT,E01026925,South Norfolk 001F,Investigation complete; no suspect identified
41f1ef77bf70c8f7d66fadfc2c70e367308ac285bf0c74ff3ee9d4c0b1b18307,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.729508,52.619190,On or near HARLEY ROAD,E01026599,Great Yarmouth 004A,Investigation complete; no suspect identified
f5936b4d3bb45f3e09a524bcf99a4a5b3887cfee547ede22fd7c2d03858568d3,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.434015,52.750646,On or near BIRCHGROVE ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
b0b6791cda6e9fc080a2f50b58d98ae32f6fe9ecbc17eb012c6da2195c219e60,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.737143,52.627090,On or near MILTON ROAD,E01026641,Great Yarmouth 004D,Investigation complete; no suspect identified
1757585334a66e5b79b2fa2de767c6619dabc693420ab78ace868df456f6c904,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.277696,52.608860,On or near AVEBURY ROAD,E01026811,Norwich 012B,Investigation complete; no suspect identified
698f81dfd84a42128ac2f9ee2348d033e120ee41e44b11ec0d8607767467827e,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.230474,52.675541,On or near CARTER ROAD,E01026521,Broadland 007D,Investigation complete; no suspect identified
572bf4e842c14f3e929d6f9ed3b0fff632f5d4f76b43b4f7365714a516d03957,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.199056,52.647731,On or near BRISTOL ROAD,E01026925,South Norfolk 001F,Investigation complete; no suspect identified
a8eddb702c096944eee7ce30f6b7665decf9eb6255708480f02740fcb819afb4,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.391359,52.741300,On or near PROCTORS CLOSE,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
21868f5fa77139800eef41aef87dc38ede3f834b55347ead58fe1a38a7882f9e,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.713800,52.604906,On or near LADBROOKE ROAD,E01026635,Great Yarmouth 007D,Investigation complete; no suspect identified
f0764c25a2d96267e4e417109c61118503a614e939168c5aa2f3345c6aba3f7b,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.692313,52.573081,On or near ST NICHOLAS GARDENS,E01026585,Great Yarmouth 013A,Investigation complete; no suspect identified
c565ba97891cb4d4528ccc0a107507922acbc60b60502dc3e234e0593d27f2ad,2014-01,Norfolk Constabulary,Norfolk Constabulary,0.432911,52.768589,On or near BLENHEIM ROAD,E01026671,King's Lynn and West Norfolk 006C,Investigation complete; no suspect identified
a046c1f236d5fff57144a5367cbaae6fb582b7774ec1230221c4b82ee38a503c,2014-01,Norfolk Constabulary,Norfolk Constabulary,1.358343,52.790907,On or near Park/Open Space,E01026789,North Norfolk 012D,Investigation complete; no suspect identified
