Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
43935b18757d5bdeff06133bfe6c6514f91e2753f18d6063c8a1133f09a26bb7,2014-01,Surrey Police,Surrey Police,-0.743209,51.343176,On or near BAROSSA ROAD,E01030801,Surrey Heath 004D,Investigation complete; no suspect identified
d38239d5d9f09a583752b1eca41485a0a6499c9643869339c4b71bbdc3371358,2014-01,Surrey Police,Surrey Police,-0.531748,51.364708,On or near SHAW CLOSE,E01030680,Runnymede 008D,Investigation complete; no suspect identified
096cc68ed5774d4bb03512fc953a9f6526b1986cf9dbe0a85db550b87bf291b1,2014-01,Surrey Police,Surrey Police,-0.247645,51.280570,On or near BREECH LANE,E01030635,Reigate and Banstead 006A,Investigation complete; no suspect identified
2d553bfce3cdd7c89ac8de155cace9b4b14944eb62c6f52b94d557ffc7a7f37e,2014-01,Surrey Police,Surrey Police,-0.177548,51.239815,On or near LINKFIELD CORNER,E01030616,Reigate and Banstead 010B,Investigation complete; no suspect identified
fca29adacd1bd77c7d5ed053b1a18f890d870d12a1eacb7ec521067a78287417,2014-01,Surrey Police,Surrey Police,-0.168000,51.248272,On or near LOWERMEAD,E01030618,Reigate and Banstead 010D,Investigation complete; no suspect identified
c0423230620ba46a114d5427a75948e18b25cf46f7c5335dfad39776a3dede41,2014-01,Surrey Police,Surrey Police,-0.212972,51.241063,On or near BEAUFORT ROAD,E01030623,Reigate and Banstead 009B,Investigation complete; no suspect identified
5053944048c865f9c933e6f96005996832674a73ec7dbb7424a0c336ce460096,2014-01,Surrey Police,Surrey Police,-0.188164,51.237624,On or near FIR TREE WALK,E01030621,Reigate and Banstead 012E,Investigation complete; no suspect identified
6ae8721c096a7110fe2ca61b77b71e5dccfd51c7fac5f8ad8897898b2f74b492,2014-01,Surrey Police,Surrey Police,-0.328711,51.232503,On or near HEATH HILL,E01030537,Mole Valley 010C,Investigation complete; no suspect identified
d20644e5dc8fd1ae2bf8bed59a5051e54343494d3f86f90c6bbe3fc5157e54cf,2014-01,Surrey Police,Surrey Police,-0.495057,51.433141,On or near THE SIDINGS,E01030737,Spelthorne 004D,Investigation complete; no suspect identified
c64d2603c3ecbbdf5f4fcd817c9a94d5f4e46312e5295aebbf2aaf152368ced0,2014-01,Surrey Police,Surrey Police,-0.500433,51.429307,On or near KNOWLE GREEN,E01030738,Spelthorne 004E,Investigation complete; no suspect identified
d2754344052045182ceca00350c75ba1162c9f4b3d2f07addb8217a87a9cacf4,2014-01,Surrey Police,Surrey Police,-0.509476,51.433451,On or near Shopping Area,E01030736,Spelthorne 004C,Investigation complete; no suspect identified
9565a4bf5d58b6334759ae9f8c29bfc081401683b1c365af4aa12433bda22e3b,2014-01,Surrey Police,Surrey Police,-0.522592,51.426001,On or near BISHOPS WAY,E01030663,Runnymede 003A,Investigation complete; no suspect identified
2e0d227c29faae3b80a15714d9fa40fddc87a48de0d3530c3535ec70dde3a5cf,2014-01,Surrey Police,Surrey Police,-0.156602,51.177463,On or near BROOKWOOD,E01030580,Reigate and Banstead 017A,Investigation complete; no suspect identified
9e79d37535f53764bb5939a383c432472306fb6d8e3d1d3e890fb8a6addd151a,2014-01,Surrey Police,Surrey Police,-0.171568,51.169127,On or near HATCHGATE,E01030579,Reigate and Banstead 018E,Investigation complete; no suspect identified
e2476e155c03d602114b3ce9d1b2dba86eaa9b5d805e4e954084f8c386da076a,2014-01,Surrey Police,Surrey Police,-0.484309,51.225512,On or near Parking Area,E01030491,Guildford 018B,Investigation complete; no suspect identified
8372ef4f0c60c3a4e590463d429325c3729ae6df5ddf3e994e6ac2bde8885700,2014-01,Surrey Police,Surrey Police,-0.406958,51.375145,On or near Parking Area,E01030366,Elmbridge 010C,Investigation complete; no suspect identified
daf2e179b8752e0cf7e4ecc776c662a974090382acd079077e7b3b2329e4511b,2014-01,Surrey Police,Surrey Police,-0.451190,51.371107,On or near HANGER HILL,E01030375,Elmbridge 012E,Investigation complete; no suspect identified
123139499559896489a27622503ab712ace4ed1af31cd5a7b79eb84428d9463e,2014-01,Surrey Police,Surrey Police,-0.403941,51.394959,On or near SPICER CLOSE,E01030361,Elmbridge 004A,Investigation complete; no suspect identified
16896e60e429aa2696cf5198963dca963a10813be1bfd2be3c41fe8ed3b25c01,2014-01,Surrey Police,Surrey Police,-0.339046,51.392826,On or near SPEER ROAD,E01030352,Elmbridge 005C,Investigation complete; no suspect identified
66c7ed435bc49fc859b1b7c9464e59fa1f29af2376e696875643f518697bbd02,2014-01,Surrey Police,Surrey Police,-0.321291,51.390172,On or near HOUSTON ROAD,E01030322,Elmbridge 006A,Investigation complete; no suspect identified
f0cec46310aacfd34ef8635b46d035cf81ed2bee7e9e4b4055be075d239a9a3e,2014-01,Surrey Police,Surrey Police,-0.447144,51.424432,On or near CAREW ROAD,E01030698,Spelthorne 006B,Investigation complete; no suspect identified
ce778ac29d47ab4178dcfc12d3ff0649610322c3173a88d6f2028be51e57455a,2014-01,Surrey Police,Surrey Police,-0.461985,51.431372,On or near ELMSWAY,E01030704,Spelthorne 005D,Investigation complete; no suspect identified
3fdbebeba8eec4d98e20e7d0568c80eb70578f2e6b44701e7e857d276ef7a1d9,2014-01,Surrey Police,Surrey Police,-0.456017,51.397573,On or near GREENO CRESCENT,E01030724,Spelthorne 012D,Investigation complete; no suspect identified
07752b657442963f700d569ceaa6b5c1ba79b393e9212ff698bdac6f4f4a47d5,2014-01,Surrey Police,Surrey Police,-0.553136,51.427146,On or near PRINCES ROAD,E01030670,Runnymede 001D,Investigation complete; no suspect identified
ff6ac69c660bc86a33b19dd7ee6273960b348df56b00ff1736ebb55bb813a0a6,2014-01,Surrey Police,Surrey Police,-0.514470,51.385478,On or near GUILDFORD ROAD,E01030657,Runnymede 006D,Investigation complete; no suspect identified
fe36e7fd4bf69b5fc94fe0be3c8130d2fdfc7b7d2ea9abfaf0765069db37da0f,2014-01,Surrey Police,Surrey Police,-0.510015,51.386815,On or near FOX LANE SOUTH,E01030657,Runnymede 006D,Investigation complete; no suspect identified
f421dc2b91730aeb7f4546d9077724a09fc69835712e394660307ff1ec60faea,2014-01,Surrey Police,Surrey Police,-0.174472,51.175980,On or near KELSEY CLOSE,E01030588,Reigate and Banstead 016E,Investigation complete; no suspect identified
f3121c12a9238c24f4e646a6a4501366bc1ba9f2013d027f363a4ac33e3d34e1,2014-01,Surrey Police,Surrey Police,-0.188591,51.226758,On or near HARDWICK ROAD,E01030595,Reigate and Banstead 013B,Investigation complete; no suspect identified
522c9ff0deb1f89379019872d12c5cf58956ae133dc0378581985ce832ae4e70,2014-01,Surrey Police,Surrey Police,-0.540856,51.325777,On or near ARNOLD ROAD,E01030982,Woking 004C,Investigation complete; no suspect identified
c82b9f78fd5f8956ca8cff83cdf365345f15db57600691e35fce29e042543a19,2014-01,Surrey Police,Surrey Police,-0.558279,51.320786,On or near WEST STREET,E01030954,Woking 008A,Investigation complete; no suspect identified
678a644fec3cb03920aaacfcabee59dcf6586a8bd3247ceb547c56ef310f0b2a,2014-01,Surrey Police,Surrey Police,-0.562410,51.302492,On or near MAPLE GROVE,E01030971,Woking 011A,Investigation complete; no suspect identified
56edb5151317c05ef95a810da3a2d27d514999fd49db3001db4b043e0f6e038c,2014-01,Surrey Police,Surrey Police,-0.566552,51.305358,On or near ASH ROAD,E01030971,Woking 011A,Investigation complete; no suspect identified
1ecedcd945813f2bcf5d8095a7030ad747af738a695fc0706cbf993f2c9686d6,2014-01,Surrey Police,Surrey Police,-0.614211,51.320553,On or near WATERERS RISE,E01030975,Woking 007B,Investigation complete; no suspect identified
