Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cbd27c05dcb0702e879b61f2709ca43243cd4ee81ca0dd454b15f0b8300d5eab,2014-01,Lincolnshire Police,Lincolnshire Police,-0.547036,53.221255,On or near PRINCESS STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
4e2ec0eed063e7a243a5a41cad3bd67c0195ba77e827d0e8bbc03d42e7618a0f,2014-01,Lincolnshire Police,Lincolnshire Police,-0.641903,52.908766,On or near WILLIAM STREET,E01026317,South Kesteven 006A,Investigation complete; no suspect identified
61e586e14f36fb6ed715b1fd72aa08d843340d54f216bf2b775faa3c058ecd56,2014-01,Lincolnshire Police,Lincolnshire Police,-0.758927,53.388154,On or near THE PINES,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
b6e91d1fc343328fa21403587239fc6f3d0b24128e7a9fcda7294476a6564b7e,2014-01,Lincolnshire Police,Lincolnshire Police,-0.499195,53.263246,On or near CHERRY TREE LANE,E01026393,West Lindsey 010A,Investigation complete; no suspect identified
1ab0eb174f08cf52cd4f1d0a839db7f0d707684c3f806e1a52ad59f872e6cc8c,2014-01,Lincolnshire Police,Lincolnshire Police,-0.503937,53.249804,On or near BEAUFORT CLOSE,E01026155,Lincoln 002B,Investigation complete; no suspect identified
32f0bfac63341b448422cfb6408bbd94dda4200bb834efaed632400ee4a0c762,2014-01,Lincolnshire Police,Lincolnshire Police,-0.534981,53.228650,On or near Parking Area,E01026126,Lincoln 004D,Investigation complete; no suspect identified
03fba7916aeb12d873ec1d27a48160f1f06261f3f000ba8762c0cbfae0c71c0e,2014-01,Lincolnshire Police,Lincolnshire Police,-0.740269,53.325897,On or near HIGH STREET,E01026410,West Lindsey 007D,Investigation complete; no suspect identified
2a91812eb4b29d2d99a559e77257a96193685062a6f83f3989b9bb4d24fc8e7b,2014-01,Lincolnshire Police,Lincolnshire Police,-0.525135,53.230048,On or near CROMWELL STREET,E01026124,Lincoln 004C,Investigation complete; no suspect identified
1aab821f2a1bcad8c9b3b394fdfa502ddd10435bc549aca2b221870936f06494,2014-01,Lincolnshire Police,Lincolnshire Police,-0.168025,53.031893,On or near PARSON'S DROVE,E01026033,Boston 006B,Investigation complete; no suspect identified
68885f07713ed82ac660f638839521e6b5502784097686fd0e4ed1bda036f71e,2014-01,Lincolnshire Police,Lincolnshire Police,-0.421102,53.002906,On or near SPRING GARDENS,E01026236,North Kesteven 011E,Investigation complete; no suspect identified
