Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
88da13c4a7e80dc285e80f56db2258d8742f890caf02e0a29de479eb0fb8c825,2014-01,Dorset Police,Dorset Police,-1.867657,50.739119,On or near Parking Area,E01015376,Bournemouth 013D,Investigation complete; no suspect identified
c406c619e5c5bf1d4bf4545f744f01a34dc360e267f368304334113eba126723,2014-01,Dorset Police,Dorset Police,-1.853866,50.726351,On or near CARLTON ROAD,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
48db3e5d1069400969ed78587b7a3270d69a43b8a9eaa0c853f8b2e0fca621d5,2014-01,Dorset Police,Dorset Police,-1.860905,50.726980,On or near Nightclub,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
99da55708da381f9f6e7632861470f7b4100a4f0d93cab8299ddf28acb689fcf,2014-01,Dorset Police,Dorset Police,-1.908247,50.730318,On or near COY POND ROAD,E01015389,Poole 009D,Investigation complete; no suspect identified
e22141253670e938462cfa72003cd7b9636842d56f6a7612667f1f6b4df2f85f,2014-01,Dorset Police,Dorset Police,-1.988362,50.771260,On or near GREENSLEEVES AVENUE,E01015399,Poole 003E,Investigation complete; no suspect identified
2afc1a81752292bcef37e23d758ad802da28ff31f1eab85fd41ebc1831741ae0,2014-01,Dorset Police,Dorset Police,-1.865040,50.722911,On or near Nightclub,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
3abf4687738440e6bb0dc20951619fc20f83a9c59a21754db15559f1b1cb91e3,2014-01,Dorset Police,Dorset Police,-1.978474,50.747689,On or near WAYTOWN CLOSE,E01015416,Poole 004E,Investigation complete; no suspect identified
6ae3b192ad75b4b10106b9ac49e2b6d7c094e364fc2420ca546ee71717b5bba9,2014-01,Dorset Police,Dorset Police,-1.798324,50.727491,On or near RUFFORD GARDENS,E01015300,Bournemouth 020E,Investigation complete; no suspect identified
c242ea07de1627416265a0b1f2a0ab729698abe8ed264174662dd486aab9ceeb,2014-01,Dorset Police,Dorset Police,-1.890928,50.720438,On or near POOLE ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
b7ecf16b8fc4c83d9c95874e5d11cd81c9c02baae6523f464fb095f0df128bbf,2014-01,Dorset Police,Dorset Police,-1.864972,50.726912,On or near Bus/Coach Station,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
1742195a779e9b338b030c47abb1032a0dc8d9841ca0d226dd95b20b1649ecf6,2014-01,Dorset Police,Dorset Police,-1.837371,50.748028,On or near MIDWOOD AVENUE,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
