Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
385f98c718128314dd1e829a44e6fd3fb0937e152a81bc7ef778e16b878480a5,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.470813,52.375368,On or near FALCON WAY,E01032523,Forest Heath 003F,Investigation complete; no suspect identified
b62842efb2861551a5bbbb37b586be43c4981b65100369dba36dc1914e0c7f42,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.346269,51.964905,On or near EAGLES CLOSE,E01030164,Suffolk Coastal 013E,Investigation complete; no suspect identified
92fbaf80b71d14885d4ac8f3051456959f2015bed386f66ac64e416b09f00443,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.147122,52.055537,On or near Parking Area,E01029988,Ipswich 010E,Investigation complete; no suspect identified
4b296e0cde40ef924352666a9be4df65fdd2c492e3944d36dc4c79597774a076,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.153147,52.058641,On or near LLOYDS AVENUE,E01033125,Ipswich 007G,Investigation complete; no suspect identified
599258c4d065769cd0028fbce3021a6866cd1ba24067da047728629f4523bb25,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.756334,52.032381,On or near REDE WAY,E01029889,Babergh 008D,Investigation complete; no suspect identified
a931b9d8c06b1402ff29990440773631de24f5165688c33b8f62784617cc5d67,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.757268,52.481554,On or near Shopping Area,E01030247,Waveney 007A,Investigation complete; no suspect identified
7837a6b7b7c938b034d26b17540acf103a5f91a033275ef05e6a2eb4292624ac,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.152097,52.053668,On or near GREYFRIARS ROAD,E01033124,Ipswich 007F,Investigation complete; no suspect identified
a12718c347c5e4f7cba3bafa362c96bca07afbc5c08b82a1d76c65aa844216ce,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.732313,52.039443,On or near Supermarket,E01029920,Babergh 007H,Investigation complete; no suspect identified
3e8303ffb0026d0d6066fe2cc1d8ff9bffe24440b8ac693bc4e8d32aa62b7e65,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.413330,52.103738,On or near TURNPIKE HILL,E01030151,St Edmundsbury 011C,Investigation complete; no suspect identified
d9c047cfaec1474ae2dbe211ead5396ca0264070360c4f5664ded4314c73a445,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.750276,52.477998,On or near KATWIJK WAY,E01030250,Waveney 004D,Investigation complete; no suspect identified
53f17707d22da6dc899d0a125cc6017883881f15ebbe8fca87fcbe41270eb6ce,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.750751,52.026468,On or near NURSERY ROAD,E01029891,Babergh 008F,Investigation complete; no suspect identified
3efc1f38d7fb4980e817861e3db0b8038283300080cd96efb83d1bae18ac4436,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.744536,52.033295,On or near SCOFIELD COURT,E01029886,Babergh 008A,Investigation complete; no suspect identified
