Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0dfc4792a9d7f1d6b530c972020be235d83fb6b8b2883f0c4b3d809d04032349,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.698759,On or near TEMPLE CLOSE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
be82655fb517a068ebe7906e6c0f77aa610d47f8b93daae17717c7eeaa50f6ef,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034717,51.702785,On or near WESTBURY,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
c06cbcda5fc6ac4b7c022f91ef131e7c6df26b95bdfbfa780af4011ad6739712,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041001,51.714760,On or near BROOKFIELD LANE WEST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
21243e5e51904212c4056a5ddf873ae43fade41d557e072e5f2ccc526356b223,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
43a04c1ec115c90a022437adf22d79b051f795223478464b9bbe06a9d2abaa45,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.072971,51.718364,On or near LUCERN CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
4f90ce6a403c79fc56bb99eb922b8fcd3f82b480a7d7e214ecca9d1088910215,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
ebd7a7df1f1ed8f4f637bcfd85c02815b03a646c7a508f81e1f058129c5fc534,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
809936ab5582445651f149b4ffa8c5b452107456fec00da78fd9ceb2f6604d23,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036124,51.719076,On or near Shopping Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
6a4a3ee79ab9490255ff90d595590cbcf4e58a5c3be8f8bc5f868dd8746b9748,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.071983,51.719796,On or near STOCKBRIDGE CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
64dc1f94550f4ddc0c20d17f2f1f10bd31bcc4dcfce99550fc9ec71fd5f1ce1c,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026137,51.694072,On or near EASTFIELD ROAD,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
d6cf4dfd9c3395bcc6a72263bb3963c20244557410240cd95fe72228eefc23ef,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
fc3587bd87f72e4389e4d0516fef7573af5f43acf545cb75637cb91168e22691,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.071278,51.718345,On or near ACACIA CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
4bfa4c0e3a26e898874182a38bd2cb36274212d325954d04ce4c6595e9eed691,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018609,51.684889,On or near QUEEN'S DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
5228086505dd4473b5c878f2bb54ab4f9b4f014af148410e21d5a37509fe78fc,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043279,51.712307,On or near CHADWELL AVENUE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
45452f4bdc5fa63aef5348b65c285389d3e6f5e37344ea12f20f65e8ddbbef38,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041685,51.700600,On or near WOODCOTE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
716a6b1a4b44d04c0d487e7ff91d0deb7a3c177a3c71d8b6340b66640bdfb4a4,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
15a94849ff46fa284b5180ac9cecdb767a55a7efd82485f4d42ae2c5599471b9,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033715,51.706860,On or near NIAGARA CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
7a9b5152418692ffc13f73f3c07a0d80af53157806af84138026b46c35356760,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036153,51.705381,On or near CLARENDON ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
d168d197b546b44e357d3e7c3ea24646774337b9aa453543be08a5704e6d16fe,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033120,51.704890,On or near HANBURY CLOSE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
34592f4e6d73e95de46582b4faf0344bd71bb2d33ab673b2bec6b0326d3ca406,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
6225da7892cd3d15466bbd7667d6ba781da33fba5cdeb7561548137bb28df795,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030685,51.684301,On or near ABBEY ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
85e5399a4efe28f748641734011e27dbf3f160d31d57bc7f8461f019dc8f4d3f,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
f3ffd7d7bce3ebf6f68ae90521c3e568712b7e089de3a2bcc0704af2bf854e8c,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.698759,On or near TEMPLE CLOSE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
22dccc2bb840605eec2a2e8a366dac5aae9ca6a90c2251170b22617dfbe1fc64,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038564,51.714890,On or near LOWER MEADOW,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
8cfc12e14223fbdd99af2594def358bc2b47b320d16992d0cbc05129090d1aaa,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
