Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5de7ff2302bce1725e6e34af1445efd007fd56de84ea2e4b9bd3d8d3202cbed5,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
8853fdaf90069ef2e194fa7925077cf42499b1ac25844a7b0057035b14d1aee2,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.110128,52.040907,On or near WILMSLOW DRIVE,E01029910,Babergh 005F,Investigation complete; no suspect identified
90261fe71ce2b44f55976bdf7168275033c80f666c3e60f1d2c1539b126c74c5,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
f9952d0202f12e109d08d75558e816e9d1df9816231f09d389502ca6c319c277,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Local resolution
da39eb6bf856044b616ff50b835e0e18cade47e77569348e3c7bffa0439ad0eb,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.738783,52.492376,On or near NORMANDY ROAD,E01030279,Waveney 002D,Suspect charged
a13b3b8635ec4e052474b69bd3614ee5858bedd51f8227545fff8d2ddebf21b4,2012-10,Suffolk Constabulary,Suffolk Constabulary,0.446229,52.085821,On or near CHELMER ROAD,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
600607fb2616171d992ade27aee0d9cdc814019d2434d7c4963260e839fbbd5c,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
dd8ae6a18cfd57c3110e5b801ed278bc3749ab54e401aac7b8bb4a1d65061972,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
f6b50202aeb29f0dffda944f7930302f7e5e95c178ce26e5b068d443ef4ad5b1,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.168460,52.036491,On or near ROBECK ROAD,E01029980,Ipswich 016C,Investigation complete; no suspect identified
6e68f4fbb6377e3136859f2f0a9a57ffe06968c1aaf07cb33e58ac506ad4fc6a,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.135706,52.283888,On or near MILL LANE,E01030088,Mid Suffolk 001D,Investigation complete; no suspect identified
798b843c6592ef391b66c7db455162454ce7b34d9701c9f701b277e676190c25,2012-10,Suffolk Constabulary,Suffolk Constabulary,0.431619,52.092841,On or near FOREST GLADE,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
b199c14ca6a601dd92be9ef9f169bda710109f9a6dcd54417d728be7f9836dcb,2012-10,Suffolk Constabulary,Suffolk Constabulary,0.415273,52.080777,On or near STRAWBERRY FIELDS,E01030116,St Edmundsbury 013B,Investigation complete; no suspect identified
b3db20f519e82b5ee9416c031cb69c8efab5d9af521366acc2a5420c93ed3e2b,2012-10,Suffolk Constabulary,Suffolk Constabulary,1.188623,52.113772,On or near BURWASH,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
