Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
308480bf44d5af832e53c3ba845713bf40322c82e6c810c9e3d89d927bedf9d6,2015-08,Lincolnshire Police,Lincolnshire Police,-0.663807,53.271290,On or near SOUTH PARADE,E01026396,West Lindsey 009A,Investigation complete; no suspect identified
22db1cdbf2d3e91eeeb7e237c135f4d23375cae41486120ba45c9e05c6120b4d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.544126,53.231090,On or near ORCHARD STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
90c2df734fc91ec637e4ae3bbe74cdde37cbc8b4f9b1ca9a8e3791a515693254,2015-08,Lincolnshire Police,Lincolnshire Police,-0.549520,53.209797,On or near STANLEY STREET,E01026174,Lincoln 008D,Investigation complete; no suspect identified
bb253f40aa3cd7c9461c9f6096d717d3fa0e48a1720686857c7b81fbcf5b387a,2015-08,Lincolnshire Police,Lincolnshire Police,-0.022761,52.978851,On or near Shopping Area,E01026025,Boston 003C,Investigation complete; no suspect identified
b166fa832060c640e9dfd90de38aba9cd0fac60f52eca65be03c8a143900f08a,2015-08,Lincolnshire Police,Lincolnshire Police,-0.150040,52.784446,On or near CHURCH GATE,E01026269,South Holland 007B,Investigation complete; no suspect identified
45db7106f3825a0585633733d92539ab7de4e367b940d387477acd7c5651ba27,2015-08,Lincolnshire Police,Lincolnshire Police,-0.476399,52.652673,On or near Shopping Area,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
cc9b0ed4a4ca9606ef9489fcb69d73c6df973e4cda2928cc8147322b47cc469f,2015-08,Lincolnshire Police,Lincolnshire Police,-0.022715,52.976926,On or near SIBSEY LANE,E01026025,Boston 003C,Investigation complete; no suspect identified
2f8c45d481bdb22108323b1316f92d4746005c565f4312f14c3ca4366c724357,2015-08,Lincolnshire Police,Lincolnshire Police,0.260700,53.343277,On or near SOMERSBY AVENUE,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
a589e77cf8167898709ed60fe6de24e5fbc8db5fa0ba28abffcb3fef4248bf39,2015-08,Lincolnshire Police,Lincolnshire Police,-0.558847,53.212085,On or near HALLAM GROVE,E01026135,Lincoln 008B,Investigation complete; no suspect identified
fa4c2c9988baaf2afe0bcc0eb4e2cdb336f8f697d353b2f52e503dde0cb30193,2015-08,Lincolnshire Police,Lincolnshire Police,-0.544933,53.239110,On or near BURTON ROAD,E01026148,Lincoln 003D,Investigation complete; no suspect identified
f45e464474cdc12ec50fa949a6e1e679eefd047fedb708edd7381f511495fb9c,2015-08,Lincolnshire Police,Lincolnshire Police,0.335620,53.143485,On or near LUMLEY SQUARE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
21dbd124f04d1afc88a7fe9d64eb8a8958dfb845b6f9050432d06b6e511f4009,2015-08,Lincolnshire Police,Lincolnshire Police,0.033430,52.862137,On or near CROWN AVENUE,E01026248,South Holland 002B,Investigation complete; no suspect identified
4ae722b37fd193db75b669971902a81cca29c82eb4930e23c440a840e0c000c6,2015-08,Lincolnshire Police,Lincolnshire Police,-0.609818,53.214561,On or near BAWTRY CLOSE,E01026129,Lincoln 007C,Investigation complete; no suspect identified
b0f28d358e62c283b0fe9bda39e0ef15b52d27bac3585f1d806f148fd6d8b335,2015-08,Lincolnshire Police,Lincolnshire Police,-0.190704,53.104999,On or near BLACKSMITHS CORNER,E01026054,East Lindsey 016D,Investigation complete; no suspect identified
7523984e13e03bf0208f97df85b7fa1c287f12fae965de5d07cf8816a69afd7d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.133478,52.798958,On or near ROMAN BANK,E01026270,South Holland 007C,Investigation complete; no suspect identified
b8d7f058cf6d69cfb9ad9a2ffe1ad92a9938a26cbceb9bf8bd87aab281892fb2,2015-08,Lincolnshire Police,Lincolnshire Police,0.094321,53.035232,On or near Sports/Recreation Area,E01026024,Boston 001E,Investigation complete; no suspect identified
70c721380e9fb8e0ff4d64e47b1000293e682033baae177f56ba384f22b961f6,2015-08,Lincolnshire Police,Lincolnshire Police,-0.542883,53.243885,On or near YARBOROUGH CRESCENT,E01026151,Lincoln 003E,Investigation complete; no suspect identified
1cb92a1959ff38d6626477fd1b6c2092be45ed7e058a8ebbd069623b13da9ef8,2015-08,Lincolnshire Police,Lincolnshire Police,0.319588,53.154831,On or near BURGH ROAD,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
3efc60caa2121699a35d01bf0e3bfe25f8728abe8275a30f08daa45b251c04f5,2015-08,Lincolnshire Police,Lincolnshire Police,-0.562579,53.213784,On or near WESTERN CRESCENT,E01026136,Lincoln 008C,Investigation complete; no suspect identified
25afc548c69c0c58a041d7e62849eaeb68e6f0d8dab4eeaf52a012cdb4b066ea,2015-08,Lincolnshire Police,Lincolnshire Police,-0.176252,52.799794,On or near DARLEY'S LANE,E01026259,South Holland 005C,Investigation complete; no suspect identified
1fde5515c97f43f25632a78f1720a819ff7b71181b4a4dad0337d5799bc1663d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.636430,52.910187,On or near STONEMASONS COURT,E01026343,South Kesteven 006D,Investigation complete; no suspect identified
7fd1441b601887fbdeedebaab750c2dbc365732d01e4aafda37912d94e359f18,2015-08,Lincolnshire Police,Lincolnshire Police,-0.546314,53.244359,On or near MONS ROAD,E01026151,Lincoln 003E,Investigation complete; no suspect identified
7fd1441b601887fbdeedebaab750c2dbc365732d01e4aafda37912d94e359f18,2015-08,Lincolnshire Police,Lincolnshire Police,-0.546314,53.244359,On or near MONS ROAD,E01026151,Lincoln 003E,Investigation complete; no suspect identified
