Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c13e87b1e226ecd6b5b91471c3c6bd6d8d2443555ddd4a1a539d9f24d659006d,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.294174,52.612476,On or near GAMEWELL CLOSE,E01026819,Norwich 013D,Investigation complete; no suspect identified
c9acb9220fd06055c8362199d63f8d91bbd60832e65ed031cc8977a445ac495f,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.433776,52.648765,On or near BLOFIELD CORNER ROAD,E01026506,Broadland 014C,Investigation complete; no suspect identified
9823120639705f72b4dc167102008bd263deb299f2d360859545134b3376a291,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.421219,52.646466,On or near Park/Open Space,E01026505,Broadland 014B,Investigation complete; no suspect identified
727b901d5df5ed4fa31c33b63ac8c04379fdcdfb1489628cd5105a3f14c596b4,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.196529,52.685221,On or near CAMP ROAD,E01026567,Broadland 006F,Investigation complete; no suspect identified
4460554eb37e64d3232b0ddc755ae4528c24c7367e37dc601409c44d5e5def45,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.397961,52.753890,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
781aee629b2e2a99dca88bf1ad0e52b7f572b26423430106bee85a7a8eb57cec,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.305337,52.632571,On or near BISHOPGATE,E01033438,Norwich 014A,Investigation complete; no suspect identified
090518c88218c2f910de1afa38c9bee9f93161ace2795d816a1a08ddc1050b9d,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.288975,52.628063,On or near LITTLE BETHEL STREET,E01026822,Norwich 007A,Investigation complete; no suspect identified
a1b606ae61e2d8c2bd992cf9e2a720a95a1c6186cdf1315e4e6d5368816d73de,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.307984,52.634746,On or near ST JAMES MEADOW,E01026848,Norwich 015A,Investigation complete; no suspect identified
39b900c58b73d179eb4aa6e70761a0548ab3a301a4482882136be34210d4c437,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.271965,52.633634,On or near HELENA ROAD,E01026840,Norwich 009F,Investigation complete; no suspect identified
c8295858cd01226986bf310663cc185c0b949f220c2a52bf5eeec3c17f2f6277,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.732825,52.601735,On or near VICTORIA ROAD,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
c05b0c5d599fee996a0a012ed5fb0285760b04ad94f52e683fd5b08cd205022a,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.202679,52.716253,On or near CHAPEL LANE,E01026535,Broadland 004C,Investigation complete; no suspect identified
517abb9575b521f6df7392261587687dd84369fe0237526b72f2bdc8f44b6696,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.177285,52.398371,On or near DICKLEBURGH ROAD,E01026887,South Norfolk 014D,Investigation complete; no suspect identified
016ceba970f3ec218c7f8f673ce1ae491e42ebdcf32ffe757ba7c1e13eb4420b,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.710927,52.580216,On or near HAWTHORN ROAD,E01026603,Great Yarmouth 009C,Investigation complete; no suspect identified
b8c4221ab2ce0ca1517a26b60ffbfbc289e389eaed7055532b8130458067199f,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.294860,52.625929,On or near WESTLEGATE,E01026822,Norwich 007A,Investigation complete; no suspect identified
21badc2d37428b772010718c23038b90a6ced11e45c76d70f4df1b969b5eafc8,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.728679,52.607532,On or near Shopping Area,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
88849b0c79b036844bf6c9ddd9f3e148205a2cb0cdf0d4ac01e697c792905fb0,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.486978,52.938211,On or near LE STRANGE TERRACE,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
34507154f7b8ac6403933fb820bdaf3988289df9be498141c58fb54e9bf9846c,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.645200,52.641282,On or near SHORT LANE,E01026609,Great Yarmouth 002B,Investigation complete; no suspect identified
2931e8afd64edfd3976e09690399bf604fef0108664a64d1e4c5e0f88d5c7975,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.580452,52.760913,On or near THE WALK,E01026785,North Norfolk 014E,Investigation complete; no suspect identified
d34955cd6dc61ef8f39a11cabf483be6c21de32ee67e7b31112d323de6ebde7e,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.284844,52.656157,On or near DALRYMPLE WAY,E01026797,Norwich 001A,Investigation complete; no suspect identified
b34c19b41ded7f7e143349b0d8876c2f22c6239530baef8a000d437481cd2040,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.508363,52.835830,On or near OSTEND ROAD,E01026740,North Norfolk 012A,Investigation complete; no suspect identified
824ac11ed83b845aad0d59747f65722e98737576b44844eb3f5e094eb4b01368,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.555712,52.522825,On or near HIGH STREET,E01026651,King's Lynn and West Norfolk 019D,Investigation complete; no suspect identified
402a01e56b41a61313a056f07566c35f52dee4083012748d5579f34926cbb5c9,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.295601,52.642466,On or near TEMPLE ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
ed7313456d4afe7df37d9e370b0a186bd23c4a90a6fdb62a61fc454fff35dc8a,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.300365,52.648989,On or near CONSTITUTION OPENING,E01026842,Norwich 003B,Investigation complete; no suspect identified
48e523d2b0e28981465f0becba25595612f1002b0eda3bb009fd6a8527ffa56e,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.286478,52.626100,On or near COACH AND HORSES ROW,E01033437,Norwich 011H,Investigation complete; no suspect identified
eae3ca7cca1861cc0a274699284b0bb6c602084fe218c4f5b7bd69d9f99af923,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.310986,52.650212,On or near TEMPLEMERE,E01026802,Norwich 001F,Investigation complete; no suspect identified
57143359a27d9477e18660cecc770f72fc9fa212d33087173ab034ab390ded8e,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.750167,52.420858,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
e4e2052482ac349c9988394449a59b5bb75c2fe8028a751cbb4806447de49862,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.229146,52.641312,On or near TOFTES PLACE,E01026791,Norwich 005A,Investigation complete; no suspect identified
bf146a68fe249400600b7fc6891df1db7c52f873e551421f11e6c48576f735d9,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.374594,52.601780,On or near PRIORY CHASE,E01033039,King's Lynn and West Norfolk 017H,Investigation complete; no suspect identified
5b84267be35afa92a57f618bd8459fd2e766ddf032ba016030a562a7180ae1c9,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.765360,52.423426,On or near FROBISHER CLOSE,E01026473,Breckland 016F,Investigation complete; no suspect identified
1dcef69f0628a1cd2c02d0b97a47b7a03e9e10124949f7a54667492a905dfe4e,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.732130,52.417697,On or near COVENTRY WAY,E01026467,Breckland 015C,Investigation complete; no suspect identified
2108a007375426ab9c649c4e744f17cc61ead6f793a202d7747358b981406a0c,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.891427,52.900520,On or near HINDRINGHAM ROAD,E01026782,North Norfolk 009B,Investigation complete; no suspect identified
1bde899ea749d249069bd4c1d6349ce865cbdb3a28af99616d48737de7e86117,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.636957,52.702770,On or near HAZEL DRIVE,E01026637,Great Yarmouth 002D,Investigation complete; no suspect identified
