Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0af03070856a45b740345384f285a7798669a68e4bb90547db17144438ce853,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.332260,52.645856,On or near CHURCHMAN ROAD,E01026805,Norwich 004C,Investigation complete; no suspect identified
c3b209a2052b8ec1171894c42c8799849828b1a79dabb4d6eafabb48e6454cb2,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.296515,52.636145,On or near MAGDALEN STREET,E01026826,Norwich 007E,Investigation complete; no suspect identified
023eb3d9d1fdd6352ac089a38222eea4fabffa7c900784da16513e6a1ecc9fce,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.310502,52.649866,On or near WINDMILL COURT,E01026802,Norwich 001F,Investigation complete; no suspect identified
a5d6426a8050694be42542b3d019d9112d1bcd72e1b1133a6a447327610a350a,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.123326,52.572295,On or near BURROUGHS WAY,E01026945,South Norfolk 007D,Investigation complete; no suspect identified
f63760d35d45e018340f9e28ea885266d8aa010b9dd50bcbf8e9d8215609325a,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.728574,52.405127,On or near BURRELL WAY,E01026478,Breckland 017E,Investigation complete; no suspect identified
2816b406a2562cebc47114c4781fd51c6a7576a2e6d392e31e036a43a12c15a8,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.746203,52.417434,On or near STATION ROAD,E01026465,Breckland 015A,Investigation complete; no suspect identified
10b3cee32f30d7fe8cba8a514a60780cb01f4737567c62b820b92505730100e5,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.284279,52.632645,On or near Petrol Station,E01026824,Norwich 007C,Investigation complete; no suspect identified
5fea21f249eaf54dbf69f2c6153b2ad319844e00ac5e3557f20858986e43e335,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.748218,52.418367,On or near BEN CULEY DRIVE,E01026465,Breckland 015A,Investigation complete; no suspect identified
b95750bbb5bbae0c812e744e930ac7b10910a12682bd49cde9c99ca7eba643b3,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.286478,52.626100,On or near COACH AND HORSES ROW,E01033437,Norwich 011H,Investigation complete; no suspect identified
8cace4e9253735057ec15d287a2dbe09b708c887d15fed7d076e24e2b50acd92,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.951775,52.664838,On or near BERTIE WARD WAY,E01026427,Breckland 005C,Investigation complete; no suspect identified
7b170e1eccc680da8e2e0e0f9808c9adff78a6ec4419b321de7d0b92dc47c761,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.291501,52.617614,On or near TRAFFORD ROAD,E01026852,Norwich 011A,Investigation complete; no suspect identified
6607e721943acd7a6e2e5b09a144ad44aaac08ebce75418e6fd911e0db5be169,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.385287,52.600171,On or near HOWDALE RISE,E01033039,King's Lynn and West Norfolk 017H,Investigation complete; no suspect identified
