Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
296c4b083a024e10e195347da64d5db1b99c88fdf4c8b036dc31e6e10d9f119d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
be565459f1162b974ac30fb0a9942efc87e627532aca123c7a530934785d515e,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
46e3aee25243cbc6ef9878c1903f12e4e54e1d7b407c726e5063617b53c30b3c,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045711,51.705244,On or near BROOMER PLACE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
b6143391d252c5b261139c038b6b6064e01b98f01261c667a6f9adb8ad640fbd,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025353,51.702457,On or near SHALCROSS DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
06a01052fe13225b952ff8a8a43dd03458062f3bd75a8f5087b7bff2fb1c2e2b,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029467,51.686367,On or near KING'S ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
a4f6864eb03a164f00c7cfdaefa192bd3572aaaa4833e1f33d5d665cc0fefdd9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
4676fba0c48be9d1755d2b16e718184420dc17f890f7e17d19ac302e28fdc271,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045454,51.708180,On or near ST MARY'S ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
c20ecaca8bd054780c40222c52562df064accda95a7000e54eb26c7198cd75e9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026211,51.699037,On or near BURBAGE CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
76b18f8804ce574afb6eadb68653acc5da1113f54ad560d0b84d2c5f9275dc0c,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049797,51.708162,On or near CHURCHGATE ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
766f6a5208fec63c26c62619cb26bf3da2066676e6451954d1fe04da92c0cc72,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.090542,51.712968,On or near OAKTREE CLOSE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
