Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ad2f6e32445933c358214df25244f89408fabd4d18f334001762bdbabe8d8dec,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.484111,53.716168,On or near M65,E01012591,Blackburn with Darwen 014C,Investigation complete; no suspect identified
5fcdc1ad92c57b78ba3c02f7eecf16571af8bc1a7061f787341f21d7ecd20ea1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.482896,53.713279,On or near MOSS FOLD ROAD,E01012591,Blackburn with Darwen 014C,Investigation complete; no suspect identified
abe2a0addb1f40092c2c596ee57cd6d8472ac8ca7116877845da346b26b16d3a,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486549,53.706910,On or near MERSEY AVENUE,E01012591,Blackburn with Darwen 014C,Investigation complete; no suspect identified
62ca1e7d29cc8fa9e70149ce6e462bb7fca83121a91ca47db902abb981c7f827,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.484760,53.711986,On or near OAKWOOD CLOSE,E01012591,Blackburn with Darwen 014C,Investigation complete; no suspect identified
486a461c0a2b5d220b791580c1d9eb21ba0a78648200bfcf12694040bb6e5aec,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.430152,53.680467,On or near ROMAN ROAD,E01012592,Blackburn with Darwen 018A,Investigation complete; no suspect identified
a26e8947a4883f05141d38a99e83ea9437020421d243581e15b5bcf22e9c9646,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.448501,53.711732,On or near ECCLESHILL GARDENS,E01012592,Blackburn with Darwen 018A,Investigation complete; no suspect identified
41a19cc0e003a83e0c125d3dd12a9ba9573514682f8c56e5dbc2ddb5eee685a3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.433612,53.694485,On or near CARUS AVENUE,E01012592,Blackburn with Darwen 018A,Investigation complete; no suspect identified
eb96ba17618b0888c182b62cb8093253dbdf9632e070bf8677911a554e7e04f5,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.490995,53.727025,On or near VINCENT COURT,E01012593,Blackburn with Darwen 013A,Investigation complete; no suspect identified
2a6c991a115b7aff0656d127f3f9fabcd2798862083e2a65d83bc1a423c899e6,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.490967,53.728472,On or near TWEED STREET,E01012593,Blackburn with Darwen 013A,Investigation complete; no suspect identified
b73e055121c987be98396c360af4645f766571ab348a82ec183b40a5bf65a5b8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.496886,53.727873,On or near TIVERTON DRIVE,E01012593,Blackburn with Darwen 013A,Investigation complete; no suspect identified
a63f5af958852e465e0b515dd88d8430a333c3d7094d495a5cf54feabd03464e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.497029,53.729769,On or near WORSTEN AVENUE,E01012593,Blackburn with Darwen 013A,Suspect charged
5fe17553a4cf2b41041e5ba196a22a61f8a15dcc7ded8199e5b987b49bb74032,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.499941,53.729909,On or near MOORGATE STREET,E01012593,Blackburn with Darwen 013A,Suspect charged
0f797852c2f5cc93427cbac3df535de699e48925f9a3821a3ce1d8fae131f764,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.501901,53.723924,On or near FOWLER HEIGHT CLOSE,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
c4e48437233c8af06aaf281aff79d328b8e248e9e867afe819f8dfc68ee78fe4,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.501901,53.723924,On or near FOWLER HEIGHT CLOSE,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
e64867f5394abb79756e8f3760068aa67db39dc9c657ee98e5c104584f010afc,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.501901,53.723924,On or near FOWLER HEIGHT CLOSE,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
133d95591cb818f48d7ababc6d0dff02c9fdb1f25c662f3e7c130f59668139f7,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.498822,53.727568,On or near HEYS COURT,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
c49888bb7608cc1c6b43f7beb7437d0a1bff382228c79c1fef8845df94fe38a7,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.501901,53.723924,On or near FOWLER HEIGHT CLOSE,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
980c19e4afa3c1224ea4c36f500ab0cacfdf2c1ef902dc1185bda3316b7a7bfe,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.501901,53.723924,On or near FOWLER HEIGHT CLOSE,E01012594,Blackburn with Darwen 012A,Investigation complete; no suspect identified
1a22cc4fe83eab7037c4853c90bbf5ab2598fa99a5044da95f3c2d90dc6413d2,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.493412,53.736677,On or near GRAFTON STREET,E01012595,Blackburn with Darwen 009A,Investigation complete; no suspect identified
0da9f6a29ab7000779e3361d19c0650482af6bf75ce517ac6c2746d210cb9d4e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.489646,53.732235,On or near WOLSELEY STREET,E01012595,Blackburn with Darwen 009A,Investigation complete; no suspect identified
a50240a72c4018b8f24b0aacb5b2843e5fccc98b9b94a1d65bc042c4f515fb06,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.490790,53.734127,On or near Petrol Station,E01012595,Blackburn with Darwen 009A,Investigation complete; no suspect identified
fce15198a3249030be41c5be4c0464a987b1bedd275097f5088b0f544f73eca8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.495873,53.730654,On or near ALBION STREET,E01012595,Blackburn with Darwen 009A,Investigation complete; no suspect identified
c8b43734f8d7a2995017b59806f5fddba96015790be7de3becb7b75da748bafc,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.493128,53.737038,On or near WILSON STREET,E01012595,Blackburn with Darwen 009A,Suspect charged
5a2a56f1842dfb82e85e682cf66d5ed864db52b88ce26782ac45fd83f69af6c0,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486134,53.733921,On or near NORWOOD AVENUE,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
53eb1171a5db7ce298b45f010641f5ff38d2508ed1f2d62aa5b1a0b935dab17e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.487594,53.733052,On or near ABBOTSFORD AVENUE,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
bf2f73d638c610aa9478813c32d1e25f43bfb305f71047d3911123be3b6fa404,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486134,53.733921,On or near NORWOOD AVENUE,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
0aeb38dbd7bb59449e6827c949aaebaa515ecf65987f859ed80cc6992dcaac34,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.485573,53.736557,On or near INFIRMARY STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
2319731932801f299d6cd1d25ec7d1bb19c94d894faa0890d03dd9b1feb8dea2,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.485573,53.736557,On or near INFIRMARY STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
