Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2b1c68f984b871a3ebec20b8a917d59c69c7ab4d2354ea9ad3931374c1463bbd,2013-02,Thames Valley Police,Thames Valley Police,-1.538609,51.833166,On or near WITNEY LANE,E01028793,West Oxfordshire 007C,Investigation complete; no suspect identified
b22c4c939fba9fb4b9760db8a4ad72364b8852d64cdf6e3cb1a28a9e47656242,2013-02,Thames Valley Police,Thames Valley Police,-1.595221,51.760277,On or near PEEL PLACE,E01028771,West Oxfordshire 014A,Investigation complete; no suspect identified
950c0ad729e68d302f698c2de8644e4a99877336b93813022cae5405912004b8,2013-02,Thames Valley Police,Thames Valley Police,-1.167023,51.898961,On or near ASHDENE ROAD,E01028466,Cherwell 014A,Investigation complete; no suspect identified
0da5eeb54692997f6d8e9c346196819058e961d25b232c895e27c05e85345a8d,2013-02,Thames Valley Police,Thames Valley Police,-1.551671,51.933861,On or near HAILEY ROAD,E01028781,West Oxfordshire 001B,Investigation complete; no suspect identified
64f1d6a62ca6c06f37bff6e59bfca43172611d89d9d8f88a86ef261d0e0feebe,2013-02,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b85160c7f5c84b1159436a21ffa824e25c780b1e877c6fe3d3ab0670ce3de0ce,2013-02,Thames Valley Police,Thames Valley Police,-0.914233,51.699144,On or near Petrol Station,E01028613,South Oxfordshire 005B,Investigation complete; no suspect identified
d99f95d90f6fef74a2533c2990d73cae8e7eb0f63e90f73ddf6e1dc9928fa241,2013-02,Thames Valley Police,Thames Valley Police,-0.967298,51.739670,On or near JEFFERSON WAY,E01028673,South Oxfordshire 003D,Investigation complete; no suspect identified
ae5f810fdbc97ebc4691710180e494172001dac47a406ca3118278660b2f0f2b,2013-02,Thames Valley Police,Thames Valley Police,-0.993108,51.747402,On or near JUBILEE GARDENS,E01028672,South Oxfordshire 003C,Investigation complete; no suspect identified
f7ec9abcef34d892e204b113636d90f4d147f33e5c59c7f0a3dc426d22c91b69,2013-02,Thames Valley Police,Thames Valley Police,-1.277571,51.808872,On or near Petrol Station,E01028511,Cherwell 019C,Investigation complete; no suspect identified
bf763ceb13eb5720d0628d5217ff3b46e3877c9d68dc95f8f929825f769c3c59,2013-02,Thames Valley Police,Thames Valley Police,-1.236671,51.822406,On or near THE WALK,E01028502,Cherwell 016F,Investigation complete; no suspect identified
56fe94592457673c94a9c878fa2053b96902e6e6d66214a7d475557296b26fb1,2013-02,Thames Valley Police,Thames Valley Police,-1.393635,51.825235,On or near Supermarket,E01028789,West Oxfordshire 006B,Investigation complete; no suspect identified
e8131fa0b1afa1e88488c5cd5b5d236b3748749b06ff2dd22448c7a47fd11850,2013-02,Thames Valley Police,Thames Valley Police,-1.333792,52.146604,On or near CHURCH LANE,E01028479,Cherwell 001A,Investigation complete; no suspect identified
c5a79696eb8fd32095cd57f52a9d5d95491621a7d7af341d802391fd4f33acff,2013-02,Thames Valley Police,Thames Valley Police,-1.313222,52.015806,On or near CHURCH LANE,E01028423,Cherwell 008B,Investigation complete; no suspect identified
73d05b360a7200df78552498f714321953591a22b85fa181aaeaf068b4825529,2013-02,Thames Valley Police,Thames Valley Police,-1.339373,52.062681,On or near Parking Area,E01028438,Cherwell 004D,Investigation complete; no suspect identified
c018b601db383c89beb1d3fe0f0af3b7584c54d791ad8c6d3a2d729d0c31b9a2,2013-02,Thames Valley Police,Thames Valley Police,-1.321388,52.064565,On or near HOWARD ROAD,E01032941,Cherwell 004G,Investigation complete; no suspect identified
e851b7d752aa7607b4d62145a6775a6052a9d6e7a1de395d1faf5fa2876a59e1,2013-02,Thames Valley Police,Thames Valley Police,-1.387935,52.054977,On or near PARK LANE,E01028503,Cherwell 009D,Investigation complete; no suspect identified
1fddb90dacd98639fd07a8ff81f2b51df2e638aa1b2cdad48c9bd4fa53df899b,2013-02,Thames Valley Police,Thames Valley Police,-0.622830,51.471076,On or near ST LEONARD'S ROAD,E01016595,Windsor and Maidenhead 015B,Investigation complete; no suspect identified
3d2a67cb7ff61a05b6d882bf1dd895ded5777d09ae6d6c54e9e8a13da7f3f9b7,2013-02,Thames Valley Police,Thames Valley Police,-0.561184,51.457621,On or near POULCOTT,E01016577,Windsor and Maidenhead 011D,Investigation complete; no suspect identified
98616396b86effce6b0e18274fc16d4155bfa60e44c1a275e5b31040253535ee,2013-02,Thames Valley Police,Thames Valley Police,-1.489609,51.778451,On or near GORDON WAY,E01028819,West Oxfordshire 010F,Investigation complete; no suspect identified
d80156977a31a72b090ef5eb29b4cabd884c569ea78993f2582952997a05a632,2013-02,Thames Valley Police,Thames Valley Police,-0.766345,51.633313,On or near JUBILEE ROAD,E01017905,Wycombe 013C,Investigation complete; no suspect identified
509b1cf35fe8996e8907ce66271e2907acda520188502576be61705b05f25445,2013-02,Thames Valley Police,Thames Valley Police,-0.779232,51.638222,On or near MILLBROOK CLOSE,E01017912,Wycombe 012B,Investigation complete; no suspect identified
22f4d26d8067127578cbfee5f323ddf898d1b17a327d1b193d4de96b7451fe9d,2013-02,Thames Valley Police,Thames Valley Police,-0.743364,51.627791,On or near Parking Area,E01017839,Wycombe 015D,Investigation complete; no suspect identified
320365ad35676313b615295787a0cc200f7a50ae0784dd85d0dd1675e980488e,2013-02,Thames Valley Police,Thames Valley Police,-0.749853,51.618275,On or near WESTMINSTER CLOSE,E01017841,Wycombe 015F,Investigation complete; no suspect identified
82c4d36c87c79c2f983ee180d4e1836d6c0c2c831523055701ade1a77d22f049,2013-02,Thames Valley Police,Thames Valley Police,-0.755008,51.629929,On or near Shopping Area,E01017837,Wycombe 015B,Investigation complete; no suspect identified
a4f3831901ba5d1282fcad67d92e9b25b0bf6605e9e83cc05db89eb445c389b5,2013-02,Thames Valley Police,Thames Valley Police,-0.785125,51.629651,On or near NEW ROAD,E01017911,Wycombe 012A,Investigation complete; no suspect identified
55826e88f918658e4a7f29ef6c6ff8cccdb5c87199074db86735ff0d74baa660,2013-02,Thames Valley Police,Thames Valley Police,-0.712722,51.600700,On or near CHAPEL ROAD,E01017868,Wycombe 018D,Investigation complete; no suspect identified
451df36ad77cf393e9f609584c904e701886d49f9845e173018fbe042bdbd178,2013-02,Thames Valley Police,Thames Valley Police,-0.893478,51.656060,On or near RAVEN ROAD,E01017918,Wycombe 004D,Investigation complete; no suspect identified
054d10581f95a27639b67693967bc573d897130c1751242bba63120f09f98028,2013-02,Thames Valley Police,Thames Valley Police,-0.776260,51.578944,On or near OAK TREE CLOSE,E01017891,Wycombe 022C,Investigation complete; no suspect identified
607ac6023994f6252a69cb5242b99af16c58f71502567df3e0126272e1ffe237,2013-02,Thames Valley Police,Thames Valley Police,-0.660999,51.527628,On or near Petrol Station,E01017804,South Bucks 007A,Investigation complete; no suspect identified
019402702e03003ca024e4363d783701918fe22312b71c350f1e7311da338b96,2013-02,Thames Valley Police,Thames Valley Police,-0.635408,51.599044,On or near WINDSOR END,E01017799,South Bucks 001D,Investigation complete; no suspect identified
d9500d7279706c32dad1c3e08aa85d3cb83ee001903621b71091bd9b55036ae1,2013-02,Thames Valley Police,Thames Valley Police,-0.666773,51.536740,On or near BREDWARD CLOSE,E01017806,South Bucks 006B,Investigation complete; no suspect identified
c6c47e1a5d3a7f8a7de79b27df756cddca835ea9c2632a641c0ccba709c8e472,2013-02,Thames Valley Police,Thames Valley Police,-0.533489,51.572548,On or near PINSTONE WAY,E01017818,South Bucks 002A,Investigation complete; no suspect identified
31c7dc81e9100a42a4939c489abdbf2ba58cd8d0477f97a4a30b6bbf54f60e7b,2013-02,Thames Valley Police,Thames Valley Police,-0.563131,51.562376,On or near HAY LANE,E01017823,South Bucks 004D,Investigation complete; no suspect identified
95e2062db526082bb204d329ea1624177f1bd16d8f72754d9badc69f5c61aa25,2013-02,Thames Valley Police,Thames Valley Police,-1.050701,51.454423,On or near WELLFIELD CLOSE,E01016262,West Berkshire 006C,Investigation complete; no suspect identified
6c844818c447a6b8e9686400f39802be881f76ee9c0a56c503288ae15a4bcba9,2013-02,Thames Valley Police,Thames Valley Police,-1.062844,51.480650,On or near PURLEY RISE,E01016316,West Berkshire 004B,Investigation complete; no suspect identified
2e993a4921b5b544719f1967d138dadc49db6fed02d4f6058194c20e3ef21443,2013-02,Thames Valley Police,Thames Valley Police,-1.559478,51.482487,On or near Petrol Station,E01016304,West Berkshire 002B,Investigation complete; no suspect identified
4de4866dbd1dbfd0f91019bbc0eed698833e791e26ad3bfe5eca02092c703d09,2013-02,Thames Valley Police,Thames Valley Police,-1.325833,51.394985,On or near NEWTOWN ROAD,E01016319,West Berkshire 020D,Investigation complete; no suspect identified
492578357d789bb8bc6c96177ca5878f268ba0fe23c0a753d7cd6b03738babcc,2013-02,Thames Valley Police,Thames Valley Police,-1.332586,51.384225,On or near HEATHER GARDENS,E01016322,West Berkshire 021F,Investigation complete; no suspect identified
8fa5c7ab6f9c5ee138ad6dbf627f0010ab16d3c16dd76db49e5645c2d1e92b3b,2013-02,Thames Valley Police,Thames Valley Police,-1.316471,51.387585,On or near CHRISTIE HEIGHTS,E01016295,West Berkshire 020B,Investigation complete; no suspect identified
c17f72b0a059f186ac8100dc74de62c93874a7f2e1a18f84a7b318cba5283698,2013-02,Thames Valley Police,Thames Valley Police,-0.893239,51.435211,On or near GAZELLE CLOSE,E01016702,Wokingham 009C,Investigation complete; no suspect identified
010c5464020253194dde5233475578ee1825b0086f7b83730262b2dd405cf9df,2013-02,Thames Valley Police,Thames Valley Police,-0.576989,51.709876,On or near YEW TREE CLOSE,E01017750,Chiltern 001A,Investigation complete; no suspect identified
4a788d404dd49eab128bac7f1324a8a34191a520015f2328d2b68e2e5b03d55f,2013-02,Thames Valley Police,Thames Valley Police,-0.646633,51.691088,On or near WEEDON HILL,E01017778,Chiltern 001D,Investigation complete; no suspect identified
0e937d838d39a4dcbd37b294f55495f6e6e31b440e6f029e09ec8f8b33142268,2013-02,Thames Valley Police,Thames Valley Police,-0.619432,51.666881,On or near THE WORTHIES,E01017745,Chiltern 007D,Investigation complete; no suspect identified
9a448a3beecbdf01e8e648a26551140c0a79276b361d51df8ae1cf20c1d66c0b,2013-02,Thames Valley Police,Thames Valley Police,-0.598207,51.676179,On or near HARDWICKE GARDENS,E01017742,Chiltern 006B,Investigation complete; no suspect identified
6f9021bc1d2562f615698acc753b0eed2fb2fbe674327c7f2d68b12c34aeeb73,2013-02,Thames Valley Police,Thames Valley Police,-0.571555,51.669177,On or near KENWAY DRIVE,E01017776,Chiltern 008C,Investigation complete; no suspect identified
e2e1bddebb12c10d1ebe583680ff4c9558641c4d6f9a100b1f534119bffe2fef,2013-02,Thames Valley Police,Thames Valley Police,-0.901405,51.437815,On or near Petrol Station,E01016669,Wokingham 006F,Investigation complete; no suspect identified
80f4415c8a1c2c196700380f4f2d154b44dc13fd2dc9681bb2255de77bd2a210,2013-02,Thames Valley Police,Thames Valley Police,-0.988429,51.453650,On or near ARGYLE ROAD,E01016358,Reading 007B,Investigation complete; no suspect identified
5254425984133d7c4252c5e0095da32aaf80acb51ef739b15bfc0eec04a98773,2013-02,Thames Valley Police,Thames Valley Police,-1.017331,51.443448,On or near WORCESTER CLOSE,E01016421,Reading 015C,Investigation complete; no suspect identified
d9c653efea6b627c506bcff47f95812bf1f8b1ec7bb6871c4bfbf9a013d36d28,2013-02,Thames Valley Police,Thames Valley Police,-0.757824,52.033567,On or near JOHNSTON PLACE,E01016725,Milton Keynes 021A,Investigation complete; no suspect identified
cb0896c9a519fecd157108d63d4f72707c1044ab0c9aef5feb7b0d91d9bb3019,2013-02,Thames Valley Police,Thames Valley Police,-0.735386,52.043471,On or near WALBROOK AVENUE,E01016731,Milton Keynes 016A,Investigation complete; no suspect identified
237fd8ae727ad7e0aab33fca0a9727b14e136bf783ac803e8a322b00150f3525,2013-02,Thames Valley Police,Thames Valley Police,-0.889873,51.460105,On or near Parking Area,E01016622,Wokingham 004A,Investigation complete; no suspect identified
be46096a5ad49fd6895e663a97dc955243848696f600f470cfcf6d6154eabda8,2013-02,Thames Valley Police,Thames Valley Police,-0.886733,51.464949,On or near Park/Open Space,E01016619,Wokingham 002A,Investigation complete; no suspect identified
