Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f3c673b0c52e5178936abd6fe103b694a2a985733c414bb8caf2ad4045f6148f,2015-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a drugs possession warning
e5b8d9c9e727c48ef687fad71c66bb54ca74abfc434b330774ac9985d6b4caa5,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.398564,52.755154,On or near OLDSUNWAY,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
b08798d42ba60c8c2d147502caf25ad4561c5922be4db8e8b322b0347328e0b5,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.301557,52.629493,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
7c6e067d3909c2b0137f69b1deee7f8ecc04f9b5e64888151ed17c622a1de7cd,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.293521,52.629744,On or near EXCHANGE STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
35301642a96c5511b16b86d0d9129c6d98c924ce622cb20bfe1f6862177d2350,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.230476,52.600977,On or near LODE AVENUE,E01026716,King's Lynn and West Norfolk 016E,Investigation complete; no suspect identified
eb19116f9f786d40be138da7af87700e7dc088de975a2b39d1d54cd8820ecb0d,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.133102,52.482300,On or near BRICK KILN LANE,E01026878,South Norfolk 011B,Investigation complete; no suspect identified
9b863bda05507cc1ab6814e81c7c092c0ab5b5fbb11622fa752a4073b9b92184,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.229803,52.633973,On or near FOWELL CLOSE,E01033436,Norwich 005H,Investigation complete; no suspect identified
9e01e70651c067e47726242fff6e24c19bfe5db4a8460846f4304c34604b6902,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.267776,52.618289,On or near WALDECK ROAD,E01026815,Norwich 012F,Investigation complete; no suspect identified
2631063b8a436bdcc869676e093e9c3a96ae8d59f413dff74ef829068fef57ab,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.443069,52.468838,On or near THE LOKE,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
94b6f46f72af4b3e967c103566bc3522fda65b84b6bba0a99db70330f7927e06,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.278329,52.646966,On or near HALF MILE CLOSE,E01026829,Norwich 002B,Investigation complete; no suspect identified
1d6dd5b3b834adeb17ebd1b8914bd4044662fb0b5ab1878e6a21748979faf4e1,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.955222,52.678655,On or near CHERRY ORCHARD,E01026426,Breckland 005B,Investigation complete; no suspect identified
1b94cde2f9affda9de1db3ecc440b30e0e25c82699bd34a7689bc318543f2cc9,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.735676,52.602257,On or near PORTLAND PLACE,E01026626,Great Yarmouth 006E,Investigation complete; no suspect identified
872450368b961a38d4f91bece2afa63788be5fb7c8845e03105f812687180959,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.406321,52.733750,On or near ENTERPRISE WAY,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
f0e547f8da259ac3756f2fcc43e2e8aff03b01cc0d47d09742a517b9fd651c3c,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.938777,52.676132,On or near THE GROVE,E01026425,Breckland 005A,Investigation complete; no suspect identified
8a03e222b095f6c9bf4e7b352240a9c2d655be0916ccdbf2b64f59370eecc82a,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.298836,52.629857,On or near UPPER KING STREET,E01033438,Norwich 014A,Investigation complete; no suspect identified
ec6aeacb28c879f5a152c513b6673acad0bc60c6828b13dba550ff78c1addd16,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.751979,52.626961,On or near THE STREET,E01026496,Breckland 008E,Investigation complete; no suspect identified
74b1a7766fac01319b63f13aaf7604783a81976574eabdfc9175790d7583bf0a,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.126002,52.579607,On or near Parking Area,E01026933,South Norfolk 007C,Investigation complete; no suspect identified
2e88455525a4b6ae90133db5439da0582e78801b64e40db9d93f9412311b2b70,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.688825,52.648016,On or near Supermarket,E01026455,Breckland 007A,Investigation complete; no suspect identified
ffd439e455351db0a9f364a77dd681d9fd8b70b1d101a0a229df74eafd568a1c,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.662302,52.620289,On or near CLEY ROAD,E01026444,Breckland 012B,Investigation complete; no suspect identified
dbd70bb2f3b174bb13ae8b0cbad721bf07b6b9d564da42e257e62f63667c23d5,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.221052,52.618086,On or near Hospital,E01026883,South Norfolk 002C,Investigation complete; no suspect identified
31013d9f1672f5a164121b3907541aa95451004b8c4833d6956469ad4e0599d9,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.262991,52.633018,On or near Hospital,E01026863,Norwich 006A,Investigation complete; no suspect identified
26ef0e28c33ce2e20c8662d4647610b9b167c906a373f7f29f3f45dc1341fc2b,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.393109,52.603871,On or near SANDRINGHAM DRIVE,E01033036,King's Lynn and West Norfolk 017E,Investigation complete; no suspect identified
e0928a66ee2fcfcb04747f9ad0980e4c64924f91a158e4e86312c3cb750abc91,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.723969,52.585122,On or near Petrol Station,E01026601,Great Yarmouth 009A,Investigation complete; no suspect identified
3e2997cd1720bbda8d74504693d22e29a2b3f2fdcc174b169126e93a068418c7,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.649725,52.661866,On or near CHURCH LANE,E01026608,Great Yarmouth 002A,Investigation complete; no suspect identified
d53058cbc9a0ea659f2615a88d83512c3b466b9c8a84c881426648e4aa96e9a3,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.262766,52.605171,On or near LINDFORD DRIVE,E01026813,Norwich 012D,Investigation complete; no suspect identified
7424dff52596dd6b8e59d13d7106b51255c1871525595be57830a5fd12512d8b,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.748832,52.414297,On or near Parking Area,E01026468,Breckland 016A,Investigation complete; no suspect identified
1e8b7898c575505a329125e30ce996148534713b395c4781cd5ff8d8d6158a1f,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.721430,52.576090,On or near PASTON ROAD,E01026630,Great Yarmouth 010D,Investigation complete; no suspect identified
b0b95423f4fbf9ac5528162b41f472fb9f6d8c83072abb065a3a7e3f06f65ee0,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
a8a83e4c547ebf7538f6e835fbe8434de9536c707cc47783c1cddaa3ee30151f,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.395044,52.755549,On or near HIGH STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
414dcd3e30a65fd94d096fded9668e5672c7981de37261907d7e46e21d97e23e,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.235384,52.698915,On or near POPPYFIELDS,E01026537,Broadland 004E,Investigation complete; no suspect identified
d454e428fc3afe9c7191438892e55e31adab4ace8ff9e2a2e02de7fb6bccf730,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.397510,52.753224,On or near Nightclub,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
53837d1ed0ca38c1805518e16dc698f0bddda56afbf07e6f151e26b28519bc2a,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.549616,52.768125,On or near GAYTON ROAD,E01026675,King's Lynn and West Norfolk 012C,Investigation complete; no suspect identified
6ccea7317c7276dccfddf76a5ab47479735de6330dcc720346cee66f69cfc483,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.611465,52.463130,On or near HOCKWOLD ROAD,E01026492,Breckland 012C,Investigation complete; no suspect identified
1abc5f9b6efd2521b456915bca3c66da67ea6c3551d4eb90fc3197759d574471,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.410967,52.755118,On or near TENNYSON AVENUE,E01026668,King's Lynn and West Norfolk 009C,Investigation complete; no suspect identified
9a37b5c7727cc956c67c878d3b2a46ddd8462c61fd94bfede6c4b2a09dd7da7c,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.247796,52.629236,On or near Petrol Station,E01026861,Norwich 010D,Investigation complete; no suspect identified
c1cec9f9d8ca5ae7b49ddb200979823954ef81b5afc7597f16e580c6f9c05d88,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.293950,52.629354,On or near Shopping Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
38883d2766509bcd1fb8b4e315338e83d42ae028d04ce312f9cf62984cd9dbbe,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.406348,52.767027,On or near NOTTINGHAM ROAD,E01026688,King's Lynn and West Norfolk 007B,Investigation complete; no suspect identified
