Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e4aba8a81e790a175053620ebdeefe1743e5c337fe4fc41d476be690510ac90e,2015-03,Lincolnshire Police,Lincolnshire Police,-0.760907,53.374844,On or near LANSDALL AVENUE,E01026388,West Lindsey 007A,Investigation complete; no suspect identified
b00b7edd2e12f5fa70ced721a5857f2109b25189ceed66e64e10f9714905a8df,2015-03,Lincolnshire Police,Lincolnshire Police,-0.162281,52.793060,On or near WOOLRAM WYGATE,E01026273,South Holland 006C,Investigation complete; no suspect identified
e9a0fa79b243b0778a6052cd0a665c3e39027dff6e45e19cec3d808cbb96fb2c,2015-03,Lincolnshire Police,Lincolnshire Police,-0.153297,52.788416,On or near Shopping Area,E01032995,South Holland 006F,Investigation complete; no suspect identified
ef47dadedd213717ba381233f030ece039c6aee2dfb342fb910799b41ed0c802,2015-03,Lincolnshire Police,Lincolnshire Police,-0.395009,52.761787,On or near A151,E01026301,South Kesteven 010C,Investigation complete; no suspect identified
7fe822e92175d4dbadd2db93f6e077b1c0e6a2a6bfad53e4f890ceb2a8a80724,2015-03,Lincolnshire Police,Lincolnshire Police,-0.005234,53.371889,On or near MILL LANE,E01026078,East Lindsey 003B,Investigation complete; no suspect identified
4ea2adc215a25a6fe8f398898650b1d249275c88895cd203b67e5372d5477bab,2015-03,Lincolnshire Police,Lincolnshire Police,0.352492,53.188423,On or near MARINE DRIVE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
28e1272ea8fe63ae92dc3fc7cfebe1f802862ef193d5824de8a950817ce657ba,2015-03,Lincolnshire Police,Lincolnshire Police,0.333472,53.218279,On or near GATRAM ROAD,E01026048,East Lindsey 010A,Investigation complete; no suspect identified
442a60a7037e91d52dab63adc2ae3c8e09515a732470cd3f71f7c9f8b710f79b,2015-03,Lincolnshire Police,Lincolnshire Police,-0.515773,53.240845,On or near WRAGBY ROAD,E01026154,Lincoln 004F,Investigation complete; no suspect identified
a95fec136c1f0052b207e3ca90c2d9024bb17285b10033fa1aab0f910409bc28,2015-03,Lincolnshire Police,Lincolnshire Police,-0.386919,53.043145,On or near HAWTHORN CLOSE,E01026222,North Kesteven 009C,Investigation complete; no suspect identified
a6da49c13179668ece9dfaf2fb3864e0931604c40e460a218f3f885d3f1f5716,2015-03,Lincolnshire Police,Lincolnshire Police,0.082039,53.398259,On or near TOSSEY LANE,E01026058,East Lindsey 002A,Investigation complete; no suspect identified
cbb3f0c54320ca660641b0c567c5e18b4aff41d90bb8437f26d2befde24437c8,2015-03,Lincolnshire Police,Lincolnshire Police,-0.507191,53.231676,On or near ELLESMERE AVENUE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
5ead09104806ffb88187509ba4dcfaff638a1dac4e6c36dda77ab48aa9b32966,2015-03,Lincolnshire Police,Lincolnshire Police,-0.556885,53.228153,On or near POPLAR AVENUE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
a83a7fa7a01caa4b5e6b764c5b6ba833c01cbfbabc346110572c5af699476a3a,2015-03,Lincolnshire Police,Lincolnshire Police,-0.130248,52.795059,On or near CORONATION CLOSE,E01026270,South Holland 007C,Investigation complete; no suspect identified
ed20e731075068be4a312f4872e976cbac468f72d2ad9603c00c9d99d5205af1,2015-03,Lincolnshire Police,Lincolnshire Police,-0.561399,53.203414,On or near HAINTON ROAD,E01026170,Lincoln 010B,Investigation complete; no suspect identified
615ac7772da14e3ef61d395d8a79968348df553686b766273cc6c2312ff758d0,2015-03,Lincolnshire Police,Lincolnshire Police,0.322669,53.150950,On or near LANCASTER AVENUE,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
7be22c8d13fd25974d87507b058f40f335fec09411dc72660705be9ca9d685da,2015-03,Lincolnshire Police,Lincolnshire Police,-0.013113,52.973232,On or near WHEELER CLOSE,E01026026,Boston 004C,Investigation complete; no suspect identified
976c6c004e024b0d40de93c83c4552f61bd4b214971fb95399b4af039838bd28,2015-03,Lincolnshire Police,Lincolnshire Police,-0.559349,53.203830,On or near ROOKERY LANE,E01026170,Lincoln 010B,Investigation complete; no suspect identified
e39d70957349197966179389bc86b7f6d8329aaad3c450dde0237f6e19f5055f,2015-03,Lincolnshire Police,Lincolnshire Police,0.340581,53.147542,On or near LUMLEY CRESCENT,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
b53092d2e0dd5895d2cfdafb794297e86b7ae0f40b92b79ace3ef017fa6b5429,2015-03,Lincolnshire Police,Lincolnshire Police,-0.083306,52.890071,On or near STATION ROAD,E01026017,Boston 007A,Investigation complete; no suspect identified
9ae22adff16bc597e73a5c6bdfbf3e80665dc3e7ab7539137f1b0671ef454be4,2015-03,Lincolnshire Police,Lincolnshire Police,0.170473,53.069856,On or near HOWGARTH LANE,E01026111,East Lindsey 017C,Investigation complete; no suspect identified
af103c7e13996e76e3fb812f6ea76baf88f4dd4fca2be218ea4fd3fb546adc4b,2015-03,Lincolnshire Police,Lincolnshire Police,-0.010589,52.977605,On or near FREISTON ROAD,E01026028,Boston 004E,Investigation complete; no suspect identified
348d5337e1f8f11a0d8a2711565141ad17c119e70228828fbd5e796695a536f3,2015-03,Lincolnshire Police,Lincolnshire Police,-0.003690,53.124206,On or near DRAIN BANK,E01026060,East Lindsey 009A,Investigation complete; no suspect identified
68ce59d296306ca9c68f1b726367df5e287e2aef2f8d7e8c869844260b814655,2015-03,Lincolnshire Police,Lincolnshire Police,-0.601750,53.214412,On or near MELBOURNE ROAD,E01026159,Lincoln 009C,Investigation complete; no suspect identified
162b00d89dd34f7eb733a9e1b11fb6a1f43fe2f74a67a50e32fdb65fa0fc6413,2015-03,Lincolnshire Police,Lincolnshire Police,-0.317287,52.675695,On or near Shopping Area,E01026335,South Kesteven 013B,Investigation complete; no suspect identified
b3609a219f230dd296917f861d7b21d00a818fdc059f184d4b0f52fa332322e7,2015-03,Lincolnshire Police,Lincolnshire Police,-0.765276,53.394260,On or near LUDFORD CRESCENT,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
6977fd5eab3a6e5b74001440ddf7eff435181a1d41cc8b69596976cc3e6fc058,2015-03,Lincolnshire Police,Lincolnshire Police,-0.181570,53.107278,On or near HIGH STREET,E01026054,East Lindsey 016D,Investigation complete; no suspect identified
34672b5d93c765dbd7e9916b1f536bf1d5c3cd51ab9b4fe406037455221b4ecf,2015-03,Lincolnshire Police,Lincolnshire Police,-0.020612,52.983184,On or near HARTLEY STREET,E01026036,Boston 003D,Investigation complete; no suspect identified
2e960779e0f8d697ad4912670b8c8644f9fea589cc9b4a252f900f7b5652e2e5,2015-03,Lincolnshire Police,Lincolnshire Police,0.097042,53.174162,On or near Supermarket,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
2e960779e0f8d697ad4912670b8c8644f9fea589cc9b4a252f900f7b5652e2e5,2015-03,Lincolnshire Police,Lincolnshire Police,0.097042,53.174162,On or near Supermarket,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
0439ec8a1a30c3904b20091dcdea816095ada53a2776a15c58087e84320e7c61,2015-03,Lincolnshire Police,Lincolnshire Police,-0.659882,52.912099,On or near WROXALL DRIVE,E01026309,South Kesteven 005B,Investigation complete; no suspect identified
83043302102f3927f117d014bb0408b3370d04a4a79d0bff3bbec67324aff93b,2015-03,Lincolnshire Police,Lincolnshire Police,-0.044060,52.952177,On or near Bus/Coach Station,E01026041,Boston 007E,Investigation complete; no suspect identified
4babc177df115c14615a0c3f63d2e55fc4a7d018e3fbbfe3bc7c523c05504c21,2015-03,Lincolnshire Police,Lincolnshire Police,0.180096,53.080380,On or near CHEALES CLOSE,E01026111,East Lindsey 017C,Investigation complete; no suspect identified
b4bea5d89b1aee9570d0764af057cae39940c3c784496cabee5242d069a609c8,2015-03,Lincolnshire Police,Lincolnshire Police,-0.663538,52.909748,On or near DYSART ROAD,E01026309,South Kesteven 005B,Investigation complete; no suspect identified
