Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2c77c362040bccd182775589fc11c11d0d8aabab64268066d311e548ade19e0e,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.178460,51.920336,On or near Petrol Station,E01023774,Stevenage 003D,Investigation complete; no suspect identified
4c1bed911762244697b4c66d16127eb5c0ca26707d1c79049248e97a3a0d3c74,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.175779,51.925132,On or near Pedestrian Subway,E01023790,Stevenage 001D,Investigation complete; no suspect identified
15be00229ea095b5ebe599826d984cec615f7b3bbcdb8b64f40110907b3626d3,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.172745,51.894548,On or near MACKENZIE SQUARE,E01023793,Stevenage 010C,Investigation complete; no suspect identified
05cc0691c3f509adb41c2da4f06d49b7d69a0add789015e6dd7b17a7362ee05a,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.167277,51.922482,On or near BIRDWING WALK,E01023789,Stevenage 001C,Investigation complete; no suspect identified
e265aa17fd7aa1f8a52db7f8b6d891793c3e77e29ba32a5d19f1f3ea3aa9b560,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.189073,51.925472,On or near Sports/Recreation Area,E01023799,Stevenage 002D,Investigation complete; no suspect identified
a1d8783b4199d192cdca814a20cba7f09446f249e4c45d91ba5cf6d86bedccd4,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.495037,51.683318,On or near ALEXANDRA ROAD,E01023854,Three Rivers 003D,Investigation complete; no suspect identified
8f5f4512d2590128f6c3a09a8ed1634307f3fd8a35608a3b3f3c60c49ead2c48,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.172545,51.893043,On or near HYDE GREEN EAST,E01023793,Stevenage 010C,Investigation complete; no suspect identified
510486526e6dbc7d3fc80f306358b3d085290d79127275d5054684cce49457ba,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.177843,51.892127,On or near LOWER SEAN,E01023791,Stevenage 010A,Investigation complete; no suspect identified
7b814c00a39a828156a0f70f1e70d362a6ff9bfdf62b091b8608f669fb994d02,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.219571,51.924373,On or near Petrol Station,E01023800,Stevenage 002E,Investigation complete; no suspect identified
0fd8b0f61fe0e6412ef8305752a6d4ed98580a42f7f8a4a1b36f560f9502bb49,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.157017,51.896758,On or near LIME CLOSE,E01023753,Stevenage 009D,Investigation complete; no suspect identified
