Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
364fd68e747fa15ed43c6a78af5eb3a4cbc22a2b32aa26d0174b1e6426ca05a9,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.043342,52.452292,On or near HUNTINGDON ROAD,E01018105,Fenland 011C,Investigation complete; no suspect identified
d898869672f1684d5b4c7a81e1402c5141e19a2aa236871d05a313b974d0fe95,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.117891,52.284454,On or near NEW TOWN,E01018235,South Cambridgeshire 002C,Investigation complete; no suspect identified
53a31709a17252fdd5e2ab75ba06d7908c4ffb1b76f78623277f197d8847664c,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246989,52.576073,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
5ab770aa3b42719bb8ab22e0eae7e8fc7333c902a7d43c4d2cfbb088b2cd2529,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.276049,52.435962,On or near THE LEYS,E01018195,Huntingdonshire 004E,Investigation complete; no suspect identified
11cd4b9a8803ae1387e4483e84dbafb3073d97851b007e3e54ede6e71a690080,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.295089,52.555431,On or near GLENEAGLES,E01015646,Peterborough 018D,Investigation complete; no suspect identified
696a8af70248f1329bde0487d6defce2a4352890a83e2ae3676a75b4f8480837,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264095,52.586116,On or near SAVILLE ROAD,E01015661,Peterborough 010D,Investigation complete; no suspect identified
20863ebbc7e3c42645a22e9e4d0a0a763ecd62d5d35f1352caa51e1dec5f1d22,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121270,52.163569,On or near RED HILL CLOSE,E01018292,South Cambridgeshire 012A,Investigation complete; no suspect identified
0aa34635051ebd87adbaa46d51cafa00d9262f5c98778e2c30cd0f33f3737464,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121261,52.143392,On or near CHURCH STREET,E01018291,South Cambridgeshire 014E,Investigation complete; no suspect identified
4e0bf169bcfcfea8454fd99ec997ad631d86c12de903b021feb25ce68e8d851d,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.143014,52.223503,On or near CHESTERFIELD ROAD,E01017974,Cambridge 003E,Investigation complete; no suspect identified
4fe300622e137fd8dfa269210bad9ae06a9ee33492d5215fd874f79e000264b9,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.059526,52.071139,On or near B1368,E01018241,South Cambridgeshire 018A,Investigation complete; no suspect identified
c04b46a315e8aacd8088c8b54cae6e004d637c7d0fda99facbbfedfa142d63e5,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.165946,52.188969,On or near ST BEDE'S GARDENS,E01017961,Cambridge 011C,Investigation complete; no suspect identified
4177bca6afb6272ddc74e12f841fbff60521657ddde07cdff322d5ac33114671,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.291519,52.554688,On or near RUSHMERE,E01015638,Peterborough 022A,Investigation complete; no suspect identified
6ccb9c03ed12ad048098a42aa2ee5503dbfc46907c758ad8c7a873c97eab07fe,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121261,52.143392,On or near CHURCH STREET,E01018291,South Cambridgeshire 014E,Investigation complete; no suspect identified
9fe2f4f827ba7e7d0d05c9bc4e70fae28ea58a472827f9af605645a01f1803bc,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.305330,52.552270,On or near OTTERBROOK,E01015645,Peterborough 018C,Investigation complete; no suspect identified
40c766629b868d7dadfaf2476ba5d1bf6e8bf84fa0fb245ebe2b0058055adce3,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119485,52.228424,On or near AYLESBOROUGH CLOSE,E01017952,Cambridge 002D,Investigation complete; no suspect identified
