Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3b2694021cefc9d45fe0e33cc8e274d53cb53a67514b09e14efc11ec3f6f9699,2013-01,Thames Valley Police,Thames Valley Police,-0.603806,51.675634,On or near CHILTERN AVENUE,E01017742,Chiltern 006B,Investigation complete; no suspect identified
6e2e1f0a3738c80fe02d9aab379b1228e96fa29b86aeb4c2bbfe8e710b726d9b,2013-01,Thames Valley Police,Thames Valley Police,-0.563131,51.562376,On or near HAY LANE,E01017823,South Bucks 004D,Investigation complete; no suspect identified
cea7b7641e248c2810be722e14a2e25ef27aebf8c07117a693ed4c69217c0459,2013-01,Thames Valley Police,Thames Valley Police,-1.150957,51.896931,On or near MARKET SQUARE,E01028468,Cherwell 015D,Offender given penalty notice
dab19ff1a7f3cf41912303a328e9802bb83e514d71fd0f92c37011c726c289cc,2013-01,Thames Valley Police,Thames Valley Police,-0.751049,51.629438,On or near CHURCH SQUARE,E01017839,Wycombe 015D,Investigation complete; no suspect identified
8db5bd5316fa6cf56e246dca381a8d89cdb1d930123063f60060986ee2330804,2013-01,Thames Valley Police,Thames Valley Police,-0.722953,51.989057,On or near Supermarket,E01016746,Milton Keynes 032D,Investigation complete; no suspect identified
deb7284eef0592af30f76cd4b04ab6f6873df72398aa0b5f87d44c7409068913,2013-01,Thames Valley Police,Thames Valley Police,-0.760780,52.042140,On or near Pedestrian Subway,E01033499,Milton Keynes 014E,Investigation complete; no suspect identified
9ac0487d727019705c5b225e457412bd61301573dd8a0bfa1cadb5641211f807,2013-01,Thames Valley Police,Thames Valley Police,-0.760015,51.523591,On or near FARM CLOSE,E01016602,Windsor and Maidenhead 006F,Investigation complete; no suspect identified
838aeab48c1886494e051b95259882b559588267ed0f78ad97121d66833ea247,2013-01,Thames Valley Police,Thames Valley Police,-0.725386,51.517582,On or near Parking Area,E01016592,Windsor and Maidenhead 004E,Investigation complete; no suspect identified
5f8244dec758a9a939359441b497b54d3196fdf0036aa6d92cff64f9b2dfbcde,2013-01,Thames Valley Police,Thames Valley Police,-0.589141,51.505538,On or near GROVE CLOSE,E01016512,Slough 011B,Investigation complete; no suspect identified
7eebd1dbff22d112ef8ff778ed53e2358101580bd5688c403e1929edf4b0ee7c,2013-01,Thames Valley Police,Thames Valley Police,-0.629378,51.836409,On or near CHURCH ROAD,E01017702,Aylesbury Vale 009F,Investigation complete; no suspect identified
9535aa31d065d54b7e0f1eee358a0fc917a9d0000922657ad44224098a44c793,2013-01,Thames Valley Police,Thames Valley Police,-0.808209,52.058624,On or near STACEY AVENUE,E01016838,Milton Keynes 008C,Investigation complete; no suspect identified
85e5e7b19b8cf0b5a0fbea71a6f3872350a0b3c69cde1eb252c114d0a1de83e3,2013-01,Thames Valley Police,Thames Valley Police,-1.063186,51.734162,On or near SANDY LANE,E01028647,South Oxfordshire 004B,Investigation complete; no suspect identified
e25876a6fb715394a97e015f374f4499adaf22208dd13751fcb8ed2a5b35cc15,2013-01,Thames Valley Police,Thames Valley Police,-0.808209,52.058624,On or near STACEY AVENUE,E01016838,Milton Keynes 008C,Investigation complete; no suspect identified
ccb285ba2487ec27c9231d94fdba63981d72f8b6cf27c2069b023104ef6a0ca6,2013-01,Thames Valley Police,Thames Valley Police,-0.697890,51.523538,On or near ELLINGTON COURT,E01017833,South Bucks 006D,Investigation complete; no suspect identified
d139d0627688c1fc2d0640ae28b307d0ca656911d07441add519257bfa974d15,2013-01,Thames Valley Police,Thames Valley Police,-1.605283,51.761148,On or near STIRLING CLOSE,E01032953,West Oxfordshire 013H,Investigation complete; no suspect identified
7139dabbd70302020235766df8c22a92ab2470215bc80dc8137273a7cd6a2271,2013-01,Thames Valley Police,Thames Valley Police,-0.808362,51.346563,On or near VALLEY VIEW,E01016228,Bracknell Forest 014E,Suspect charged
72d331336b9ea313a216a74d9d256810c2acb07607f35c8c0a04e4b0b43af0c0,2013-01,Thames Valley Police,Thames Valley Police,-0.486127,51.553054,On or near WILLOW AVENUE,E01017812,South Bucks 003C,Investigation complete; no suspect identified
