Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
02c307b3f874cfe70b1368203679595079090e4d65303ad17a10e650f9096d1e,2013-01,Dorset Police,Dorset Police,-1.985232,50.714022,On or near PROPSPEROUS STREET,E01032662,Poole 015I,Investigation complete; no suspect identified
ce4d598f7c9e408cd436ba6b4fb1e69f17e3333aa93275956c35bacb1938c201,2013-01,Dorset Police,Dorset Police,-1.893701,50.746771,On or near Sports/Recreation Area,E01015357,Bournemouth 007D,Suspect charged
d39d0acc18747ddb58ae1f3eee220851d8cf10cabf0fbd1802c74eb3570ac101,2013-01,Dorset Police,Dorset Police,,,No location,,,Suspect charged
c1edd9500b106420eecb32fc4f951311e4a02376f47b1da4dfaf21e77627ebb9,2013-01,Dorset Police,Dorset Police,-1.939114,50.746821,On or near MANOR AVENUE,E01015380,Poole 007A,Investigation complete; no suspect identified
be5b09774d43cfd69731d227acde02c09200c0129ccae9b791968a4255cdd950,2013-01,Dorset Police,Dorset Police,-2.455358,50.611442,On or near CAROLINE PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
f9be36eca5e22efbf858578b18970fda0e2354aee01403662921aac673f718aa,2013-01,Dorset Police,Dorset Police,-2.442020,50.568183,On or near CASTLETOWN,E01020569,Weymouth and Portland 008D,Investigation complete; no suspect identified
81577110ca0a8ed2c134e138173c10e0c93d874439fcf706d4d4d2d229a64bf2,2013-01,Dorset Police,Dorset Police,-2.463117,50.653210,On or near ROBIN CLOSE,E01020549,West Dorset 011D,Investigation complete; no suspect identified
9fff32bbff0eb733ad74a14089ddd90793d0fb961d0a430aef96e890dcf63d3f,2013-01,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
db0d01181a5d3904bc26cee27535695e8cb0a674c959d9e743aa888feee41ce2,2013-01,Dorset Police,Dorset Police,-1.788268,50.751987,On or near HUNTINGDON GARDENS,E01020352,Christchurch 002B,Investigation complete; no suspect identified
643df3f12458e17ce234349cf47cf76a719660dc61194ffc55b8e69343043cb9,2013-01,Dorset Police,Dorset Police,-1.778524,50.735000,On or near Shopping Area,E01020367,Christchurch 006D,Investigation complete; no suspect identified
35dd9bebf7bc88d7fc22332d5530e1f4bfca0303bd4904d46f7a91a9ef78b76c,2013-01,Dorset Police,Dorset Police,-1.828293,50.834964,On or near SCHOOL LANE,E01020404,East Dorset 004B,Investigation complete; no suspect identified
3aeb223c24ecb3e821e0fa095c14e87a30e356d3838b6cc7dfeaafc072bff767,2013-01,Dorset Police,Dorset Police,-1.900454,50.804356,On or near Sports/Recreation Area,E01020408,East Dorset 009E,Investigation complete; no suspect identified
7bcbf6116fc1bfa5a0f62c6777fe967b56fb3d0add15560d3f3b7009f1b0c0cd,2013-01,Dorset Police,Dorset Police,-2.155110,50.862728,On or near RICHMOND ROAD,E01020439,North Dorset 007E,Investigation complete; no suspect identified
2a1b20b9439241cf16d1f23f1eb7943230c28e9d27ceca31b4c9a31d1787eab4,2013-01,Dorset Police,Dorset Police,-2.116495,50.619936,On or near Parking Area,E01020467,Purbeck 005B,Investigation complete; no suspect identified
20c32611e58ba7d8ee566e428ba9ec3bdf65d61887a65416c7e26d21946c933c,2013-01,Dorset Police,Dorset Police,-2.033829,50.735609,On or near BIRCHWOOD ROAD,E01020474,Purbeck 002D,Investigation complete; no suspect identified
3ac503d0a6e454f1e535d55f9931e5d4f75744a425d7fb11db4671fe47473915,2013-01,Dorset Police,Dorset Police,-1.977491,50.609561,On or near JUBILEE ROAD,E01020483,Purbeck 006F,Investigation complete; no suspect identified
3fae63cea03f297978105f14111a0a32b619aa730209bb1cab947adabdaf836f,2013-01,Dorset Police,Dorset Police,-2.222249,50.677903,On or near KNOWLE HILL,E01020492,Purbeck 004D,Investigation complete; no suspect identified
27ff0c357b3d116f11b7a8cce7ea523915829f8fb2e19fc1701a601719f298f3,2013-01,Dorset Police,Dorset Police,-2.452828,50.614437,On or near Pedestrian Subway,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
f28c77785dd7e9fcd150c2ad898d41d04289f4b20576b616f94cde10fe3c917d,2013-01,Dorset Police,Dorset Police,-2.482800,50.610999,On or near GRANBY CLOSE,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
5820feb21dfe73bcf5dc81d1c3239e056e0199034851e7784543e2a10ef325ba,2013-01,Dorset Police,Dorset Police,-2.456584,50.603856,On or near RODWELL AVENUE,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
fca1d108bda394401eb0179a7f2a6590360e8e138939cff2cfdd9d18253e68fe,2013-01,Dorset Police,Dorset Police,-2.331000,50.665738,On or near CHILBURY GARDENS,E01020537,West Dorset 011B,Investigation complete; no suspect identified
38988415d084874c4826f19359739f62acca05a15852cdc22f166a0a99d9b3a2,2013-01,Dorset Police,Dorset Police,-1.715136,50.749880,On or near WOODHAYES AVENUE,E01020371,Christchurch 004C,Investigation complete; no suspect identified
