Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
94e1a05ae13cd1409a5706d3a1501b3936e2d1ba38bd571c2773b367bddb3148,2013-03,South Yorkshire Police,South Yorkshire Police,-1.485865,53.415446,On or near ADKINS DRIVE,E01008124,Sheffield 012F,Investigation complete; no suspect identified
76016287a0527e76496645b3191d2b936f4eaba4e027a506ebaedaca806198e5,2013-03,South Yorkshire Police,South Yorkshire Police,-1.300128,53.451230,On or near LAMBERTS LANE,E01007720,Rotherham 010B,Investigation complete; no suspect identified
138e9c41e35975ca279d5c86feb03713b8a96c4aa8e66f324c58d2c40f596a54,2013-03,South Yorkshire Police,South Yorkshire Police,-1.139869,53.554471,On or near THE AVENUE,E01007506,Doncaster 010A,Investigation complete; no suspect identified
f34f656dbd730db1e54035015484534c9c85810d438375d84ed940e8ceccf4fa,2013-03,South Yorkshire Police,South Yorkshire Police,-1.440477,53.373786,On or near SWIFT WAY,E01007881,Sheffield 075C,Investigation complete; no suspect identified
93c0cd776fed42b9676815e63ae056c0efb94576557f4cc8fa4a87b7c9752cdc,2013-03,South Yorkshire Police,South Yorkshire Police,-1.469604,53.409101,On or near MUSGRAVE DRIVE,E01007943,Sheffield 019C,Investigation complete; no suspect identified
48d46892544b4d43e28012cc05a97c08be672e2921cadd773cf52e607a444053,2013-03,South Yorkshire Police,South Yorkshire Police,-1.433270,53.359640,On or near BAZLEY ROAD,E01008098,Sheffield 048A,Investigation complete; no suspect identified
f8702e9307b79d00a27fc40a86521b03c53dc128a1fc22e9b73e755e5646358e,2013-03,South Yorkshire Police,South Yorkshire Police,-1.416199,53.387270,On or near FREDERICK STREET,E01007906,Sheffield 027D,Investigation complete; no suspect identified
fa217c08b5331fa41e7d7753b44aaf23649497650a9d3d61fcebeb70bf116e5b,2013-03,South Yorkshire Police,South Yorkshire Police,-1.529562,53.393110,On or near DEER PARK VIEW,E01007998,Sheffield 025B,Investigation complete; no suspect identified
bf16f617812127d9eaf871e02e793f34748adb4588840a04754de3a2de8c11cc,2013-03,South Yorkshire Police,South Yorkshire Police,-1.150057,53.537214,On or near LAUDER ROAD,E01007513,Doncaster 012B,Investigation complete; no suspect identified
1ba38d84a16b7b9c581e10398a85536cd255cc8881e2789e1dc7a8c3cd620c4a,2013-03,South Yorkshire Police,South Yorkshire Police,-1.469988,53.344258,On or near MOUNT VIEW AVENUE,E01007830,Sheffield 064B,Investigation complete; no suspect identified
26d217826e76570f37c00a1deff88ae71fd7a3b7690157f730a3175f1437813c,2013-03,South Yorkshire Police,South Yorkshire Police,-1.459245,53.355221,On or near CARFIELD LANE,E01007976,Sheffield 051B,Investigation complete; no suspect identified
