Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6b0bf06ff27c46f768f21824231f93d596de9a1416410c7d2be6f6ceb68d3125,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.182859,52.048047,On or near Supermarket,E01029995,Ipswich 014C,Investigation complete; no suspect identified
8f5403bb96999e808c56616af1a848d8a8ea86955bbaa9bf81b0ec1884adb7b3,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.143640,52.060586,On or near CLARKSON STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
bd5612baec802254ab4e08f2773c9d7c20edd19c08cc0a0562eb17e4a5935ce8,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.123486,52.084362,On or near OLD NORWICH ROAD,E01030035,Ipswich 001D,Investigation complete; no suspect identified
4eb84b0603652aa711e194e0e156f6f01b27f5abe46e392e5c1770845c5d7624,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.069771,52.098941,On or near VALLEY ROAD,E01030042,Mid Suffolk 012A,Investigation complete; no suspect identified
27b0e9c7c9adf22e5dfe8e64072f6687c46debaef9d23fb306d3220d5b60077f,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.172222,52.273855,On or near BEDINGFIELD ROAD,E01030090,Mid Suffolk 003C,Investigation complete; no suspect identified
a1ad78cf3c23c920b6520e89f0f6e5e32f1643bd6bfdc268288012faa03c28d9,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.429317,52.080839,On or near PRIMROSE HILL,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
c690b98308ad1739989a1cacd6fbbe3c6363f1f448eab63b15b46130d8d23cb9,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.618406,52.262839,On or near Parking Area,E01030134,St Edmundsbury 008D,Investigation complete; no suspect identified
eb50e31db94f78ea470236129454cdf62f8c901ccfd8b749e7722c0ec3f835ac,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.327841,51.958700,On or near PEEWIT HILL,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
6001b39ab343d6e1709f75353febabb5ada98850dcf4d0b058316a94567afd47,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.712308,52.458536,On or near SANDBANK ROAD,E01030288,Waveney 006E,Investigation complete; no suspect identified
4b1d1e12173f47035e0b79e6471dbeb281483f5a05cd7899caef6fe5143e076c,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.420340,52.240306,On or near NEW CHEVELEY ROAD,E01032612,Forest Heath 008F,Investigation complete; no suspect identified
5dd513af28c1de2e81df53f261e2f042ad28df736a4fc233a8058347bd7fe82f,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.491947,52.306286,On or near LARKSPUR CLOSE,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
351539f2de27a6b7034341a880a056c7250310893a07caddf95529ac60325a75,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.752737,52.052862,On or near WALDINGFIELD ROAD,E01029921,Babergh 006B,Investigation complete; no suspect identified
c6483a2ca056bf820ce2e9c49b1ff16a5a7b6ac91315365ff07b5dc7c6587272,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.407539,52.244120,On or near PALACE STREET,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
d2b4e79bf4bee9fefaf46e87174ad24165832ce00acdf4f464d11e850b91ea55,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.522877,52.351004,On or near YEW TREE CLOSE,E01029946,Forest Heath 004D,Investigation complete; no suspect identified
da713a1f32ec37a9756d0c1e7031c5d77a98cfeaf35bf5ef5c078b4c1eca3ab3,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.128721,52.031906,On or near ALDERLEE,E01030021,Ipswich 015E,Investigation complete; no suspect identified
82186dfda1a1a6d2fa1f093d54314ac8e53b866fb07ed4a4a79762197d6f13d0,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.140195,52.061406,On or near RENDLESHAM ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
5ea7c4059e15eb9f60c9424dac3d6609b8e54c7914bc8da12a33e33e1b5888bd,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.114671,52.068892,On or near WEAVER CLOSE,E01030028,Ipswich 003B,Investigation complete; no suspect identified
39b7b50b73b0e9a0337e5ee037b28707dc091086089f0c0191377a3e8a45ab1a,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.712687,52.245296,On or near SKINNER STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
f92c333e0c3977f6efd7902a4416db59bbc3e0a540f1e26536b806609f326cf4,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.426983,52.079241,On or near LEATHER LANE,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
