Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5e76198ecc82f9cf1e0be9953774843e2691c9a9f81a8218fd66eff4f49d415c,2012-06,Warwickshire Police,Warwickshire Police,-1.274204,52.385759,On or near NEWBOLD ROAD,E01031171,Rugby 003A,Investigation complete; no suspect identified
6e2e773afe9d766ed3b387abbf15417bc4c035e9a55f34ac2aed2109def5eac5,2012-06,Warwickshire Police,Warwickshire Police,-1.311044,52.202988,On or near ST MARY'S CLOSE,E01031197,Stratford-on-Avon 005A,Investigation complete; no suspect identified
9a85f8292fb8c748c302766a80effb8c48ea92abf5c0483977db2276643dfcc3,2012-06,Warwickshire Police,Warwickshire Police,-1.553349,52.291531,On or near THE SPINNEY,E01031293,Warwick 009D,Investigation complete; no suspect identified
34c62e11a31980e2bfc4eaa16259a290968821960947621f8ce1d6fbb9145173,2012-06,Warwickshire Police,Warwickshire Police,-1.568493,52.275135,On or near WARWICK TECHNOLOGY PARK,E01031315,Warwick 012A,Investigation complete; no suspect identified
7d8d91f25165a2c8302515b74437182711f8848d501a4250f92ffea38d08ed13,2012-06,Warwickshire Police,Warwickshire Police,-1.259787,52.372723,On or near CHURCH STREET,E01031144,Rugby 009B,Investigation complete; no suspect identified
3488628beec2138c821cddbb9f34afd942a468826d40fd7a096d245b06b4487b,2012-06,Warwickshire Police,Warwickshire Police,-1.502021,52.218054,On or near Petrol Station,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
de7dbac63878cbaa9f691ebff6bb642bb5e0e2a618ef4932c6431171e14f38df,2012-06,Warwickshire Police,Warwickshire Police,-1.823347,52.231343,On or near MILL LANE,E01031208,Stratford-on-Avon 007C,Investigation complete; no suspect identified
b66e693dc55cd0be9a979b9973128a6adec1a4b2f58014659537fb84c6750097,2012-06,Warwickshire Police,Warwickshire Police,-1.625004,52.068349,On or near MAYO ROAD,E01031215,Stratford-on-Avon 015D,Investigation complete; no suspect identified
69d87c3fc627104380ab8b0251afe338034fda70ad3dd2cff15bb97413c15ac7,2012-06,Warwickshire Police,Warwickshire Police,-1.732973,52.195463,On or near BROOKFIELD COURT,E01031233,Stratford-on-Avon 011B,Investigation complete; no suspect identified
50d017e4359d480dee8a9a295b9cf5179a5da8e02e8e178b5b0dd3ec775b7bdf,2012-06,Warwickshire Police,Warwickshire Police,-1.524861,52.277863,On or near ALEXANDRA ROAD,E01031263,Warwick 013C,Investigation complete; no suspect identified
2b8764dbcb7487a84db5c936e9e5bd51d8eb007f4839f7a102c25d3b0d76eef0,2012-06,Warwickshire Police,Warwickshire Police,-1.565117,52.359488,On or near LANEHAM PLACE,E01031300,Warwick 002E,Investigation complete; no suspect identified
607fa5ec4a5a48b7b2bc2b2504e46c65630bed760ab33e80d38a37b9aaf242df,2012-06,Warwickshire Police,Warwickshire Police,-1.589942,52.288679,On or near NEWBURGH CRESCENT,E01031321,Warwick 011A,Investigation complete; no suspect identified
6961c3b32e34e931b01a28fd2519badb5e0c88c57487816c385cc6f2c749f8ea,2012-06,Warwickshire Police,Warwickshire Police,-1.533001,52.285762,On or near CHURCH WALK,E01031336,Warwick 010F,Investigation complete; no suspect identified
7f730a2e1271b2138161dcd96f6fe0c90076f7085db3650188daf259e3bd85df,2012-06,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Investigation complete; no suspect identified
d05591e5c45de87199037f7471767fd927a3d381a6deb51efe4ba10796969045,2012-06,Warwickshire Police,Warwickshire Police,-1.490472,52.527089,On or near POOL ROAD,E01031057,Nuneaton and Bedworth 006A,Investigation complete; no suspect identified
e37e36fd4b9d794231200c38f9843395eb0a44ad4d111323047b932b533bc87a,2012-06,Warwickshire Police,Warwickshire Police,-1.280691,52.369022,On or near KNOLE CLOSE,E01031168,Rugby 006B,Investigation complete; no suspect identified
