Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5133886e473bfbd80675602b96f8a5147824e5b2615a890dcadadcf3f8328d7e,2012-06,Sussex Police,Sussex Police,-0.416666,50.833443,On or near ELM MEWS,E01031792,Worthing 003A,Investigation complete; no suspect identified
3f7c7cf9f4416ce7498461e697624afa5b0071c2dcdf97a99af98ebdcf6f9315,2012-06,Sussex Police,Sussex Police,-0.370817,50.819385,On or near IVY ARCH ROAD,E01031798,Worthing 005E,Investigation complete; no suspect identified
ab1ded5958c7849851242533922accce583d6a313c048d1769df34d06831483a,2012-06,Sussex Police,Sussex Police,-0.401933,50.849843,On or near VALE AVENUE,E01031821,Worthing 001C,Investigation complete; no suspect identified
f0259437069be9af5b19a9f04a577c2b40577123b77dca739f67fa3891030121,2012-06,Sussex Police,Sussex Police,-0.391656,50.826473,On or near RECTORY ROAD,E01031839,Worthing 002E,Investigation complete; no suspect identified
bf966820425ee9441dc58a3cae823d0f20be03636886e6220226b0e78d934c15,2012-06,Sussex Police,Sussex Police,-0.429315,50.821275,On or near THE GREEN WAY,E01031785,Worthing 006B,Investigation complete; no suspect identified
323e1dcd7bf1f9aa07341cca9775bb559b690329b668284434f0a101f7c9cb5a,2012-06,Sussex Police,Sussex Police,-0.422279,50.819004,On or near THE STRAND,E01031786,Worthing 006C,Investigation complete; no suspect identified
10fcd076feea4f22112dbdc5f7be525e4d59e006ea76625e9799f61780c13bff,2012-06,Sussex Police,Sussex Police,-0.415594,50.832376,On or near CROSBY CLOSE,E01031792,Worthing 003A,Investigation complete; no suspect identified
7a62c901c5b536c74d95b349a92f1966c70ea869fe3fa8e4245d1df0e73d08b1,2012-06,Sussex Police,Sussex Police,-0.420664,50.840368,On or near SPEY CLOSE,E01031793,Worthing 001A,Investigation complete; no suspect identified
2394c7980aa068c3b03bd851abe796d76286b945e2f3267a317d25d94e261209,2012-06,Sussex Police,Sussex Police,-0.417225,50.832848,On or near EDMONTON ROAD,E01031795,Worthing 003C,Investigation complete; no suspect identified
72393f379eae2daf75306ead43c8f9bfea9b406a3c345039b03983706e7b38e8,2012-06,Sussex Police,Sussex Police,-0.385712,50.823846,On or near ST LAWRENCE AVENUE,E01031797,Worthing 004B,Investigation complete; no suspect identified
257364dd2985813cf4d1f4b0b69d5c0ad85bbafeb7149d045272bd1f0828dee5,2012-06,Sussex Police,Sussex Police,-0.428967,50.827413,On or near CARISBROOKE DRIVE,E01031817,Worthing 006D,Investigation complete; no suspect identified
d39c528a92f989f1b03c0879908725d655783d0f2a543036b8d9eacdd00ddd7e,2012-06,Sussex Police,Sussex Police,-0.402352,50.853797,On or near DOWNSIDE CLOSE,E01031821,Worthing 001C,Investigation complete; no suspect identified
f21b80696dfc0fad2e68589bc61399238e338affbd9f27b1b92ff0de85c76458,2012-06,Sussex Police,Sussex Police,-0.411916,50.842434,On or near Hospital,E01031829,Worthing 001E,Investigation complete; no suspect identified
858cc1eb0f5f0e5311844d7fb9c815563feeaf56618a4e74ee947b68d3766462,2012-06,Sussex Police,Sussex Police,-0.403765,50.823213,On or near HAREFIELD AVENUE,E01031836,Worthing 007C,Investigation complete; no suspect identified
8eda77e1e4ffb778ccf99613b5e9f7fa6ab64853b94670b4790462bc41216f34,2012-06,Sussex Police,Sussex Police,-0.400751,50.828324,On or near LINDUM WAY,E01031840,Worthing 007E,Investigation complete; no suspect identified
21437432f3b64a4101a94c790ee6370866bcd1bb085b51f06dfdf083ec932628,2012-06,Sussex Police,Sussex Police,-0.371932,50.811819,On or near LIVERPOOL GARDENS,E01031787,Worthing 011A,Investigation complete; no suspect identified
dc467b454c799fd0cdc7d74c59fd914559bf14784bef667c098db2c3d2e589c0,2012-06,Sussex Police,Sussex Police,-0.370675,50.810812,On or near Shopping Area,E01031789,Worthing 011C,Investigation complete; no suspect identified
a310e0609409f7bf0734b1f57f40115ca14dc26b8b69d33825c65a266ddf51e3,2012-06,Sussex Police,Sussex Police,-0.368592,50.811934,On or near Shopping Area,E01031789,Worthing 011C,Investigation complete; no suspect identified
86b27a1ba4ee23caaa99f602f575f9b685f6fd75e5020cdf8628b63fae946f5a,2012-06,Sussex Police,Sussex Police,-0.382889,50.814714,On or near SHAKESPEARE ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
951da1bb23a2a14923fe07552bff1849456543b2fb7b67d1c4063147cd1009e4,2012-06,Sussex Police,Sussex Police,-0.372888,50.819027,On or near Pedestrian Subway,E01031798,Worthing 005E,Investigation complete; no suspect identified
b00f6d4e269d8752dffe35f8358326877e54838a9ab4e955d312be0a31d879e2,2012-06,Sussex Police,Sussex Police,-0.421240,50.812757,On or near Parking Area,E01031806,Worthing 013E,Investigation complete; no suspect identified
959600b0b3271a60fd006418911aec9948f12feb1e195965faf9f01686e83891,2012-06,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
b56ab9eb489ae117cabb348127ac261927d6f0814a1a87af9d481276829d7171,2012-06,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
4041226143e6892ca97070714f9c206f69fa0627cb9be0e9e1e9fbf14575aaca,2012-06,Sussex Police,Sussex Police,-0.401276,50.813376,On or near Supermarket,E01031813,Worthing 012B,Investigation complete; no suspect identified
