Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9d493a999c53cc2dc362bd4566c6d37a8a3deb0d1b573056e808b0c34a97e766,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.257152,51.648602,On or near TINWELL MEWS,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
bf9b517b5c027debf71d66188674db6e177e515570103d8be8bf3813e45746a9,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.267140,51.660350,On or near Parking Area,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
576e13b7a45e5acfa5902594c9316cf9e0f1e3a9e091b793bbba6e09a71c7d18,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284216,51.665313,On or near EATON WAY,E01023531,Hertsmere 007C,Investigation complete; no suspect identified
09c17069d5b977b64065023bdeb99a37306b8ac0df97cb68f1b27af0821d78f4,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.292111,51.664933,On or near GIBBONS CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
00bfa6045888e5725daa26170b3db121d692ece03e5f79ce53fb05ef580cf44f,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.322721,51.677109,On or near LOOM LANE,E01023524,Hertsmere 005B,Investigation complete; no suspect identified
1b30fad88bdc3c200fdeb6341698ff98392bcab488f51f7cc08505f38b2388ac,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.314884,51.682122,On or near Parking Area,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
d7e44d4e431b859f292d90f2dc908eccc181e54fe2dc3661c7d3f9143c89a3ca,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268655,51.661586,On or near MEADOW ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
9b4049a8a9b46f3708f4bbfd7837873d2bd954c4e0ade938b1284c9979e44696,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.267140,51.660350,On or near Parking Area,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
98701bb454a3d1f1db25bb5b6598df2ccceb762e6a2203f40fa509f4958da0e8,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.317877,51.650522,On or near DAGGER LANE,E01023528,Hertsmere 010A,Investigation complete; no suspect identified
975f37af5cdb102225a0993f2c16aa9eb2dc0f31d88a7c3518f0b178566a540c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.267140,51.660350,On or near Parking Area,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
13d15dd252cc040cc06c92fd95fbd9a9cb1bb83bd976a07e2d1ba12f317b9e4c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.267583,51.652542,On or near WOODLANDS CLOSE,E01023540,Hertsmere 011B,Investigation complete; no suspect identified
9baa9674143a4d43a36b96d52a0bbcf157349f17acc7b29fc80e53f6733c4955,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.282339,51.667164,On or near LEEMING ROAD,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
dbe3989ee3a6bb52218eb2f9d7eab1a257abd7cd41de936ba89bf9a466a1de83,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253942,51.653132,On or near RYE CLOSE,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
f417215ed8fc6ec589bac42af0c30a00f16817e0431f47931cf642d9953001ed,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.281408,51.718100,On or near ESKDALE,E01023704,St Albans 018A,Investigation complete; no suspect identified
02d9957f2e41a26470fc0d998e2b7706a299913578044fa52594bc96e8336a55,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
efc04a7c70c2614f4843be07758a7a4275a7194364f59b7603f1862c74c9d63d,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.255373,51.644107,On or near Shopping Area,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
ab6bdf9e2e58678df69c77b20c323f18b92f53c59563fd42e1637423e06a2ce9,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.291562,51.665680,On or near Supermarket,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
a5f9d95ba3f4d6e8ab8edaf03ea348a1fa5ddb65d7888bcaef87e2200ba50a9b,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.285736,51.712390,On or near BELL LANE,E01023583,Hertsmere 004C,Investigation complete; no suspect identified
e4cec55d8757d4f706aebfd3879d2d69e690b4ec247d1dfa8a38195139463d79,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.262180,51.655475,On or near KENILWORTH CLOSE,E01023541,Hertsmere 011C,Investigation complete; no suspect identified
521e89a40faaef802e458c4549f93623f31c6fe64c28fc7dc63864f51313ea02,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.259604,51.652901,On or near FEATHERSTONE GARDENS,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
9f24c44d6509a4dc9a5f50e73d6bc8c7db236530fa989ebb507fc089e5f2c368,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.301780,51.643007,On or near FOX CLOSE,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
d51e88b655329f6f870831a12ff7a24c90f619316ff6bc3640b0612edd2bd467,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.303554,51.642331,On or near DELIUS CLOSE,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
0ec527dc869c5f6407630a84946180163ff975640c17093df075fd0e8f835b25,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.274836,51.654537,On or near Parking Area,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
40688a495d0d33a739e178f257b5bae6d9e6d39ed23b6d9a02e3a1547a056725,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.294869,51.667725,On or near TOMKINS CLOSE,E01023533,Hertsmere 007E,Investigation complete; no suspect identified
ad4675e601ce6a5b8909d415dc13d4226392633a01f58db4684a8168698b10f9,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272676,51.667625,On or near CROWN ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
c8df37a8d711322423de5e1d81e15a0e6810372f12d39de837e71ee6fd060ddd,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.296054,51.643481,On or near GEORGES MEAD,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
1d2293809ea460ce54f00f81b40009467628f4b0df0e541338fcf946c7c5be9c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.267551,51.658306,On or near MAXWELL ROAD,E01023541,Hertsmere 011C,Investigation complete; no suspect identified
a7faa3fb668190f2bd514f7925e0f97ebc4f323816359dceaef5012111472e43,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.290133,51.668690,On or near ROSSINGTON AVENUE,E01023533,Hertsmere 007E,Investigation complete; no suspect identified
f3663aeeb2afd8c78a4cf11bdad8135209c82cb2506c82a344ee5de03c017fa1,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.256365,51.657439,On or near WARWICK ROAD,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
7cc6b981d004c18e164887029b6a30c417d3acb9e075bb9efac8c2b45a1b1c5c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.256268,51.647141,On or near HALTER CLOSE,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
60bf51009450d12a7a6a4b8250cd16862e8284a60c41ff050524f10d627f5ac7,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.254910,51.647517,On or near HACKNEY CLOSE,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
f308a0684508317d44473a2582ba90add6f1d20b65c836527d6165812275a7a3,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272407,51.648072,On or near VALE AVENUE,E01023540,Hertsmere 011B,Investigation complete; no suspect identified
aabc44d650b50ce6d463bc4e07e1a422261b72b8c453a7e6310ad20523b60133,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.220578,51.687062,On or near WASH LANE,E01023567,Hertsmere 002A,Investigation complete; no suspect identified
f608be588f5e1d734c06bd34e4a4175d339f0a0833eb3d462df1caeb68a440ea,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304488,51.637057,On or near A41,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
24c352da57d6477eff9b7f5f80d974c8da96d6c26193f4d96de2139138da411f,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
3aaf12a5044b9e40535fa6ccdaf3f0e7c1acef17d6017675ae099ef34c784d5e,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268828,51.650205,On or near FURZEHILL ROAD,E01023540,Hertsmere 011B,Investigation complete; no suspect identified
d7e5a166dda7644507730982b5763046ef2bd9991925b73aac142d8bdae80f8d,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.233631,51.693284,On or near HAMILTON CLOSE,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
70510900742d5f9a3fb7cabcc4a491b863d39063f5c47decce2c058fe2a2f2d7,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.293648,51.695232,On or near MADDESFIELD COURT,E01023581,Hertsmere 004A,Investigation complete; no suspect identified
739250d1655b94ee5567c0a6ece1f55428fda654e27a1971310282789303a887,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.308240,51.663997,On or near Sports/Recreation Area,E01023524,Hertsmere 005B,Investigation complete; no suspect identified
36b89f5ce4c06eab3a88a5502b4351256a30168be6c30096fb40a563a4032160,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283615,51.667453,On or near BALDOCK WAY,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
c652c282105fe273fe047fdc2fa13584b921a69c4456c33ccbdae01bb7a1c50c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.289744,51.669422,On or near HAGGERSTON ROAD,E01023533,Hertsmere 007E,Investigation complete; no suspect identified
4cf500d3371f47f0f50c7ce2802f88f43e90386613557e01340d15abb0ee8df5,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.252844,51.655750,On or near NEWARK GREEN,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
7121a4e9a01ef6f497fb7575c8b21232cc3a5d52e32448632288c8154abeb89f,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.259850,51.648345,On or near GRANTHAM GREEN,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
0219eb10359f9fd73d287c164471a5b2eb86bfde5209ec1133d3feac5adeb547,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.329040,51.663405,On or near THE ORCHARD,E01023528,Hertsmere 010A,Investigation complete; no suspect identified
7777abf822c98a24acf75e7dd630ae522d8849efc352f949545a6e844317dd14,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.256268,51.647141,On or near HALTER CLOSE,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
957076f6dc64bdb8a90371e200cf8668399d8099a5cca575b6bb50272f10ccdd,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.277854,51.653485,On or near WHITEHALL CLOSE,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
96d1745207be28fb216b284e28a99d6043284141d3744ec440c1d3e1cd2c053e,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.280687,51.666870,On or near BLYTH CLOSE,E01023535,Hertsmere 006B,Investigation complete; no suspect identified
5f67bcd722534a45df35d004119ebe7571745b9da47ac623432fcb03c362d448,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272421,51.663305,On or near BRODEWATER ROAD,E01023538,Hertsmere 006E,Investigation complete; no suspect identified
90222f12c1eccc2947fc7cd7a8f368d46c01ec4da4007a9d78dac110f9c1383c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284981,51.664973,On or near ALCONBURY CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
caa6e1ac7b3be2990e1a3e5f284af02efed9b44aa79c92f50fe3c35d4af061ab,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.224752,51.691324,On or near SWANLAND ROAD,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
561095f706ed82df9f7d2c86fc90ab1072a016aeb14db6bb2a5c7b1913ab41f7,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253999,51.650156,On or near CARLTON CLOSE,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
4cf8d93a538a1e5786fb7d54fd194feed59291bb49587d091829eaa92c7912f3,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.271229,51.657380,On or near Petrol Station,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
42fe7cf0c20194d53d66362865e8d8360dd23d9b9050351de1d03ac601ee2a45,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.278190,51.655675,On or near Supermarket,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
75b0eb28f67b0c3fb87afafdd88b7b0b77965e408fca139e2193c944cb122fff,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.289695,51.663819,On or near STEVENAGE CRESCENT,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
9d2679d3f6d3edc586f43a3e53e6a0f07ca5516b81da5a474c84095b52afc906,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.252239,51.737201,On or near BENNETTS CLOSE,E01023679,St Albans 015C,Investigation complete; no suspect identified
c890dc47033c954689dfde344691e322e985be9d7a6f3b1f3457ac70e8840b56,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.274374,51.656815,On or near Supermarket,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
ee8fda055d1e8cfc1e3d9770b3b169ad6c2a92082fc0d08f4c5039145975e990,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284236,51.722565,On or near Park/Open Space,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
4df5ad38856421d85247c77ce11d1890824444f16fc3272226396bcc8c77c022,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.320412,51.680097,On or near ALDENHAM AVENUE,E01023525,Hertsmere 005C,Investigation complete; no suspect identified
6e4b654b4e5e5ca32fc65703101a35901dc3bffbbbef6557848d30e2798aa369,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.327270,51.692622,On or near OAKRIDGE AVENUE,E01023526,Hertsmere 005D,Investigation complete; no suspect identified
40f04b82261dc34bb314270fe5dab9fe550a6506c3f7d77654171585502fbbf5,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279899,51.692244,On or near CAGE POND ROAD,E01023583,Hertsmere 004C,Investigation complete; no suspect identified
8020f8a3c99c9bea5e80f19158f92c0ef3c78a559e4f17d8bd8c90b9de8c11e4,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
a506aa8bae5f284133dcf46c15eddbe3b90beb439e5220657f7fab390c84c622,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.299805,51.652141,On or near WATLING STREET,E01023565,Hertsmere 010C,Investigation complete; no suspect identified
59c67e551ffbc50668240b29f8c72811fd6d722fb88ff2fd223be3221d14f1e0,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284981,51.664973,On or near ALCONBURY CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
d465984e443caaf952223430d0accb83801aeb1a6e2436a851b5a03e9be0c5ba,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.331895,51.677006,On or near FAIRFIELD CLOSE,E01023527,Hertsmere 005E,Investigation complete; no suspect identified
ba36fe7a7b1e8c505b0c9047083b4490dfbfa9c0ca896e3af009ced3275dac80,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268655,51.661586,On or near MEADOW ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
739b66fb2567552ad05ee31e36ea780ae96f49baa5412815d02b03e032317332,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
0594698c4331961ac38f4ecbfa36591bb6addade2e1e0a06e8074843aa79b936,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.225427,51.687369,On or near BIGNELLS CORNER,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
b57a4d6c23bf6581ec7dccd4ba67622a6acdd00718d6b586dca40d1d9419b3e3,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.287995,51.667867,On or near SINDERBY CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
89664939d21f5355fa86a39102bba5a64faeecda1dd4499af96bb58b0898f563,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.260502,51.660018,On or near ELSTREE WAY,E01023545,Hertsmere 009B,Investigation complete; no suspect identified
fcf0aa691b6cf077ae16a7a2f4300c1f73840845d7fa9bd968ee809977ddd050,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.255373,51.644107,On or near Shopping Area,E01023543,Hertsmere 011E,Investigation complete; no suspect identified
c606d1e791e23c4734d999ed89cfa5d564dd4ee6f6091c1fae6f354039b66f62,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.304329,51.641713,On or near SULLIVAN WAY,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
488c3f0885e0137ac9cfeb8fb063cd82dfb4c605d8494cd58d4114c5bd5d06df,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.274374,51.656815,On or near Supermarket,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
fb1f2104f305de6758612c0b3c0b967d6d6f14b6e455b496c0b1d9d21764c345,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253005,51.648568,On or near RICHMOND CLOSE,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
538f14ccb069978bc2bfbb131c1c555b53e3e25fb49a14f677d5e7fb6ccb43c3,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.260502,51.660018,On or near ELSTREE WAY,E01023545,Hertsmere 009B,Investigation complete; no suspect identified
f8454e54a5a93b327a4cf3224fd4ea1466cbf8fe0c2d81dd0128d2e596266602,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.296127,51.693164,On or near HAMBLINGS CLOSE,E01023582,Hertsmere 004B,Investigation complete; no suspect identified
6164e97f446e1d54264296282e02c282895407b388e6cdf8f649f96eded4d69c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.329556,51.677674,On or near RENDLESHAM AVENUE,E01023527,Hertsmere 005E,Investigation complete; no suspect identified
aca4ababf2cc3b9c61d29c3cb8faed411eae972766b6df30e1ef5d1881d6757c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.257260,51.667272,On or near ALEXANDRA ROAD,E01023544,Hertsmere 009A,Investigation complete; no suspect identified
3771f0193fd1cbe83dbe254f59b5c922b0a219bb7c83f2d458c58d3242209e9d,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.258885,51.654671,On or near KENILWORTH DRIVE,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
c559367cab4f654539f9d059c57c5690764b5d4a1448dd5ac2ce85dc7f30d79c,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037328,52.052587,On or near JARMAN WAY,E01023655,North Hertfordshire 002B,Investigation complete; no suspect identified
b67ab067b6a806e42f9c180d7fa7566f869d857874b53ae488b1691622262bf9,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,0.012305,52.005495,On or near WINDMILL CLOSE,E01023598,North Hertfordshire 005D,Investigation complete; no suspect identified
47857bc3f3f934a62e1e4532d4b0abdadc8c56921c0914dbf757d8a7259d3a9f,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024836,52.050751,On or near THE GREEN,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
4d3d53c013a2141a9cc46fc8d0571728e90d0d9a4d885ac26f50847cf93a0bc3,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024933,52.056174,On or near SERBY AVENUE,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
4606478c4fa227ebd734bc7c54f01ac7ea02e3735173338c4ae17de25706b01d,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035353,52.047725,On or near HEATHFIELD,E01023655,North Hertfordshire 002B,Investigation complete; no suspect identified
e6e8b9780a15a9541e1b7e80939f859c8718a354e10a1aff625dd4fa0fae14f7,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,0.038508,52.027425,On or near HIGH STREET,E01023597,North Hertfordshire 005C,Investigation complete; no suspect identified
