Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
28128d990fd9aa0777b9404dcb9373723b8f1e7f37b11ade7ca566bbe7a03004,2013-08,Essex Police,Essex Police,0.222664,51.920026,On or near NEW ROAD,E01022083,Uttlesford 005C,Investigation complete; no suspect identified
a50869fcf40030e3d89998d7948818226a93314da3ec5ed7c376f3cabcdad2dc,2013-08,Essex Police,Essex Police,0.478234,51.554865,On or near GLENMERE,E01021300,Basildon 022A,Investigation complete; no suspect identified
189def10541525ed70d429d8136bc3b04b6c15a3794404f2a9b706580267097c,2013-08,Essex Police,Essex Police,0.406782,51.724101,On or near HIGHWOOD ROAD,E01021634,Chelmsford 011D,Investigation complete; no suspect identified
ece23269d03411f8a38213a6d57f5ed3edb711b073af9fd22ec7cb2ffbf4ecad,2013-08,Essex Police,Essex Police,0.609835,51.554115,On or near Parking Area,E01021520,Castle Point 006C,Investigation complete; no suspect identified
49d31b99f68e17b0f821467686ad5827df5dc8ef3f7d80b486b39d44271d1788,2013-08,Essex Police,Essex Police,0.859677,51.847970,On or near HIGH ROAD,E01021645,Colchester 019C,Investigation complete; no suspect identified
2fbb749e98c8a0bcf4ff8db8fd671fccaa9f75782649afd68c84fbeaead706cf,2013-08,Essex Police,Essex Police,0.468329,51.700817,On or near PYMS ROAD,E01021552,Chelmsford 017A,Investigation complete; no suspect identified
7cdc8ce2e307ac9fa3528958ff8feaa8afdd893e03e86fc9c627e1ca706275da,2013-08,Essex Police,Essex Police,0.602775,51.520160,On or near ROSBACH ROAD,E01021497,Castle Point 012D,Investigation complete; no suspect identified
8240a8d1e3a83cd596a91cf34bbf9c4d0b63c83fe0601f54a7cfba866b50939e,2013-08,Essex Police,Essex Police,0.150165,51.681903,On or near MOUNT ROAD,E01021800,Epping Forest 003C,Investigation complete; no suspect identified
e08cc70ce9f57f8000c041bcd2001f7a9646dd85e3ae50f42a7859c525e6cf0d,2013-08,Essex Police,Essex Police,0.524173,51.857540,On or near NOTLEY GREEN,E01021386,Braintree 013E,Investigation complete; no suspect identified
ed6073b747ede2b79f334df6fc8a8f4884eb664ae7f7e502343f4b7f990b576d,2013-08,Essex Police,Essex Police,0.931134,51.775959,On or near OSBORNE ROAD,E01021731,Colchester 021A,Investigation complete; no suspect identified
f57f255dbdff75df941813d58d6e6df26ff348049900e37a5ed07a4b16be8711,2013-08,Essex Police,Essex Police,0.831227,51.663587,On or near NORTH STREET,E01021905,Maldon 006C,Investigation complete; no suspect identified
ea87d029c7f2d1a01db4b886248369fe9fc651d4f780538e1a9c4e63c36cb2ea,2013-08,Essex Police,Essex Police,0.696784,51.550448,On or near SHAKESPEARE AVENUE,E01015862,Southend-on-Sea 004F,Investigation complete; no suspect identified
c9f479c9101cf57835d769d83a6c6b6caaaf508754d79edceb48b48cc707a851,2013-08,Essex Police,Essex Police,0.066380,52.002760,On or near Park/Open Space,E01023597,North Hertfordshire 005C,Investigation complete; no suspect identified
56955abc79c2fb5fbb90b60d759985e3fb2d53abdd226b264acf8b5d420771b9,2013-08,Essex Police,Essex Police,0.334553,51.475481,On or near ALFRED STREET,E01015962,Thurrock 016E,Investigation complete; no suspect identified
65f1ebfbc6922581c9cadb2d1886468fda5c8af9b11353c8d61ed5ecf30334a4,2013-08,Essex Police,Essex Police,0.296849,51.526155,On or near WILSMAN ROAD,E01015971,Thurrock 006B,Investigation complete; no suspect identified
f66ee3bef2603e070af609d09accc3e47264bbaf4010f45baddfc0200d269e47,2013-08,Essex Police,Essex Police,0.682483,51.539327,On or near Sports/Recreation Area,E01015827,Southend-on-Sea 012A,Investigation complete; no suspect identified
fd9e68cd0fdc5b265a7df2ded1d55c7d08118bd29091426e83a8070c16c7bfd1,2013-08,Essex Police,Essex Police,0.900615,51.887717,On or near VINEYARD GATE,E01021649,Colchester 007D,Investigation complete; no suspect identified
e5873e9e6a13c26c595d6accc475d497400aafc316681d18683cdbe50125d3de,2013-08,Essex Police,Essex Police,0.095928,51.771666,On or near Pedestrian Subway,E01021872,Harlow 007E,Investigation complete; no suspect identified
c93a6190dd0649ac4cebac89caaddd185e2800a967f7378bc2a428c707ec46f4,2013-08,Essex Police,Essex Police,0.289729,51.624965,On or near CALCOTT CLOSE,E01021432,Brentwood 004B,Investigation complete; no suspect identified
9d78e462217c08492b59f09d48aa7fe32a15e88bf43a60004b66a676623c1d32,2013-08,Essex Police,Essex Police,0.484118,51.574931,On or near PATTISWICK CORNER,E01021270,Basildon 012D,Investigation complete; no suspect identified
c64c99ac884574038c785b170a6540406e908d7bfc285a53b91bc0d641fb54a3,2013-08,Essex Police,Essex Police,0.246805,51.929045,On or near VERNON'S CLOSE,E01022062,Uttlesford 005A,Investigation complete; no suspect identified
c3c53e57bdf98f6209a6a3bf3a972b9ec2477ca552d68ed5c3274276cf1e4cda,2013-08,Essex Police,Essex Police,0.223567,51.920647,On or near GOLD CLOSE,E01022063,Uttlesford 005B,Investigation complete; no suspect identified
657e8dc6b283c5ab94f1c140c5d5428a076c10f127c578a603959bab710d0142,2013-08,Essex Police,Essex Police,0.029158,51.682581,On or near HORSESHOE CLOSE,E01021810,Epping Forest 008D,Investigation complete; no suspect identified
fe8fdc4e3dcecadeb82719a22e358de9f7e51b8c0da190415033664e3459868b,2013-08,Essex Police,Essex Police,0.646517,51.792392,On or near CARRAWAYS,E01021424,Braintree 018E,Investigation complete; no suspect identified
59d47c5e3de2f029c5004a5bbaa0bc599a3f6e60444fe0e72f3327c6ee3576e4,2013-08,Essex Police,Essex Police,0.539000,51.617526,On or near WHIST AVENUE,E01021337,Basildon 007B,Investigation complete; no suspect identified
0dc0e6d65f56d98228b1e8ee94d9ca722701590710aa363c19244739521abe3c,2013-08,Essex Police,Essex Police,0.854239,51.875145,On or near JAMES CARTER ROAD,E01021690,Colchester 014B,Investigation complete; no suspect identified
1e4c9dce7e24073554f848d8ae0741715b205ca9231fd7b5d2e1ecc2c31abb6f,2013-08,Essex Police,Essex Police,0.478328,51.555529,On or near DENEWAY,E01021300,Basildon 022A,Investigation complete; no suspect identified
73e8d2573cb3d5c6d73eee5df7ee8372eac3f92ec0dbaa14d7303331b33057b8,2013-08,Essex Police,Essex Police,0.512267,51.578162,On or near DALTONS FEN,E01021301,Basildon 011A,Investigation complete; no suspect identified
6fde6442547885f146a4a672b2d23188dd602665c62ba943d19930f5b11daf7b,2013-08,Essex Police,Essex Police,0.642036,51.816460,On or near SYCAMORE CLOSE,E01021419,Braintree 015D,Investigation complete; no suspect identified
1ad33d8a2a8a6e7b16469e823bfa32700401cfcaefa36b9a8117cae39110d0ff,2013-08,Essex Police,Essex Police,0.656962,51.573077,On or near FLEMINGS FARM ROAD,E01015838,Southend-on-Sea 001F,Investigation complete; no suspect identified
2e38b6dc0f2abd75af8c981e5cd964510a31c72e857160cd021f57adc66ce0e9,2013-08,Essex Police,Essex Police,0.458601,51.749071,On or near CAMELOT CLOSE,E01021576,Chelmsford 006A,Investigation complete; no suspect identified
4668664c21f8af9a6ee421f6f9119d12aa5869b3ae3c7c1269432b4d65c16a61,2013-08,Essex Police,Essex Police,0.684702,51.545167,On or near LONDON ROAD,E01015832,Southend-on-Sea 012F,Investigation complete; no suspect identified
5a966a13bb86e5172351240a5d499d4e9fee28df3aac12a3f5d811c7021bfa2c,2013-08,Essex Police,Essex Police,0.679735,51.548510,On or near WESTBOURNE GROVE,E01015905,Southend-on-Sea 007E,Investigation complete; no suspect identified
7b2860107a5c9eb4ae7135ce2300054471ce91a7d89500e7a7adbdc8e05a1bce,2013-08,Essex Police,Essex Police,0.256580,51.501622,On or near MARTIN ROAD,E01015923,Thurrock 008B,Investigation complete; no suspect identified
a1c0982ac36db23e6812366e1ccce7f20945d639a048331009f66beb0a2e3042,2013-08,Essex Police,Essex Police,0.081330,51.775721,On or near RAM GORSE,E01021839,Harlow 004A,Investigation complete; no suspect identified
cb00cf84d3df344628205d5075ddbd1fc64ddb6a4d85c44c5b7dcc7873eaa3f8,2013-08,Essex Police,Essex Police,0.741996,51.549265,On or near SHERWOOD WAY,E01015886,Southend-on-Sea 009D,Investigation complete; no suspect identified
cee62beabcbd91a321ae749717a270bf23d1682c810cd0c71d619c74436de8d6,2013-08,Essex Police,Essex Police,0.112455,51.757441,On or near Supermarket,E01021823,Harlow 006D,Investigation complete; no suspect identified
b2e533ade66cd8a3d5c95ad147075c8e1d9ca0d07aa0847b241488170847e8d7,2013-08,Essex Police,Essex Police,0.059744,51.617635,On or near Sports/Recreation Area,E01021750,Epping Forest 016B,Investigation complete; no suspect identified
39631caed9bc3af76addc25e7593afb83ee9b852083e1dc26e5939e505829377,2013-08,Essex Police,Essex Police,0.473208,51.727370,On or near MILDMAY ROAD,E01021579,Chelmsford 012C,Investigation complete; no suspect identified
ebc600d2433ff7e22646763e269cb8fe3a6eb501e926416fc98f4c507ba5623e,2013-08,Essex Police,Essex Police,0.617587,51.642573,On or near Parking Area,E01021613,Chelmsford 019C,Investigation complete; no suspect identified
c1f05a3ccaf1a67396784e3aee2718dc2a1c33491b58b3922d69542ddab627f9,2013-08,Essex Police,Essex Police,0.367389,51.487755,On or near ALMOND CLOSE,E01015937,Thurrock 012E,Investigation complete; no suspect identified
b57ff23c6aebbf4643fd051bede25b944321c593ffb39df86bb886435b28a860,2013-08,Essex Police,Essex Police,0.427868,51.578096,On or near COPPERFIELDS,E01021274,Basildon 010D,Investigation complete; no suspect identified
9ba88c3ada713f6f2c5f4c1c037a3e647a84866f75731a2f4dc8511786f2aedd,2013-08,Essex Police,Essex Police,0.059744,51.617635,On or near Sports/Recreation Area,E01021750,Epping Forest 016B,Investigation complete; no suspect identified
3583d0f80468ed4d71501ff4f92911ff75328799c9681372c7132fa0bd2a39a3,2013-08,Essex Police,Essex Police,0.934897,51.889888,On or near VERONICA WALK,E01021699,Colchester 008D,Investigation complete; no suspect identified
