Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3eb50f865ce36729524f3f1299f3236c24a5d193a25cb581f86e4a4f1a50e5c8,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.733172,52.043245,On or near JUBILEE ROAD,E01029915,Babergh 007D,Investigation complete; no suspect identified
9a91667d0766eea398748fcf697df0a18bc93b934d6c1893194ef962bac40293,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.350910,51.959781,On or near Parking Area,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
88fa0955a9c3d7f9c7ae7c5698a56e5fae9b6454c6f00a230a9b82001c8e7324,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.534689,52.102548,On or near MARE HILL,E01030120,St Edmundsbury 011A,Investigation complete; no suspect identified
df4e27d2dacb036dbcf881abba164db0d48f79b76065a46bba0fed0299a5a4d3,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.711568,52.240879,On or near A1302,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
e09ad6a7978746635192fcdf6ff1de86e2ed73434efc0e645f7bc5fcb43eaae3,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.253573,52.004615,On or near CHURCH LANE,E01030197,Suffolk Coastal 011B,Investigation complete; no suspect identified
cb7da06a71679f8543eb0b35a45baaeaa5e45d131683fb9b8286df6b5cdb1023,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.982161,52.187430,On or near FINBOROUGH ROAD,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
177aa05bf9df43fd3c8fec56311911e8ca730d017db13ebeeddbd2b653cfa967,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.575569,52.450467,On or near CASTLE HILL,E01030227,Waveney 010D,Investigation complete; no suspect identified
fc9c2932edebe7f4a23fabab4248d16dad11bd72c290762ecd7269067e79fcaf,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.340835,51.956065,On or near BEACH ROAD WEST,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
599f6427b856126d86c1c8fc58568e9c3a3a842b97b372d32240fd371adf41f9,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.751062,52.483595,On or near CHURCH ROAD,E01030246,Waveney 004A,Investigation complete; no suspect identified
1be8ad30303b2f08f01a42984e0b73c3ae298e8d748c89a204f804c243877e71,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.755927,52.484664,On or near Petrol Station,E01030247,Waveney 007A,Investigation complete; no suspect identified
a0451d752a1fb4ca4e4c1d291ffaa38af300f3fb8270dd4e39fea10284f23baa,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.746368,52.512932,On or near MILLS DRIVE,E01030241,Waveney 001B,Investigation complete; no suspect identified
e33a07b4aa1933d6b369e401650b0c5eea40bab276b0d5b94f9e435c359975fa,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.699310,52.266978,On or near NORTHERN WAY,E01030103,St Edmundsbury 004A,Investigation complete; no suspect identified
0641d624b285ec5091a9bdba077f0a8b4f3b442b2d0f3eddcd7981039714c32a,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.745581,52.246531,On or near ALVIS CLOSE,E01030128,St Edmundsbury 005C,Investigation complete; no suspect identified
292cee6d1a4818106445a44ac1f803501a561ce6337d7ef0e47da4abe26d84b7,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.739245,52.492263,On or near HOPELYN CLOSE,E01030277,Waveney 002C,Investigation complete; no suspect identified
8eeaeeeb489b337f3c7597903cba22cd8a7841ac83b2340afce3c0296d39d60d,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.130207,52.066304,On or near WESLEY WAY,E01030026,Ipswich 006E,Investigation complete; no suspect identified
f19d5f3714d457573b3b2d32468c25aac084f61ea89c2def38e324e04e684169,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.155500,52.049170,On or near Supermarket,E01033122,Ipswich 012F,Investigation complete; no suspect identified
afc465fe2387772bfb1355e9631ebfd66154795c383e0fbb7c65d379ea0eedc8,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.702028,52.450970,On or near BEECH ROAD,E01030236,Waveney 009B,Investigation complete; no suspect identified
4f001dfa30807848205fef09208723b5fb29f76c0838e5ba4aa949419860b288,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.404373,52.244355,On or near WELLINGTON STREET,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
d191bf216c7f7c0940f5c715154b2b7e3f18310dcd791c47414e1c98621bf459,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.354336,52.251746,On or near CLAY HILL,E01030174,Suffolk Coastal 002D,Investigation complete; no suspect identified
fba21ae9b11cfc07d2c81da6a8190f1bf88b203ce313e32befc4d88442fc7835,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.312704,52.143599,On or near POUND HILL,E01030200,Suffolk Coastal 006B,Investigation complete; no suspect identified
9239c69969ec212aaf1c9332b13fcd9dd57d2d0da6fea8253bf552160519841c,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.636639,52.172910,On or near CHURCH CLOSE,E01030100,St Edmundsbury 008B,Investigation complete; no suspect identified
4b7fd5acc854d210cdd531d10dfee4c54ac5dc79bd01be85dd9ae90b1521a72c,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.495816,52.303605,On or near FENNEL DRIVE,E01033451,Forest Heath 005D,Investigation complete; no suspect identified
3e59b387bb55b09dc07145636d4a9209c342f5cd4a5afe76a10d0bd8e3bff541,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.737683,52.239143,On or near Supermarket,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
106fbf472aaf69b411c10765a96c00d67345c9d6162ee4da421a1de008bc526f,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.986540,52.196645,On or near THOMAS ARNE CLOSE,E01030077,Mid Suffolk 008B,Investigation complete; no suspect identified
