Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
63c969ff830b6799d25aad30923aef31457e40535c549255d78bbf1d16e4fb95,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Offender given penalty notice
359db2537de9ce4ea49117237d1745fd1fa0e9e06c54ad712022b24296520142,2013-08,Warwickshire Police,Warwickshire Police,-1.711096,52.203108,On or near MAPLE GROVE,E01031228,Stratford-on-Avon 009A,Investigation complete; no suspect identified
e96f3dd4a001b8bec0249b01aaf109112603b34384f30117001e71236fb96a39,2013-08,Warwickshire Police,Warwickshire Police,-1.779695,52.294579,On or near DOCTORS LANE,E01031202,Stratford-on-Avon 002B,Investigation complete; no suspect identified
53a25d061c03b05bf50e065ac3f01d72250a5e4290b4f2c22710bd84eedfb1a3,2013-08,Warwickshire Police,Warwickshire Police,-1.707180,52.188938,On or near THE PADDOCKS,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
953fc9aced1dd9712c3889094e19dfb1f3b659ee5a0b95d3b5258f4b3fd7085a,2013-08,Warwickshire Police,Warwickshire Police,-1.728351,52.190634,On or near BELL LANE,E01031233,Stratford-on-Avon 011B,Investigation complete; no suspect identified
346b878a6d1df7b481a3e0338e90c5776ccf05ce3302420b39308a31d99b8f87,2013-08,Warwickshire Police,Warwickshire Police,-1.562326,52.316486,On or near HILL WOOTTON ROAD,E01031284,Warwick 004D,Investigation complete; no suspect identified
8b529aa5433d6af6a8fab098ec22fa9a6ead01ad8a6d56b0eff79a553d4433c0,2013-08,Warwickshire Police,Warwickshire Police,-1.719112,52.189560,On or near SHOTTERY ROAD,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
2d402656598996eaeca3a525ba4d6a77a19e0e715256fc2d8cf88443bb0887c3,2013-08,Warwickshire Police,Warwickshire Police,-1.712129,52.195028,On or near Parking Area,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
f7bf416c296b08070074d41e0319b7c4c429dd938dc1800545a9a36ff8ec169f,2013-08,Warwickshire Police,Warwickshire Police,-1.532561,52.291370,On or near KENILWORTH STREET,E01033253,Warwick 007H,Investigation complete; no suspect identified
2df596f98ee8f25fe4de2eae595f9856bf6a17660597c557120e17ba2e16dd2d,2013-08,Warwickshire Police,Warwickshire Police,-1.805312,52.176779,On or near Parking Area,E01031188,Stratford-on-Avon 007B,Investigation complete; no suspect identified
5ae6292955a630ba31515f95b814ac662c5324c60d6d41ff18268cf1e3b93abc,2013-08,Warwickshire Police,Warwickshire Police,-1.318296,52.245430,On or near ST LAWRENCE CLOSE,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
8b6e3d0be227fe9cf6f73beb786a41a51352649413f8f101a11802d467d2d9ab,2013-08,Warwickshire Police,Warwickshire Police,-1.531527,52.300383,On or near DENVILLE ROAD,E01031285,Warwick 007C,Investigation complete; no suspect identified
50ccff4b05ee279041dff3d9bb0812e7b786f002d73e658ed74d5e59f58ebc35,2013-08,Warwickshire Police,Warwickshire Police,-1.757170,52.171574,On or near CHURCH CLOSE,E01031188,Stratford-on-Avon 007B,Investigation complete; no suspect identified
3263adbf285ff8a787689d8298f689ecf7841b0069c213c985dc686d76e12570,2013-08,Warwickshire Police,Warwickshire Police,-1.703300,52.189432,On or near Sports/Recreation Area,E01031225,Stratford-on-Avon 010A,Investigation complete; no suspect identified
b87c71fe55f63f5c4d883696228cfb10ed6c75e4ddd80756c7c5f8f5a117470b,2013-08,Warwickshire Police,Warwickshire Police,-1.744850,52.121795,On or near POLAND AVENUE,E01031212,Stratford-on-Avon 014B,Investigation complete; no suspect identified
627f86f85ea68455914ef85373d67f20d5550c381fbb574303f08bb92c4a1f94,2013-08,Warwickshire Police,Warwickshire Police,-1.582481,52.341579,On or near GREVILLE ROAD,E01031256,Warwick 001C,Investigation complete; no suspect identified
8b3d2b0e7b45d97f2608ccbc50070be3cc2f760943825867fd8a62d1a8354cd6,2013-08,Warwickshire Police,Warwickshire Police,-1.473859,52.287383,On or near VILLAGE STREET,E01031301,Warwick 005E,Investigation complete; no suspect identified
8755f7f9ca5c1161ad0a66ece92fd0489bd50690803126751d134a0ca4e903ab,2013-08,Warwickshire Police,Warwickshire Police,-1.852979,52.165529,On or near ICKNIELD STREET,E01031192,Stratford-on-Avon 012D,Investigation complete; no suspect identified
393190c02d9baf2ff076421a71fd0778a78d9f673bf9645c4fb02a80fb32e516,2013-08,Warwickshire Police,Warwickshire Police,-1.535477,52.290069,On or near PARADE,E01033253,Warwick 007H,Investigation complete; no suspect identified
d90d59f5926653b4fc2ac2e11972bb5fd30654006bde71ee98e2d6925087d94d,2013-08,Warwickshire Police,Warwickshire Police,-1.520080,52.282213,On or near RAMSEY ROAD,E01031337,Warwick 010G,Investigation complete; no suspect identified
001cbeb6584c69ed5e6c7d579707f9630d55b269379d6de96fc917fc9ff40c08,2013-08,Warwickshire Police,Warwickshire Police,-1.608339,52.243970,On or near HEMMINGS MILL,E01031269,Warwick 014E,Investigation complete; no suspect identified
8c63ba060c293d85db6d5d39fb089c3cfe5e6e4a1e57b90651c5c4104a6eba09,2013-08,Warwickshire Police,Warwickshire Police,-1.472252,52.364621,On or near SISKIN PARKWAY EAST,E01031308,Warwick 005G,Investigation complete; no suspect identified
eaa618b5d3968bd03598ab6ce29b38b8ea4689150c30e04a52bda63ce97ab6b8,2013-08,Warwickshire Police,Warwickshire Police,-1.579373,52.344220,On or near Parking Area,E01031256,Warwick 001C,Investigation complete; no suspect identified
87b2b881d062c09cc3cedb3fc8894b0ba093459eaf24a042619e4c05229e7357,2013-08,Warwickshire Police,Warwickshire Police,-1.540556,52.283876,On or near OLD WARWICK ROAD,E01031265,Warwick 013E,Investigation complete; no suspect identified
8da7b5ca9485eb291793c323b0abae3c5727bb8c2ee4779ed7b805aa1a5bede0,2013-08,Warwickshire Police,Warwickshire Police,-1.593515,52.285931,On or near ANSELL WAY,E01031324,Warwick 011D,Investigation complete; no suspect identified
b030a658a8a9c7ccbf15ab807a8aa9ebcbb33913672f86afaafa5c061ff77901,2013-08,Warwickshire Police,Warwickshire Police,-1.592742,52.202174,On or near HOPKINS WAY,E01031253,Stratford-on-Avon 008G,Investigation complete; no suspect identified
f8188b5ebbd606c31b8eeec243d1f0fa7332828c5bef40261c81842975a965ee,2013-08,Warwickshire Police,Warwickshire Police,-1.857587,52.164653,On or near CHAPEL LANE,E01031192,Stratford-on-Avon 012D,Investigation complete; no suspect identified
c434959be6be542bcf356331432be4d23a4e23240b323d2f2ace0bdf960e4598,2013-08,Warwickshire Police,Warwickshire Police,-1.591911,52.283409,On or near COMMAINGE CLOSE,E01031324,Warwick 011D,Investigation complete; no suspect identified
cdeb01f5261b6a8c886064c46fba715fbca2e6a440cb0ad3a334862da3484ad2,2013-08,Warwickshire Police,Warwickshire Police,-1.587072,52.291411,On or near SCAR BANK,E01031321,Warwick 011A,Investigation complete; no suspect identified
14eacbf3269259c25a96864496b60c01903798656fce9096cc58980d37e76eec,2013-08,Warwickshire Police,Warwickshire Police,-1.540556,52.283876,On or near OLD WARWICK ROAD,E01031265,Warwick 013E,Investigation complete; no suspect identified
958abf0cd800c062df1653daa149cbcdefb395b016912ff4bdbd27a5d78e8211,2013-08,Warwickshire Police,Warwickshire Police,-1.488284,52.196976,On or near VALIANT CLOSE,E01031207,Stratford-on-Avon 013D,Investigation complete; no suspect identified
82168104e44ce08cb2526dc7f3aad790a3c4be901ab6318860412f3fc74277ee,2013-08,Warwickshire Police,Warwickshire Police,-1.593515,52.285931,On or near ANSELL WAY,E01031324,Warwick 011D,Investigation complete; no suspect identified
146de2d5eac089560e01422fdb6324a9e3fd7892ccf35f7f7eb7ad9edad8d8dc,2013-08,Warwickshire Police,Warwickshire Police,-1.610813,52.140183,On or near WARWICK ROAD,E01031196,Stratford-on-Avon 014A,Investigation complete; no suspect identified
c3aad1080703c052c3118c7b81987c7d7e1b9ee2c6753f0faba3463db010bf80,2013-08,Warwickshire Police,Warwickshire Police,-1.606482,52.241941,On or near WELLESBOURNE ROAD,E01031269,Warwick 014E,Investigation complete; no suspect identified
9706bc78d794eb0f9a190f2f1efb0a2c848b3f3e80014bc39c9d9641e6bf5ebe,2013-08,Warwickshire Police,Warwickshire Police,-1.534232,52.280184,On or near TACHBROOK ROAD,E01031266,Warwick 013F,Investigation complete; no suspect identified
c2ea61461534080d65ee808adc5fe501a75a9c7761f196776b38cd20497409f8,2013-08,Warwickshire Police,Warwickshire Police,-1.709025,52.193114,On or near MEER STREET,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
3dace3aaa33b8735010f405a8e0dd730bc9f88ff695d71713c818185c99bbf91,2013-08,Warwickshire Police,Warwickshire Police,-1.706978,52.188533,On or near SOUTHERN LANE,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
4d36271cd245fcbca02d016b62157bac8d175abd70fc007aeb534d2213074994,2013-08,Warwickshire Police,Warwickshire Police,-1.834975,52.333417,On or near DOCTORS CLOSE,E01031244,Stratford-on-Avon 001C,Investigation complete; no suspect identified
