Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3eb499fb9d28714563385f6f7fe78c77e04c8a96a375fc2b3a6e74c011a814d4,2013-08,Dorset Police,Dorset Police,-2.235570,50.799898,On or near ST MARY'S CLOSE,E01020430,North Dorset 008A,Investigation complete; no suspect identified
e9f7f270b2139d5f185cfde9368964e5f0e6530d4f921eb109a184f00c30f97b,2013-08,Dorset Police,Dorset Police,-2.165606,50.865646,On or near MARY COSSINS CLOSE,E01020435,North Dorset 007A,Investigation complete; no suspect identified
17b0f30654cb84bb22b4626b827f213506f0a8587818a9774970529e46b9f617,2013-08,Dorset Police,Dorset Police,-1.857412,50.780985,On or near Sports/Recreation Area,E01020365,Christchurch 001D,Investigation complete; no suspect identified
35db0486519c992704298192264cb55823795eab62f7bc224ff40e727bdba012,2013-08,Dorset Police,Dorset Police,-2.468714,50.610085,On or near FRANKLIN CLOSE,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
999ff58439b5d86281212a989338755e195dc55e572c3adb0d9622ae8a93b700,2013-08,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
d742e0be8fd46315d253024b4c9c2cbebfd1d5a5337c5feb369da7de8e220507,2013-08,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
6b50e176aa4734202633abefd45c7745b9d03ad4eb7da64d61843cdc6c93376b,2013-08,Dorset Police,Dorset Police,-1.925867,50.806533,On or near Shopping Area,E01020408,East Dorset 009E,Investigation complete; no suspect identified
841d184acb1d504354c98bcadc21b4a02cf698aa95e43f23d8a3d1dd8e83eb3e,2013-08,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
8dc7912055cd4776653da3e71d64a41debbf2e177d8660e5c5f5c644e3b01b77,2013-08,Dorset Police,Dorset Police,-2.456623,50.604908,On or near SPRING GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
0441916faf888e953a7374ccd3448cea35ce3865edf0dc9ed3e39f308f8681f2,2013-08,Dorset Police,Dorset Police,-2.088979,50.898597,On or near SOUTH FARM CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
fc3814937b799490316fc21393a6df2c65edd60919b412054550acbafbc6e528,2013-08,Dorset Police,Dorset Police,-2.481104,50.644207,On or near NOTTINGTON LANE,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
91462ea7e28401064879b382379d849dff0d27d8a3086f9fd348296aff9918b0,2013-08,Dorset Police,Dorset Police,-2.453400,50.607753,On or near MITCHELL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
28dbe74aa4c09c4ecd08a6267c5bfc2a8e0a7e7af5c86a37d66db0d1b49d4539,2013-08,Dorset Police,Dorset Police,-2.194561,50.942926,On or near A350,E01020460,North Dorset 005D,Investigation complete; no suspect identified
ab000b0809514e9212114e033454d623ee93a5c9c63dd03d7b03b6dfcd6663f5,2013-08,Dorset Police,Dorset Police,-2.901906,50.735155,On or near HAMMONDS MEAD,E01020511,West Dorset 005A,Investigation complete; no suspect identified
38a77c42dd83eeb49b38c91d42a8031a154d33b308e535ac75421cbebb9b3f67,2013-08,Dorset Police,Dorset Police,-2.940129,50.722650,On or near COBB ROAD,E01020532,West Dorset 005B,Investigation complete; no suspect identified
0eb0d7814123884c508ddec456deca32f41ba27cdc3ae2e7657dcaeb58842d77,2013-08,Dorset Police,Dorset Police,-2.470330,50.613379,On or near SHORT ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
5cbd5e8a91d98772d0557cf15fc5dd4ab9b10838a2487d4afaaf7873fa29ec28,2013-08,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
2e89d2f389d7a44ce0a139a3697d1f24e6d21488f461baa8a9be9b8b1357ecc1,2013-08,Dorset Police,Dorset Police,-1.734716,50.728910,On or near Parking Area,E01020356,Christchurch 007C,Investigation complete; no suspect identified
abb1907e5f92e8f00b2410fd5719d413c460d9e01fe64e17c6b186c36632e100,2013-08,Dorset Police,Dorset Police,-2.461636,50.607388,On or near Supermarket,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
1ca5ac98edef4f7c569aa168e53cd9fecd264574e4334e04ce77fbb9be7db3ae,2013-08,Dorset Police,Dorset Police,-2.159188,50.704516,On or near Park/Open Space,E01020476,Purbeck 003A,Investigation complete; no suspect identified
dc35680b62484a602f2b2fde7c8b17f6efe941fac78ff27c13210095aac84a44,2013-08,Dorset Police,Dorset Police,-2.043083,50.920060,On or near A354,E01020396,East Dorset 005A,Investigation complete; no suspect identified
2a05a6d89c6077ae5183d7e994da33e4fd0b5f57b5d40042e16b67303b131bc0,2013-08,Dorset Police,Dorset Police,-2.894244,50.745079,On or near LOWER CATHERSTON ROAD,E01020511,West Dorset 005A,Investigation complete; no suspect identified
50ab269324ca55136308e6689380a5e3d4766807cd266fd6a1d18952a1b82cdd,2013-08,Dorset Police,Dorset Police,-2.475064,50.653998,On or near WATERY LANE,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
38345c6dd471ed81402f7b155d6bc897119558838e448dd01e49ef6a618ddbde,2013-08,Dorset Police,Dorset Police,-2.189776,50.949364,On or near PARSONAGE STREET,E01020460,North Dorset 005D,Investigation complete; no suspect identified
29fa4c9a2ac225a568be2e9c0c3933753902a324232b929cfbb8d856a2ec2acc,2013-08,Dorset Police,Dorset Police,-2.468478,50.654583,On or near OLD STATION ROAD,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
