Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf2ddfc8dd7a2183f65e31b976c6fa046137bdb4848a7ebd5718ff5ad9d5dc24,2013-08,Lincolnshire Police,Lincolnshire Police,0.338967,53.233078,On or near Parking Area,E01026049,East Lindsey 010B,Investigation complete; no suspect identified
44e7eca058653240f29b0dca74e72172db274559a0495ce7da5fbacb6d997f80,2013-08,Lincolnshire Police,Lincolnshire Police,-0.557146,53.205673,On or near ST PETERS AVENUE,E01026170,Lincoln 010B,Investigation complete; no suspect identified
c672f73dbd0d7f433f83d5e8dc0ec24445421219e1384b91a9f2e399e6c0e8bf,2013-08,Lincolnshire Police,Lincolnshire Police,-0.153042,52.790930,On or near KING'S ROAD,E01032995,South Holland 006F,Investigation complete; no suspect identified
ccfffc5ccc49cf71311a026564ad5fc7c16673d1b7f8e733ef303b3dbb8bcae7,2013-08,Lincolnshire Police,Lincolnshire Police,-0.023616,52.983288,On or near NORFOLK STREET,E01026036,Boston 003D,Investigation complete; no suspect identified
da7ed3b529d694e5b08bdf6f0cada7b19b59be711eabbb02df6b4b6301ac92db,2013-08,Lincolnshire Police,Lincolnshire Police,-0.550730,53.235639,On or near YORK AVENUE,E01026145,Lincoln 005C,Investigation complete; no suspect identified
c84f7b6a347340c6d844354b48c7329319a9ab7b41ee85aa3ef141b1daf05ee2,2013-08,Lincolnshire Police,Lincolnshire Police,0.257177,53.345403,On or near SHERWOOD ROAD,E01026074,East Lindsey 005C,Investigation complete; no suspect identified
4c7f6dccdfe1c68d9184e1afc200ff15a8e76a9e0a721ece72017cf04a944dcf,2013-08,Lincolnshire Police,Lincolnshire Police,-0.058571,52.972176,On or near SWINESHEAD ROAD,E01026035,Boston 009C,Investigation complete; no suspect identified
b804aff0552df2bccb11f778ef851659dba9547f104d127de8798d30149d3426,2013-08,Lincolnshire Police,Lincolnshire Police,-0.655221,52.917593,On or near RICHMOND DRIVE,E01026320,South Kesteven 004A,Investigation complete; no suspect identified
12ce60b943c2fc72a92ff2abb8a1859d3a685c6a71f56b4d6d6e091811c0b435,2013-08,Lincolnshire Police,Lincolnshire Police,-0.538756,53.228660,On or near Shopping Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
a71a1c763a839874998360ba02cbced3f5d916923e0f8ca56b499290e16d16d6,2013-08,Lincolnshire Police,Lincolnshire Police,-0.568467,53.211482,On or near SKELLINGTHORPE ROAD,E01026136,Lincoln 008C,Investigation complete; no suspect identified
7ccbe63f8a7ddc1392c063cea721b9fdcdd5024e61c16689c2b14a7ff9d69fba,2013-08,Lincolnshire Police,Lincolnshire Police,0.344017,53.193041,On or near SEA LANE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
8f18a1c7146082f4ec5cfd38a3f09872f2611b266d7015a03a1aaa969aa34384,2013-08,Lincolnshire Police,Lincolnshire Police,-0.561063,53.073877,On or near CROSBY LANE,E01026196,North Kesteven 006D,Investigation complete; no suspect identified
93749e3ddab1c19d2c5e0ae6ffd1b41b0072c3bb9539059c4e63b328eb66cd93,2013-08,Lincolnshire Police,Lincolnshire Police,-0.363040,53.386043,On or near JACKSON'S FIELD,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
77555af0a05cebcac0f34a730e5df52e20c63ef3564894de34971870f5370b46,2013-08,Lincolnshire Police,Lincolnshire Police,-0.340524,52.895508,On or near VICTORIA STREET,E01026361,South Kesteven 008D,Investigation complete; no suspect identified
c9a5f7a88a01a1b6d0a325897c0da8af64e37e7770a5822b0917e42dde577196,2013-08,Lincolnshire Police,Lincolnshire Police,-0.128404,52.798968,On or near Shopping Area,E01026270,South Holland 007C,Investigation complete; no suspect identified
e44dc9a9baafccc6ac07450bcd2d21dcca23f2e9287cf602bca019c836bac15d,2013-08,Lincolnshire Police,Lincolnshire Police,-0.540606,53.227982,On or near Shopping Area,E01026176,Lincoln 006B,Investigation complete; no suspect identified
38f162508232735e404e93574478011424f4c1714306168b083b771cac9300c5,2013-08,Lincolnshire Police,Lincolnshire Police,-0.641903,52.908766,On or near WILLIAM STREET,E01026317,South Kesteven 006A,Investigation complete; no suspect identified
