Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
79b61fcb7110897ed89995d0233bc10de17d02f78bbf6740445fe08096c2e64a,2012-11,Thames Valley Police,Thames Valley Police,-1.239446,51.605518,On or near Police Station,E01028631,South Oxfordshire 013B,Investigation complete; no suspect identified
bcdf30aafbc414e213e6967232783e4ca20066a6eaba7b4182062ad85912f5d6,2012-11,Thames Valley Police,Thames Valley Police,-0.777552,51.340500,On or near Supermarket,E01016199,Bracknell Forest 015E,Investigation complete; no suspect identified
91ba7549da7f4cd6c52456ea13d875eac3a543919a4e672d6e0938fb73659df8,2012-11,Thames Valley Police,Thames Valley Police,-1.665281,51.580700,On or near SILVER STREET,E01028746,Vale of White Horse 016B,Investigation complete; no suspect identified
d25a7899d36e4a64da1d7bcb98261826f1fa1ca65721b9c4b9adbc53bfe30f27,2012-11,Thames Valley Police,Thames Valley Police,-0.784814,51.343839,On or near DEVON CLOSE,E01016198,Bracknell Forest 015D,Investigation complete; no suspect identified
69693865e496046ae430fec471ff6e8527aac8e145c129816fb1410ffbe22cf7,2012-11,Thames Valley Police,Thames Valley Police,-0.791629,51.370221,On or near Police Station,E01016207,Bracknell Forest 013A,Investigation complete; no suspect identified
6d6f7e9659ba460dd0ccee7bfb854f3e09130cb197f801c4e463428143fae6f9,2012-11,Thames Valley Police,Thames Valley Police,-0.779324,51.365121,On or near SOUTH ROAD,E01016207,Bracknell Forest 013A,Investigation complete; no suspect identified
ff3e77b6b5e25d58971cce940aea2c4e24176f1f67e425201c2b9c358d94016b,2012-11,Thames Valley Police,Thames Valley Police,-0.785748,51.413322,On or near SOUTH VIEW,E01016184,Bracknell Forest 002A,Investigation complete; no suspect identified
c86f18c455376bb57969f6a4f159e00b1bba04b90804de13307927c89f1fd10d,2012-11,Thames Valley Police,Thames Valley Police,-0.731195,51.403356,On or near TOWNSEND CLOSE,E01016202,Bracknell Forest 008C,Investigation complete; no suspect identified
d969ff1dabdb918f35d389be21674b06398b534e0417764dec624161c4c554e7,2012-11,Thames Valley Police,Thames Valley Police,-0.668328,51.440390,On or near HATCHET LANE,E01016252,Bracknell Forest 001C,Investigation complete; no suspect identified
cc1ebe42fc4d616c8a00208c1773d9901b68873090f9880c213af2529beee69c,2012-11,Thames Valley Police,Thames Valley Police,-0.766781,51.419229,On or near FANES CLOSE,E01016242,Bracknell Forest 004D,Investigation complete; no suspect identified
9d4c8f8c30fbdac4cb2e5e16b0bb8d5ff594f519166bff5b158e087ad900b4ac,2012-11,Thames Valley Police,Thames Valley Police,-0.754584,51.416637,On or near Hospital,E01016249,Bracknell Forest 007D,Investigation complete; no suspect identified
1a10d64aa9342bc285256aab67d8673d07e0622ccda1aa10d633b5deb55db827,2012-11,Thames Valley Police,Thames Valley Police,-0.749731,51.416351,On or near Further/Higher Educational Building,E01016249,Bracknell Forest 007D,Investigation complete; no suspect identified
