Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
482cefec29df07b12e9ad3eaa6efddba3b125c68ac8a0ac6454a3cb4f4389c8a,2012-11,Lincolnshire Police,Lincolnshire Police,-0.644862,52.913061,On or near CONDUIT LANE,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
7bd1c7503fc2a5b620e0e718005acbdb46d1f6bb99978556f04b7e92803a9b09,2012-11,Lincolnshire Police,Lincolnshire Police,-0.332267,53.497727,On or near CENTURION WAY,E01026368,West Lindsey 001B,Investigation complete; no suspect identified
d6e19c2724600e1a6153158f6ec2ba925e2eeef9bd36e4f64a22aa27c9652ed6,2012-11,Lincolnshire Police,Lincolnshire Police,-0.514998,53.303043,On or near HEATH LANE,E01026412,West Lindsey 008B,Investigation complete; no suspect identified
1025fe22a867aaa3c1c81d533a4cd4fa349b2233bf1f1c1f96a732c01c458263,2012-11,Lincolnshire Police,Lincolnshire Police,-0.040678,52.977925,On or near PRINCESS STREET,E01026032,Boston 002D,Investigation complete; no suspect identified
9cd547ca9de665ac20825d3c2c8024face9925b00f523cd98546e5a128210e3a,2012-11,Lincolnshire Police,Lincolnshire Police,0.264582,53.337728,On or near PARRY ROAD,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
9c96946cdd5c2549f4197219794bf55969b9f37750601118515084ea7d4c597f,2012-11,Lincolnshire Police,Lincolnshire Police,-0.538215,53.230011,On or near SILVER STREET,E01026122,Lincoln 004A,Investigation complete; no suspect identified
f3caec90f1df8dbdb18c67d29dc8cf3dbb41e2aa089753de0a4b6164c8b262d0,2012-11,Lincolnshire Police,Lincolnshire Police,-0.517716,53.231016,On or near FREDERICK STREET,E01026125,Lincoln 003A,Investigation complete; no suspect identified
062b61534ce203604a779f440afbf7422408c20f43959343959054240bfb5d5f,2012-11,Lincolnshire Police,Lincolnshire Police,-0.533986,53.228826,On or near BROOK STREET,E01026126,Lincoln 004D,Investigation complete; no suspect identified
da17190904374c666f4af3ecd3c750b1aafc8352742ebfbd5148e6c7ff146e96,2012-11,Lincolnshire Police,Lincolnshire Police,-0.547025,53.215834,On or near TEALBY STREET,E01026134,Lincoln 006A,Investigation complete; no suspect identified
2fcedcb4df037a2fd190e985ba8289cc32ad2c17b92a8fe137b706df92c05ff1,2012-11,Lincolnshire Police,Lincolnshire Police,-0.594024,53.218484,On or near REDWING GROVE,E01026159,Lincoln 009C,Investigation complete; no suspect identified
ca21feda7dbbce0093d5d753c22d88517838193953dcf041cccdadf5d8588975,2012-11,Lincolnshire Police,Lincolnshire Police,-0.604418,53.210209,On or near BLYTON GROVE,E01026160,Lincoln 009D,Investigation complete; no suspect identified
8b3eb07b54506a5df5acc34157626b5df8fa02d8df4f61b2b90f7581e9a22fdb,2012-11,Lincolnshire Police,Lincolnshire Police,-0.532804,53.242359,On or near BROADWAY,E01026164,Lincoln 003F,Investigation complete; no suspect identified
0c04c7f60b4e37bff9e4b45b6329f74894a030be3f9338de8420f4851bb6e9f6,2012-11,Lincolnshire Police,Lincolnshire Police,-0.542818,53.223280,On or near Parking Area,E01026176,Lincoln 006B,Investigation complete; no suspect identified
47246cc7a645ad61aeae1e1486157d26a7d4382df21cd8d5111d61fba1225a74,2012-11,Lincolnshire Police,Lincolnshire Police,-0.636996,52.912539,On or near RIVERSIDE,E01026345,South Kesteven 006F,Investigation complete; no suspect identified
15e4f762ac2bc4124f9ca8fd3da846d6a042ee323de7dee7b5b6ee9fee88b7d6,2012-11,Lincolnshire Police,Lincolnshire Police,-0.383227,52.663280,On or near SEARSON CLOSE,E01026363,South Kesteven 012D,Investigation complete; no suspect identified
a899fde3e7ae09153b9daf53b3152d4841d296f72183f1d49c42571f66f4ebeb,2012-11,Lincolnshire Police,Lincolnshire Police,-0.771837,53.392539,On or near WELLINGTON STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
8aea5bb19e052e0f9fe854a68c2b2cd18082d45ef697c50cbb9ab6efb9231e7e,2012-11,Lincolnshire Police,Lincolnshire Police,-0.033332,52.981256,On or near FYDELL STREET,E01026032,Boston 002D,Investigation complete; no suspect identified
2f655de7b0195db4945ba1741e1416f732d659c966642bfb5c0b10a2bc7e4fce,2012-11,Lincolnshire Police,Lincolnshire Police,-0.017185,53.389349,On or near CORDEAUX'S CORNER,E01026045,East Lindsey 001A,Investigation complete; no suspect identified
9ce19bd4448ccb0cd953f2f78b978ea54ceb4006f85fb6bd8196c741182050c9,2012-11,Lincolnshire Police,Lincolnshire Police,-0.060735,53.466093,On or near Sports/Recreation Area,E01026080,East Lindsey 001E,Investigation complete; no suspect identified
9e54ee874468ae393c44fff0b343e1055b83089075acabd4796416bc3adc50c4,2012-11,Lincolnshire Police,Lincolnshire Police,0.012196,53.358021,On or near ERESBIE ROAD,E01026091,East Lindsey 003F,Investigation complete; no suspect identified
ee5503fc06ef825cca66934eb8e689bc5aeb7465d961ce2c722eaa8426a0ce62,2012-11,Lincolnshire Police,Lincolnshire Police,0.092107,53.175453,On or near WOODLANDS AVENUE,E01026101,East Lindsey 013F,Investigation complete; no suspect identified
80637f0dc15b833872117d351271f16dc8659cadf9464261f22cb037df9d1baa,2012-11,Lincolnshire Police,Lincolnshire Police,-0.542977,53.227435,On or near BRAYFORD STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
6274a18f33ddc185de3e7b9ad730622fd8e452fcafe1f5da7fd2b296676f53dc,2012-11,Lincolnshire Police,Lincolnshire Police,-0.547717,53.230801,On or near BRAYFORD WAY,E01026143,Lincoln 005B,Investigation complete; no suspect identified
18087dfbbb00e8081ba49762a6305679b25f63f7597064661e5a35a981489da4,2012-11,Lincolnshire Police,Lincolnshire Police,-0.562746,53.208797,On or near BELL GROVE,E01026172,Lincoln 010C,Investigation complete; no suspect identified
aaa7f478650f9a2c6cd36797380d2750cbf3344f882a5347cdc1cdbed08333af,2012-11,Lincolnshire Police,Lincolnshire Police,-0.551048,53.208889,On or near BOUNDARY STREET,E01026175,Lincoln 010E,Investigation complete; no suspect identified
