Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0defba55c835e5d13409292fe3df4e1a46f4e9a4cf606ddfcd595044ca898e91,2012-11,Dorset Police,Dorset Police,-1.829375,50.728916,On or near COLONNADE ROAD,E01015275,Bournemouth 016C,Investigation complete; no suspect identified
061a4307ca5577500aef0d9edfafd2553891582b70540073d4bf880cd5888f38,2012-11,Dorset Police,Dorset Police,-1.932841,50.732565,On or near ALBERT ROAD,E01015392,Poole 010C,Investigation complete; no suspect identified
567aa2f4fe3421325c830b5bc9c86981d69169c2867fda1eaab54b3ef3600338,2012-11,Dorset Police,Dorset Police,-1.840753,50.745416,On or near PARKWAY DRIVE,E01015339,Bournemouth 008B,Suspect charged
4a0e37503ac6c4fc1cb9b8cf4c5473052dd7c0f5cf146bde04195ec4d43b4bfe,2012-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
77142d6db05288e474f4e252bc9c7c4d9845d7c7c1b5cb81f5a4039cc198b783,2012-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
e526e92af75e7ff852debf14be541f926c1e0b10001593389e27459c484dc30f,2012-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
4b9d12217243cf25810bb69bb515d33ad40d5eb936d10551801b6cc70407092d,2012-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
6a4a3c44e188592b4c18d4a4ffd4fefb7eb4d8fee2ed6bfb856aacfd149c1e95,2012-11,Dorset Police,Dorset Police,-1.984141,50.799209,On or near Sports/Recreation Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
12118cdb4dc1cf69153505b0b94a1db3da786ecafd665c6c969f4b43cffdeede,2012-11,Dorset Police,Dorset Police,-2.082861,50.760872,On or near CHARBOROUGH CLOSE,E01020470,Purbeck 001C,Investigation complete; no suspect identified
d1bbeb06b864550f1d1e05e72dd9ddc6361a4fd60918179ca32661a823060da1,2012-11,Dorset Police,Dorset Police,-2.509595,50.983826,On or near B3145,E01020541,West Dorset 002C,Investigation complete; no suspect identified
ee0b0dca67ba233de18c8181c91783d4bcb5b363b53313de74ce103c83f14fee,2012-11,Dorset Police,Dorset Police,-1.968829,50.607634,On or near FOXHILL CLOSE,E01020484,Purbeck 006G,Investigation complete; no suspect identified
4a02a30031b038ac593694d56e4f3d48c1fa5524d67b94f1b85ec5c050a002c0,2012-11,Dorset Police,Dorset Police,-2.534665,50.942664,On or near WYDFORD CLOSE,E01020547,West Dorset 001F,Investigation complete; no suspect identified
0cda11433a777f87c429ac452638278087d7c5c44655f55b0b845a60f59fc4a3,2012-11,Dorset Police,Dorset Police,-2.282809,50.814145,On or near Park/Open Space,E01020431,North Dorset 008B,Investigation complete; no suspect identified
c5e7ef9497c7d25ca2ec89fc42a335531a5f201adc4682626819132d0a72288a,2012-11,Dorset Police,Dorset Police,-2.272461,51.037918,On or near Police Station,E01020443,North Dorset 001A,Investigation complete; no suspect identified
442167513bef26fb74f1d82d7b1027618dec84acce4c696ca7274601dab403c3,2012-11,Dorset Police,Dorset Police,-2.193295,51.001235,On or near FRENCH MILL RISE,E01020457,North Dorset 003D,Investigation complete; no suspect identified
9d0fba01443920dca539d98775d6bb7ed3c9088e06294a2070771c4ad5b324b2,2012-11,Dorset Police,Dorset Police,-2.453804,50.608561,On or near MAIDEN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
7ca425cad8ad66e23190db884dbd7667c77f21971652fe813868c7f81348aa29,2012-11,Dorset Police,Dorset Police,-2.431414,50.550975,On or near Sports/Recreation Area,E01020563,Weymouth and Portland 008A,Investigation complete; no suspect identified
1e37c8f42fa7f1b81daed373c5a79d54d84348e79f8c7fe42ffd1689857bd46f,2012-11,Dorset Police,Dorset Police,-2.669132,50.727560,On or near DORCHESTER ROAD,E01020531,West Dorset 007C,Investigation complete; no suspect identified
