Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ead0e6512c78db6efebcd0087057174d469d5560fe456897b7d9a35306734c11,2014-02,Warwickshire Police,Warwickshire Police,-1.896426,52.274511,On or near CRENDON CLOSE,E01031240,Stratford-on-Avon 003B,Investigation complete; no suspect identified
4af616e1ebd6b982eae1a9b5d86729b04bbb019c81eacabd7c0fb62242ee794b,2014-02,Warwickshire Police,Warwickshire Police,-1.536394,52.290783,On or near Shopping Area,E01033253,Warwick 007H,Investigation complete; no suspect identified
1c6fce854f5d201137d89af7aaa4577212a31449ea628171c3a4d1ce750416a0,2014-02,Warwickshire Police,Warwickshire Police,-1.510767,52.278641,On or near WOBURN CLOSE,E01031334,Warwick 010D,Investigation complete; no suspect identified
21f4b0abcce94950b5e2496fbc3247296f552800343aff5453eb414bd41401f8,2014-02,Warwickshire Police,Warwickshire Police,-1.674894,52.195291,On or near KNIGHTS LANE,E01031227,Stratford-on-Avon 010C,Investigation complete; no suspect identified
b9979e1ef51f0db5765d1241cc9f2a44fd43043cb6852fb889c3781946e81b96,2014-02,Warwickshire Police,Warwickshire Police,-1.710951,52.193946,On or near MANSELL STREET,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
382cd6efcae82edd543f6bdb2195380428d3358b3205511e03a6d9815571eabc,2014-02,Warwickshire Police,Warwickshire Police,-1.573871,52.287436,On or near WHARF STREET,E01031319,Warwick 012E,Investigation complete; no suspect identified
9a2bf9a3663b87c72795e9fa1f5c7e8b765e2fef6fe6b17179b6ac2ef807188e,2014-02,Warwickshire Police,Warwickshire Police,-1.384760,52.251944,On or near POUND WAY,E01031219,Stratford-on-Avon 004A,Investigation complete; no suspect identified
bd30af0a31219bbaddd20a60fe082b17b5883e5afa87ecb4656edad0f80766d6,2014-02,Warwickshire Police,Warwickshire Police,-1.358852,52.270902,On or near ORCHARD GROVE,E01031223,Stratford-on-Avon 004E,Investigation complete; no suspect identified
9cfbc8c4b524eb9d4ebc61a9c8bf5cba4bfb32148fcd5288ccf1cbe7a06c8121,2014-02,Warwickshire Police,Warwickshire Police,-1.536258,52.291106,On or near Shopping Area,E01033256,Warwick 007I,Investigation complete; no suspect identified
7f20143e906c3117afa35ff9b00bdd4c09a98760eba06bf65e0f69aef07f27a6,2014-02,Warwickshire Police,Warwickshire Police,-1.536853,52.293131,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
16de0a29a42e2cad4ed691777c36362e1a1591b0f6c7ba91b09f89d1d2c40e2e,2014-02,Warwickshire Police,Warwickshire Police,-1.548932,52.278892,On or near Shopping Area,E01031315,Warwick 012A,Investigation complete; no suspect identified
6bec7a7808e3e7644d7194f508e2912ed1d411c129a3c12931fbbe867e93e7a7,2014-02,Warwickshire Police,Warwickshire Police,-1.712129,52.195028,On or near Parking Area,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
d8e614922a91af8d10f2bfb0c7663ec6556fe6d4213406600ebb4eec0bba38e8,2014-02,Warwickshire Police,Warwickshire Police,-1.548725,52.289176,On or near COPPS ROAD,E01031293,Warwick 009D,Investigation complete; no suspect identified
8889d3922f7a147f3ad6e74a662d852c5327163ae091a791d2ecdec568bfd4b5,2014-02,Warwickshire Police,Warwickshire Police,-1.533331,52.275298,On or near WINDMILL ROAD,E01031262,Warwick 013B,Investigation complete; no suspect identified
6e92fd4f392e59532a256461be12125665cb6be3dea1c67a3ef41d80f0ae3f84,2014-02,Warwickshire Police,Warwickshire Police,-1.569577,52.279724,On or near MYTON GARDENS,E01031315,Warwick 012A,Investigation complete; no suspect identified
955594e01beee26ebd24d6318d1ce62e5425ed1acbf07ee3d3298be2f1943d54,2014-02,Warwickshire Police,Warwickshire Police,-1.577307,52.342271,On or near Parking Area,E01031258,Warwick 001E,Investigation complete; no suspect identified
a638bc3968872b0640afff5cc942561fb6fa4bb0fffddf0febae02fa0108f389,2014-02,Warwickshire Police,Warwickshire Police,-1.717495,52.202458,On or near BIRMINGHAM ROAD,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
414f11caa6494c86de841e7508957804bd5fed2a6fee9112c8e7e6b691fe4b6d,2014-02,Warwickshire Police,Warwickshire Police,-1.532469,52.280545,On or near CHARLOTTE STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
5a6de863f1ef652024a9b4c934fa1df7911e1599e2c7068a79c856d2b4ba4aec,2014-02,Warwickshire Police,Warwickshire Police,-1.523547,52.266422,On or near HARROW ROAD,E01031328,Warwick 015B,Investigation complete; no suspect identified
b111b3ccbcf1653b4fe73ef59817eb0f4bafc2ab7c0ff4762b4f66a091cadb3e,2014-02,Warwickshire Police,Warwickshire Police,-1.537444,52.291245,On or near WINDSOR PLACE,E01033253,Warwick 007H,Investigation complete; no suspect identified
9b17627a993d2ffb1c06f8ca261995960f1a5cf0abeb072c8a107dd265415331,2014-02,Warwickshire Police,Warwickshire Police,-1.530823,52.265723,On or near MURCOTT ROAD WEST,E01031329,Warwick 015C,Investigation complete; no suspect identified
410ecf69d79ef29f65aea28f997cf97311343d8a920834252e0cb5c1d427e519,2014-02,Warwickshire Police,Warwickshire Police,-1.565697,52.286722,On or near Petrol Station,E01031319,Warwick 012E,Investigation complete; no suspect identified
51e04c7937d92a2e998c18484c5bca4c902533690c61ab73db3f49d56238d6ab,2014-02,Warwickshire Police,Warwickshire Police,-1.867815,52.176604,On or near ALBION TERRACE,E01031190,Stratford-on-Avon 012B,Investigation complete; no suspect identified
ebecfdcc84550cff60a94f6f64e15426959ae26f7cf844347c1a91a5f803bc4a,2014-02,Warwickshire Police,Warwickshire Police,-1.847590,52.180833,On or near GEORGE'S ELM LANE,E01031191,Stratford-on-Avon 012C,Investigation complete; no suspect identified
ddbfe0bed415f06fe51670ccb24c350773d6a7f8363e526109d9ab1b8a7fe098,2014-02,Warwickshire Police,Warwickshire Police,-1.713174,52.189456,On or near EVESHAM PLACE,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
8c818f6d46507f6305949ee00fb201e018081430fb2347f6d56791e62ec8b719,2014-02,Warwickshire Police,Warwickshire Police,-1.393326,52.167307,On or near BRIDGE STREET,E01031198,Stratford-on-Avon 005B,Investigation complete; no suspect identified
b6184cc51e5f818968d211732939be2feb05c03561f5f0cb02c08dc3a3ede3e6,2014-02,Warwickshire Police,Warwickshire Police,-1.542717,52.249074,On or near WYCHWOOD CLOSE,E01031259,Warwick 014A,Investigation complete; no suspect identified
7705b50a4a8a41241aa898033da6d37960486844011917fc430d647676cb7a82,2014-02,Warwickshire Police,Warwickshire Police,-1.577307,52.342271,On or near Parking Area,E01031258,Warwick 001E,Investigation complete; no suspect identified
7532b2e835183f28c8f34de54fee9cb5711d2a0a9bc01814823147c2b5af6217,2014-02,Warwickshire Police,Warwickshire Police,-1.630103,52.095724,On or near OLD FOSSE WAY,E01031246,Stratford-on-Avon 014D,Investigation complete; no suspect identified
e479f84fb9b42c1924fdf0ecaa6f363b88c28a198aab9b0e3e27c01619c7c4c1,2014-02,Warwickshire Police,Warwickshire Police,-1.717495,52.202458,On or near BIRMINGHAM ROAD,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
58842a3531719f221f3a071b0afb3ddea1c0f81e9222e7a5ee2d69841c87ebcb,2014-02,Warwickshire Police,Warwickshire Police,-1.780189,52.286570,On or near LITTLEWORTH,E01031202,Stratford-on-Avon 002B,Investigation complete; no suspect identified
35267c986f2a98a703030c9d4f5a7d21db23ed91dab255257c6f5acccbefe04b,2014-02,Warwickshire Police,Warwickshire Police,-1.763180,52.366873,On or near Sports/Recreation Area,E01010185,Solihull 028C,Investigation complete; no suspect identified
