Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8daf429db51d1274534d8ca8926c023bcf5c51b63aac7d66d26ec8de8c84dc72,2014-02,Lincolnshire Police,Lincolnshire Police,0.102131,53.169900,On or near LADY JANE FRANKLIN DRIVE,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
1e1a7774ec8866c410f7084d9c6766f1318ad0d0ab258a11b83c8c610dedf986,2014-02,Lincolnshire Police,Lincolnshire Police,-0.782547,53.419302,On or near GRANARY CLOSE,E01026408,West Lindsey 002F,Investigation complete; no suspect identified
0e4478f7fea40a9fa9611dfec97fdbc79aba6986de8bbb91a56188d2e5f39e31,2014-02,Lincolnshire Police,Lincolnshire Police,-0.111889,52.852822,On or near CONEY GARTH LANE,E01026276,South Holland 001E,Investigation complete; no suspect identified
12bc037737bb2bb5606c4ffadec0f966430c7d2565bbff247a7bb575cefa82b3,2014-02,Lincolnshire Police,Lincolnshire Police,-0.528456,53.233262,On or near EASTCLIFF ROAD,E01026122,Lincoln 004A,Investigation complete; no suspect identified
0e174e5250e41482eb4d0de654099cf94a409b3e6b5d7d8d3a266de5877ef77f,2014-02,Lincolnshire Police,Lincolnshire Police,-0.368714,52.836795,On or near SCARBOROUGH CLOSE,E01026290,South Kesteven 008A,Investigation complete; no suspect identified
95d4e9d34e31eae19dd2edd5700cf7cab75848706bba02bbd75e4fc3d868f3c1,2014-02,Lincolnshire Police,Lincolnshire Police,-0.631316,52.831312,On or near Parking Area,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
99c3e97f21837c9f563fae8d9bb068e0672865602756f29ad3217c3ee6f6f0ac,2014-02,Lincolnshire Police,Lincolnshire Police,-0.554090,53.232407,On or near CARHOLME ROAD,E01026146,Lincoln 005D,Investigation complete; no suspect identified
b087d24371f60088633df2c6d70d7876adcfa6489a1263e519b7ae972d89b6d6,2014-02,Lincolnshire Police,Lincolnshire Police,-0.635052,52.891579,On or near TOLLEMACHE ROAD (NORTH),E01026319,South Kesteven 006C,Investigation complete; no suspect identified
38e3e65e084aad78bbe3eca832912f7b0011196b5e51c89b5d52ecabc1db8a49,2014-02,Lincolnshire Police,Lincolnshire Police,0.034886,53.292025,On or near A16,E01026070,East Lindsey 009C,Investigation complete; no suspect identified
f427bc4b9a4bcaad7bc96b0b3f886896a7f6342f1c9d985efceae115a56505f3,2014-02,Lincolnshire Police,Lincolnshire Police,-0.026749,52.980904,On or near UNION STREET,E01026037,Boston 002E,Investigation complete; no suspect identified
224cf6382f7b6918087c4c0ada538e97f29cee6c3bbc13daa2b85511a8772a45,2014-02,Lincolnshire Police,Lincolnshire Police,-0.194977,52.853754,On or near RISEGATE ROAD,E01026276,South Holland 001E,Investigation complete; no suspect identified
8052dbebf9f27c4a92d6625f41828c1df2dde3a93783989131ecebc46cd0261d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.313353,52.679514,On or near BEAUFORT AVENUE,E01026337,South Kesteven 013D,Investigation complete; no suspect identified
0f699e0c053680f7776e00b267b70d64d289bad541da6b856f1c0ec4e2554dc2,2014-02,Lincolnshire Police,Lincolnshire Police,0.072625,53.199043,On or near PARTNEY ROAD,E01026068,East Lindsey 009B,Investigation complete; no suspect identified
f285c56d0f794c7540ce36a5a5d8ec54d61c97649a6b5491aa1aa5dbe7c8a976,2014-02,Lincolnshire Police,Lincolnshire Police,0.336022,53.144565,On or near LINCOLN ROAD,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
b68e4ace06b4c75f1f5b0493fc6eb6c279abab216543afb13eb4c6481889e25c,2014-02,Lincolnshire Police,Lincolnshire Police,-0.374040,52.803110,On or near ST JOHN'S CLOSE,E01026341,South Kesteven 008B,Investigation complete; no suspect identified
3453ac70472baef1b880996beb5a59b73890c28c91df38f2b0d41285950d1a03,2014-02,Lincolnshire Police,Lincolnshire Police,-0.767525,53.394481,On or near ENDERBY CRESCENT,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
90854e40bcad871c33db3c976ad4d9b1dccbab613d3eb8fa32870d648e772cd6,2014-02,Lincolnshire Police,Lincolnshire Police,-0.145168,52.805201,On or near EDISON COURT,E01026258,South Holland 005B,Investigation complete; no suspect identified
a35f03b2a508234abfa1151149bd5fa2d7bc46dac2204365dc6988cfeb8833c8,2014-02,Lincolnshire Police,Lincolnshire Police,-0.342058,53.381933,On or near ELM TREE CLOSE,E01026390,West Lindsey 003B,Investigation complete; no suspect identified
94c20cd0e7caf1b38643e9f69ef30eaff68b3fb8a805c91d1b7c4dca280b661e,2014-02,Lincolnshire Police,Lincolnshire Police,-0.575557,53.193642,On or near FILEY CLOSE,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
b73e14470a0ac497fbe9682a44e726247619cdf372e5b591a3a4a2c979618ee3,2014-02,Lincolnshire Police,Lincolnshire Police,-0.342058,53.381933,On or near ELM TREE CLOSE,E01026390,West Lindsey 003B,Investigation complete; no suspect identified
916de897805d869b1114db5f95d65828c7c06d129264c99d5deb67ac661e589b,2014-02,Lincolnshire Police,Lincolnshire Police,-0.153228,52.944996,On or near ABBEY CRESCENT,E01026034,Boston 006C,Investigation complete; no suspect identified
614d3cabb9b241e8328df62cb3a4c9e472daee31b0d4fabefa3291fb4e7e1d73,2014-02,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
66dea5d4c4c2620b2b2054e82ab540294a9e2be7b3c193f857152e5693d43191,2014-02,Lincolnshire Police,Lincolnshire Police,-0.614971,52.919063,On or near KEATS AVENUE,E01026328,South Kesteven 003D,Investigation complete; no suspect identified
f7c250e1565a741041330292f1efb61d09a7924eedc7358066979d4d494f27a0,2014-02,Lincolnshire Police,Lincolnshire Police,-0.143878,52.790886,On or near WILLOW ROW,E01026272,South Holland 007E,Investigation complete; no suspect identified
436bcd3471cceda255442d303ae35df8fd4e8741201806d7d9cbb22b3513d38f,2014-02,Lincolnshire Police,Lincolnshire Police,0.262747,53.335417,On or near HARRIS BOULEVARD,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
49f519b6f6fa8872368e73828921243a347bc009d205c98f662df6d3b46bd7e8,2014-02,Lincolnshire Police,Lincolnshire Police,-0.765967,53.402592,On or near WOODLAND CHASE,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
ba341d8edb63746ca8983168d179a9753f981eb20e6d0dacc4cee4096ca522a7,2014-02,Lincolnshire Police,Lincolnshire Police,-0.163541,52.796604,On or near LUCERNE CLOSE,E01026274,South Holland 006D,Investigation complete; no suspect identified
1213196e1a070ad1880e8e1ea721f8542c8865a5788760e048a02e04660a9675,2014-02,Lincolnshire Police,Lincolnshire Police,-0.131452,52.840661,On or near SCHOOL CRESCENT,E01026276,South Holland 001E,Investigation complete; no suspect identified
1348ae7c7162a022e178111dcc0c3f248a5666a5c9847eb4d8fffc623f5e41f9,2014-02,Lincolnshire Police,Lincolnshire Police,-0.575518,53.204312,On or near CONSTABLE CLOSE,E01026169,Lincoln 011G,Investigation complete; no suspect identified
c9644688a007e964ac5155da1424b4ad713b004bf2d69a6a9e1d57b3d9a93f82,2014-02,Lincolnshire Police,Lincolnshire Police,-0.685127,53.150601,On or near GREEN LANE,E01026193,North Kesteven 003C,Investigation complete; no suspect identified
83965ebf999304929ce7463026147edec4d71d1bb0cbec1101bdfeb86d5d9d3c,2014-02,Lincolnshire Police,Lincolnshire Police,-0.549216,53.216131,On or near HENLEY COURT,E01026134,Lincoln 006A,Investigation complete; no suspect identified
9fc2bf7c19046388466d13a4d617d23380cdbe33dc291aa6a6b3a93971cc8649,2014-02,Lincolnshire Police,Lincolnshire Police,-0.021334,52.963794,On or near MARSH AVENUE,E01026029,Boston 009A,Investigation complete; no suspect identified
1a67c1a381eb8bf497da00681f671177fe0d816e2cbf76e6c6b1ceb77458d78d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.459428,53.211219,On or near CHAPEL LANE,E01026205,North Kesteven 005B,Investigation complete; no suspect identified
e7aaddcd50a2bee7207b39e2ece861526cc3656d0eb43802b5f10902726b2f01,2014-02,Lincolnshire Police,Lincolnshire Police,-0.022224,52.977565,On or near Nightclub,E01026025,Boston 003C,Investigation complete; no suspect identified
