Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4f91033b0efd4925798a3f09baa2b4483337bb57e636afbed150e0f57397dde5,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.579467,54.531880,On or near ULDALE ROAD,E01019294,Copeland 005C,Investigation complete; no suspect identified
0d17ee26b558b0776ef6598a99f1d7899a90fee77ea30a00321d08fa963087ee,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.592227,54.548026,On or near HAMILTON LANE,E01019280,Copeland 002B,Investigation complete; no suspect identified
cdf2e12f0f069059eca0ec49e37f68ac8374f5688eaef7814fc8adeb9bcada46,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.264052,54.208523,On or near NEWTON STREET,E01019299,Copeland 008G,Investigation complete; no suspect identified
63123755a5adebe722403132a0d9cc4d37bd43b17aa279f8e5fd60d53c22f700,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.488103,54.540481,On or near DYKE NOOK,E01019277,Copeland 004H,Investigation complete; no suspect identified
4822a183e056dd1ca4807dad79d5618f7b1de52fa24134842d57f57a2517b937,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.492011,54.540837,On or near QUEENS CRESCENT,E01019277,Copeland 004H,Investigation complete; no suspect identified
890f3d42cbbe796abac0e2c37f9dfeac9bfd2d225a26022039ebc8ad93305057,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.492011,54.540837,On or near QUEENS CRESCENT,E01019277,Copeland 004H,Investigation complete; no suspect identified
591fbe9b66738d147d55019d9ca97bd599ba69235fc47f6bbde4a0659d5ff10c,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.264627,54.208265,On or near ROTTINGTON ROAD,E01019299,Copeland 008G,Investigation complete; no suspect identified
4929e6ea71a2d427cdedcb8af8b2154ac2cc2073f570327901e29c27154f3223,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.240642,54.272042,On or near BUCKMAN BROW,E01019293,Copeland 008E,Investigation complete; no suspect identified
6218fb78a9fedc363bdd376ba6114e5aef4e895c1b1ca9e5ca3037801710eef5,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.584068,54.544942,On or near Petrol Station,E01019281,Copeland 002C,Investigation complete; no suspect identified
feb0984d63ab89b5a65ac7bf0aebab998d05c08f7a317db85c2fab1961694dce,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.584068,54.544942,On or near Petrol Station,E01019281,Copeland 002C,Investigation complete; no suspect identified
b874a387fb846b0ed3bab32ad7f6129884c86030b0d474a25ab87cb8ba7d31fc,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.577943,54.568095,On or near RAMSEY DRIVE,E01019270,Copeland 001C,Investigation complete; no suspect identified
a4247ec5575e0862c2d7d297b0d424a078c4935243556628474a0b4857e05e69,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.438375,54.530819,On or near VICARAGE LANE,E01019276,Copeland 004G,Investigation complete; no suspect identified
699b652c497195122ae49650ed94c831538469923c0626cbe3aac6ce72021d56,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.585145,54.545998,On or near Supermarket,E01019281,Copeland 002C,Investigation complete; no suspect identified
8130c1c4cec7866eefd91d0e024f294567275025c6a9eb99800e71bef3a83a97,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.503327,54.518560,On or near GREYSTONE AVENUE,E01019263,Copeland 004B,Investigation complete; no suspect identified
19d043fd9d22bbab539e5b5a708f17bf8565616feb1ca9383e7b8847e05fe549,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.568361,54.538901,On or near BECKSIDE,E01019287,Copeland 003F,Investigation complete; no suspect identified
187754e36f32306e2d3487b0840f01be2bb8b7689cfd4b2bd09e38dd15580b19,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.588945,54.541553,On or near BACK GINNS,E01019292,Copeland 005B,Investigation complete; no suspect identified
3c8bf224cf1880ff2f12ce7adcd3433d62381fd30b4098fa7a550c79cb3abd50,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.594301,54.531425,On or near GRASMERE AVENUE,E01019302,Copeland 005G,Investigation complete; no suspect identified
5c397b8d822f2cb69e26df490037c496e28f15828eff9886f0cc8079405b475b,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.523424,54.523881,On or near LECONFIELD STREET,E01019265,Copeland 004D,Investigation complete; no suspect identified
42bde388c7d94b44ca7e9e52dc64455a3a600d6be6957b0e8dc40f3de5ad8166,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.583670,54.554214,On or near COUNTESS ROAD,E01019260,Copeland 002A,Investigation complete; no suspect identified
a32f5fcb3e0c265730c40458d537f79eb39215a0afee8afb0754381e023efb68,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.261208,54.250041,On or near Sports/Recreation Area,E01019293,Copeland 008E,Investigation complete; no suspect identified
a5b7671aba3f9a86d49b038214bdebc8ec1f7702449805d9e84611950a2f6be1,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.521959,54.523127,On or near LECONFIELD STREET,E01019265,Copeland 004D,Investigation complete; no suspect identified
75d1a36eb2fe1c8b3906b8c4bb3acdecb743e17882cb218693e4f47527f53af7,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.517165,54.518873,On or near MONTREAL CLOSE,E01019267,Copeland 004F,Investigation complete; no suspect identified
6113256d32244088bad9836eab05f1898ea21f69c1b2926ef69e8fc06be65175,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.586654,54.549016,On or near DUKE STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
21eb560fc4d1ddb2533ccfcb0ffc5b0c1ea707c23971fab1c6aa859673f336b3,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.514839,54.516538,On or near MEADLEY PLACE,E01019267,Copeland 004F,Investigation complete; no suspect identified
9080c45913cb22bedc7e982b1429da63de907f4e9c6889a50ea5f08622a7851d,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.550065,54.557373,On or near WALKMILL CLOSE,E01019297,Copeland 001D,Investigation complete; no suspect identified
7a36cb816edc38726a3697f40533d975204b05cbda970f25b629a75ba1b1609d,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.503327,54.518560,On or near GREYSTONE AVENUE,E01019263,Copeland 004B,Investigation complete; no suspect identified
ca0fbfbced213596a42a801d866c6d8546526379945e2480754c882eeef83b22,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.511142,54.518499,On or near PRIORY DRIVE,E01019267,Copeland 004F,Investigation complete; no suspect identified
602fac33ca2c66cf27d40cc253231da3625b0cb9fdba0e95f62b840c177b0e88,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.266344,54.207771,On or near EGREMONT STREET,E01019298,Copeland 008F,Investigation complete; no suspect identified
b0322f6fdc73bef80abe06f60b7a96e02f5cfc829663bc9750353c0fd1aba2b2,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.548941,54.557513,On or near HIGH MOOR ROAD,E01019297,Copeland 001D,Investigation complete; no suspect identified
240b42e5a790af97d8c5741011ff1ab469ed5b07e7a40321e599d4d69a07a6af,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.495491,54.541729,On or near GRIFFIN CLOSE,E01019277,Copeland 004H,Investigation complete; no suspect identified
3ee44465c11ea8841ec68057db577487e1253b03c939839b5a0d4d9f3db278ae,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.578161,54.525678,On or near KINNISIDE AVENUE,E01019295,Copeland 005D,Investigation complete; no suspect identified
1cf5c0eb76e05c237dfe04b508ab531117630b1cca73a754c26a4baeede63788,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.531038,54.603858,On or near WINSCALES AVENUE,E01019101,Allerdale 011C,Investigation complete; no suspect identified
01edcabec234f52600a6d445ecda25b72b976350d4b807406548d2a815e7b94f,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.517012,54.519315,On or near MONTREAL AVENUE,E01019267,Copeland 004F,Investigation complete; no suspect identified
395926e007a7cc568964fab8bf19e60b78f4f4e04b74766f8e8cb81c1a2af886,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.539461,54.484832,On or near CHAUCER AVENUE,E01019272,Copeland 006B,Investigation complete; no suspect identified
6d2c62daf7b400ad0d6e35f0b8a24ca15205c2e0471e07ac7163d32bb99de77e,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.500693,54.535211,On or near LINGLA BANK,E01019278,Copeland 004I,Investigation complete; no suspect identified
9b0d8a01c86fa8c7abc1b721d1f5b313ecba91712fbd2a0686fe2db5d9f81247,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.541538,54.514169,On or near SCHOOL STREET,E01019273,Copeland 006C,Investigation complete; no suspect identified
8fcde783f4fc11e31e9f70123e2c9eb84ea8f578a0f8d7302f7f65fedffacdea,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.577269,54.527379,On or near CROASDALE AVENUE,E01019295,Copeland 005D,Investigation complete; no suspect identified
0fdda85151f80242eb17dbc68635e55a0c8dbecd8961750c144021e2a4b9a114,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.492104,54.542544,On or near LINDOW STREET,E01019278,Copeland 004I,Investigation complete; no suspect identified
8de5f2cbbd8acfd9c273570f28a710395c3bf901035408544569c28db898a24a,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.513931,54.521223,On or near QUARRY ROAD,E01019263,Copeland 004B,Investigation complete; no suspect identified
2018a9dadc445caf05f628c75392fed74fed3fe41ae7179ec86b6ea147785f9c,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.588122,54.550192,On or near WILLIAMSON LANE,E01019280,Copeland 002B,Investigation complete; no suspect identified
19cc5efff3d7b67cc1189f50c8c3b03b9b6d7f483a4b289062d6eb2f386c693f,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.523059,54.506197,On or near EHEN HALL GARDENS,E01019266,Copeland 004E,Investigation complete; no suspect identified
f08a875ccd02761266bdc7973cb4bd5e9c3730ae9b0e45382bae21a60113df31,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.594842,54.541340,On or near RAVENHILL LANE,E01019292,Copeland 005B,Investigation complete; no suspect identified
d7d70d0f3e6aaaf2c73ecff6a5ba3fc2c9890381b347ae619137f77c3a9ba237,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.590845,54.546283,On or near JAMES STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
ba9c603f3c6be96afed49b84d192a8928d8de3035696585346a98dec703d4a7d,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.513931,54.521223,On or near QUARRY ROAD,E01019263,Copeland 004B,Investigation complete; no suspect identified
