Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
69de99ea62806b41f23107d16c4e3b539c376dc859b3e2fa8321f39392a7c0cc,2014-02,Dorset Police,Dorset Police,-1.956560,50.810712,On or near GLYNVILLE ROAD,E01020379,East Dorset 007B,Investigation complete; no suspect identified
be5d027d917d816b70199489e0758586597f950f87d27932763361a01fd3d63c,2014-02,Dorset Police,Dorset Police,-2.446327,50.709948,On or near MAUD ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
38bea7b4ea61fe8e81e7c3910eb9ae47a6c8c626e952f09fd3aa3fc5f230be1d,2014-02,Dorset Police,Dorset Police,-1.786896,50.735663,On or near MANOR ROAD,E01020368,Christchurch 006E,Investigation complete; no suspect identified
9290ee149d9db513880ad5bd47eac2bba3bc1d0f4a26f876ce57fe44b37d4691,2014-02,Dorset Police,Dorset Police,-1.702827,50.750722,On or near AMBERWOOD DRIVE,E01020358,Christchurch 003D,Investigation complete; no suspect identified
a750a39644d04df16808f8365c5e2236ed57e6ea24b526d16028afa66e29a0ba,2014-02,Dorset Police,Dorset Police,-2.438488,50.715293,On or near HIGH WEST STREET,E01032644,West Dorset 009H,Investigation complete; no suspect identified
e730ac8e055be86487fdfce099d1408ba5f799214b827209d4dbeae26c2a8cbc,2014-02,Dorset Police,Dorset Police,-1.971821,50.805465,On or near BEAUCROFT ROAD,E01020380,East Dorset 007C,Investigation complete; no suspect identified
09598afb982cc8a431fc67375c3c5e424a621694fae31c7c3db5c0f650e32ec5,2014-02,Dorset Police,Dorset Police,-1.867220,50.869069,On or near BINGHAM DRIVE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
24650519dff29a8283a7c039ab96224937ef21118d9179cadddcec8b1d111556,2014-02,Dorset Police,Dorset Police,-2.252124,50.698615,On or near CRANESMOOR CLOSE,E01020493,Purbeck 004E,Investigation complete; no suspect identified
fc24ebb9500df342457ad5fec105d8c8445e7e0444f3c24c431f5ecf4789bd59,2014-02,Dorset Police,Dorset Police,-1.798975,50.747402,On or near CANBERRA ROAD,E01020351,Christchurch 002A,Investigation complete; no suspect identified
bc99adcc6049609050e7e085e7ad961a803704973513a628e4b593f24694988e,2014-02,Dorset Police,Dorset Police,-1.865603,50.872655,On or near MEADOW WAY,E01020417,East Dorset 002B,Investigation complete; no suspect identified
0eba35f9e9e6a4c3f5c3482f5ff503eb0823429ab1feb9555576f8f2c70980e6,2014-02,Dorset Police,Dorset Police,-2.188331,51.007240,On or near CHRISTY'S GARDENS,E01020455,North Dorset 003B,Investigation complete; no suspect identified
7b97d93a7cd8b7db7baec0f9c63cd99603104ad66112744c95e748886d973c17,2014-02,Dorset Police,Dorset Police,-1.848812,50.826540,On or near BROCKWOOD,E01020406,East Dorset 004D,Investigation complete; no suspect identified
75afa0272b9029cff9907214a7a25a4f590903ef52bb87131d7b2f06ffae9a3e,2014-02,Dorset Police,Dorset Police,-2.746820,50.733167,On or near WALDITCH ROAD,E01020503,West Dorset 008B,Investigation complete; no suspect identified
3dc4d70b3b002f1d1eeeb367d8047ff6b662cb7737825a9317869cc299cc6360,2014-02,Dorset Police,Dorset Police,-2.430800,50.706356,On or near STANDFAST WALK,E01020519,West Dorset 010B,Investigation complete; no suspect identified
8f01ee2d022d594659210ca11f6c0ff2cd5a3b449455d0fc7c60827bc14fb244,2014-02,Dorset Police,Dorset Police,-1.800311,50.746667,On or near CANBERRA CLOSE,E01020351,Christchurch 002A,Investigation complete; no suspect identified
7da8693312315bec0e8c163e3db41762697960045803c9d34b15e8eb4c1b85aa,2014-02,Dorset Police,Dorset Police,-2.450065,50.711328,On or near MILFORD ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
5231ed81119f5901f5ecd2d4d91a700765107f04b1501258de3b58bda5e10fdb,2014-02,Dorset Police,Dorset Police,-2.457431,50.648844,On or near NUTHATCH CLOSE,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
9f2d70c01b50bb71c3994aaf28fff3ade3ab79def010c5abf5320b67d4968dcc,2014-02,Dorset Police,Dorset Police,-2.899598,50.737448,On or near MEADOW WAY,E01020511,West Dorset 005A,Investigation complete; no suspect identified
9a567ef05795aaf33f15978a3ebd035713657e9fe82a0ce925000a32b984ce19,2014-02,Dorset Police,Dorset Police,-1.742041,50.723675,On or near Ferry Terminal,E01020356,Christchurch 007C,Investigation complete; no suspect identified
9ba9074d6908fdb1a814827f193df508ed584bc9f519730185e770923a871455,2014-02,Dorset Police,Dorset Police,-2.470448,50.712992,On or near SHERBERTON STREET,E01032641,West Dorset 009F,Investigation complete; no suspect identified
