Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
30f128b2f39342067a1cf8638aff00730825636de50fc818cd8c98bdeccd45e0,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.478761,52.541294,On or near RECTORY LANE,E01026879,South Norfolk 008A,Investigation complete; no suspect identified
2222f94bbd07d745ffaae2ea7dc366b9fa6a71447150e1964e01525c5c869a2c,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.842103,52.774648,On or near LONDON STREET,E01026442,Breckland 002A,Investigation complete; no suspect identified
76ffe8787b3e7b513226b34f2c01a9664be18dcfc34a12622853d1dcbcfd7081,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.279908,52.645744,On or near SHORNCLIFFE AVENUE,E01026829,Norwich 002B,Investigation complete; no suspect identified
2f65fd43f70685fe135d4fd7c1be7a7bc1bf34e0efd50888a68dccd0eff81456,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.250923,52.657839,On or near Sports/Recreation Area,E01026529,Broadland 010D,Investigation complete; no suspect identified
7533932b566926c34be0cb928c40fde69de68751a1c4231cc7784f9660e19f72,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.379383,52.663470,On or near PALMER ROAD,E01026578,Broadland 008C,Investigation complete; no suspect identified
65a52bc15526f2b98971e1a2bb42f1e6a05fc1fa647ed8ea42deacfaf7548184,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
a4050329781dd132e4e70e25eae14cc3a54f58367e11760f90c17af2c01d2f27,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.890425,52.671180,On or near MAYFAIR,E01026453,Breckland 004C,Investigation complete; no suspect identified
9df0ae81efb861a436876b243a528eaf9a678b1b3ffe8c6d5649152258e4aabd,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.732733,52.582993,On or near PRIORY DROVE,E01026444,Breckland 012B,Investigation complete; no suspect identified
02f5efc5f23015a5cd550838e3a6f043f38b52aff01e266101ef95921a1a1d46,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.439143,52.750658,On or near WALLACE CLOSE,E01026664,King's Lynn and West Norfolk 010C,Investigation complete; no suspect identified
06783e4d4666cefd47b999a441ecba9acb2beedb53bb3d8278f488f3bcfb67af,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
1ebc5f68a0ab63300b2858a1f65536b95a8db81ccf94309423775d90e9b4bb34,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.419180,52.754636,On or near QUEEN MARY ROAD,E01026668,King's Lynn and West Norfolk 009C,Investigation complete; no suspect identified
69e7aea3dda3d3f542b14cc1b8207ed85b2674b474916b83ff14a58ec0b88367,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.107142,52.760372,On or near SUNBARN CLOSE,E01026547,Broadland 002E,Investigation complete; no suspect identified
938690689c90e2ace775267cccbb41eed54c702df6805b6a4e4fed85fdae1950,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.318671,52.625750,On or near HEATHSIDE ROAD,E01026849,Norwich 015B,Investigation complete; no suspect identified
a062e45d1b774aa05dff0deb7b96ef0447d5a21cffeee7474ed275e4a5d1788e,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.287517,52.632069,On or near ST SWITHINS ROAD,E01026822,Norwich 007A,Investigation complete; no suspect identified
