Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eddd9cf239ea08e75fad5cc9297ef39f0b470e30f5e4e0c2a7c42277a9857ca0,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.719823,53.296205,On or near BLUE HATCH,E01018688,Cheshire West and Chester 002D,Investigation complete; no suspect identified
3130de74c86d6db48ba86b08020c4886af1b76f0ff04c51b6a22f08e56ba611d,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.895482,53.189797,On or near LINEN HALL PLACE,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
d5a14cf7600fb6370d9677793ba04e9a2120e41abbe3d89a16c82f3284669cbc,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.724712,53.296130,On or near Supermarket,E01018688,Cheshire West and Chester 002D,Investigation complete; no suspect identified
c2392ad40f40e70421487803d40f090edd970b73d605d55ab3f35d388018754a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.417306,53.105042,On or near RHODEN STREET,E01018499,Cheshire East 038A,Investigation complete; no suspect identified
4a0bab06ad410369d4392f074d51cc1e50349615c5d5a0fef9f2182e57ed221b,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.908018,53.285769,On or near BROAD BIRCHES,E01018563,Cheshire West and Chester 007D,Investigation complete; no suspect identified
81c97c899c237428dc9eeb864527f7c2ac763e12010f775fa5eb8577d72b1762,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.882865,53.181801,On or near APPLEYARDS LANE,E01018340,Cheshire West and Chester 043D,Investigation complete; no suspect identified
cbebf98a879c23c03d7040454cc64a34a239cea3e1c6d6843b9971c7a884c2b9,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.918763,53.272725,On or near ELGAR CLOSE,E01018539,Cheshire West and Chester 010C,Investigation complete; no suspect identified
61d20d4df58dcdcd6d6af3b32a104a024a15a1893dc9da8889c4454e1b8fbdc0,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.714637,52.984133,On or near B5395,E01028892,Shropshire 001B,Investigation complete; no suspect identified
d66d0899a36581efb6ec6a24afba1b8bd9aaf71b74fcbea0498037c29a6fa77b,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.896882,53.285494,On or near Parking Area,E01018563,Cheshire West and Chester 007D,Investigation complete; no suspect identified
bd8fbfbdbf233c2b5e0c2b821f9939a19cf09d2bf3bcfe46d276c44d6f67d1de,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.898306,53.286184,On or near WILKINSON STREET NORTH,E01018564,Cheshire West and Chester 007E,Investigation complete; no suspect identified
