Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ebb17f22fd7c7500e57d11bcd7e51d38aa10a58c0af5a77948d66b4cde41868,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279476,51.654929,On or near GLENHAVEN AVENUE,E01023532,Hertsmere 007D,Investigation complete; no suspect identified
c86b30de6b38897d399d840519e4444614d9feb248fcd0c6ac5eef4cac3243ab,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.216860,51.977338,On or near DAVISON COURT,E01023631,North Hertfordshire 006B,Investigation complete; no suspect identified
1234e72adc934ba4a267def9e0aff49523c6e8b80d0618ead488f39de7c5aa3f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034245,51.700970,On or near LYNTON PARADE,E01023300,Broxbourne 010D,Defendant found not guilty
b2c1d0e2e3d4656e15bf63c420c98d9ff5d63866baf19cc79b2f32881e0b41e3,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.441352,51.755003,On or near NEW PARK DRIVE,E01023345,Dacorum 013A,Offender sent to prison
11fb25f205bedcf0b7ee77c763a3ff5165011e4e48a3358216177ac913d27c5f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279212,51.946831,On or near Shopping Area,E01023616,North Hertfordshire 012F,Defendant found not guilty
56c5c8709dd71a0639c079799cfef152b09a7b6614e4fbdf9fd76ca8b400a2b1,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.387679,51.651411,On or near Supermarket,E01023860,Watford 009B,Defendant found not guilty
41611a73c915a63e2e49bf0e64d572fdeff83a0c1361431cdf6317f938e132a2,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473723,51.752721,On or near Bus/Coach Station,E01023398,Dacorum 015D,Offender fined
a1a8b624ae1584a16dab1ed6de6b6d43b9d50b1b7364349a89dca5109f3c19bb,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060026,51.711650,On or near HOLLYBUSH WAY,E01023325,Broxbourne 009C,Court case unable to proceed
3dca1f2a2448375a3ff441e29b4b7a5e20af0479206a97645c918ee173735971,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.059480,51.696668,On or near Parking Area,E01023293,Broxbourne 011A,Offender given community sentence
3cd13eb49408a9ce97a6b22483305d57c89877afa162a4c2147619f8d13454b2,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.409552,51.648868,On or near KELMSCOTT CRESCENT,E01023863,Watford 011A,Defendant found not guilty
