Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
557187719ddbb7f04a8ed30a48bd11e15bdf35224d63ee18eda92bbd19a44873,2014-02,Greater Manchester Police,Greater Manchester Police,-2.233047,53.421915,On or near MARLOWE DRIVE,E01005172,Manchester 043A,Suspect charged
86ca05a528f4c6d836775f3503029f0709e5acfb9190a57d6d7c7bcbfdc46b80,2014-02,Greater Manchester Police,Greater Manchester Police,-2.214243,53.512769,On or near WESTBOURNE GROVE,E01005205,Manchester 006B,Local resolution
d6f5483733220645958409f3128b6d11ccc0a0b5253e8cc4f82d8b407d95f179,2014-02,Greater Manchester Police,Greater Manchester Police,-2.216645,53.596123,On or near STARKEY STREET,E01005498,Rochdale 020A,Suspect charged
7e96be084b10fc0397de3c5bcff4cfaf9d6f16ca9837787c724ff658ebe275a2,2014-02,Greater Manchester Police,Greater Manchester Police,-2.154536,53.432154,On or near CONISTON ROAD,E01005895,Stockport 003C,Suspect charged
f11b34e4ab76222dd10518efee81679a7fec3939d43d8bf7a3ccf09c752e8692,2014-02,Greater Manchester Police,Greater Manchester Police,-2.238126,53.479835,On or near Parking Area,E01033653,Manchester 055B,Suspect charged
527dd3a9b0d7f5e5861b1d80fc565514776d8f69fc9d68847c6d8d824052570c,2014-02,Greater Manchester Police,Greater Manchester Police,-2.271140,53.534145,On or near MALVERN CLOSE,E01004973,Bury 023B,Local resolution
ea17f728f06d7fd5e4bdf9e645828cd00f69936baf97f6b0341fdae41247e09b,2014-02,Greater Manchester Police,Greater Manchester Police,-2.520025,53.495075,On or near A578,E01006328,Wigan 030A,Offender given a caution
51000b530ff8a74d2381b8c04a8348e2ad5034f3a020734e918e02e620186a27,2014-02,Greater Manchester Police,Greater Manchester Police,-2.094387,53.490885,On or near SACKVILLE STREET,E01005948,Tameside 013A,Suspect charged
b5be546c43a6227f5e4587dc9a2d540cf65a4cb317953e0fb404f2bbad863f7d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.212658,53.623490,On or near MIDDLE FIELD,E01005573,Rochdale 007C,Suspect charged
d8be3af08fd3178ce99c25d040d50eeaf9cf527f780cdf4411fc5ffec4b4bb65,2014-02,Greater Manchester Police,Greater Manchester Police,-2.317328,53.423922,On or near Supermarket,E01006161,Trafford 015C,Suspect charged as part of another case
c3cc27626f326e3aaa58ce7f28751a8f12e6819ba23e8f888f0d511bf0eb667c,2014-02,Greater Manchester Police,Greater Manchester Police,-2.332171,53.418848,On or near Supermarket,E01006100,Trafford 020D,Suspect charged as part of another case
22ed7c73415b1fbe4486aa4d352ddc11dc9c3a9937d2f7145754ff55e6f7e8aa,2014-02,Greater Manchester Police,Greater Manchester Police,-2.591473,53.475561,On or near BARROWDALE ROAD,E01006342,Wigan 038C,Local resolution
25295437e10ad8c552ae1e257bdeebe5c7435bfad449e78dac9c8ad7535fa930,2014-02,Greater Manchester Police,Greater Manchester Police,-2.526763,53.499935,On or near Supermarket,E01006283,Wigan 027B,Offender given a caution
922a03ef67084ea4e6150af738b481c37dc44314fbe6787e9d4ad7549b0398dd,2014-02,Greater Manchester Police,Greater Manchester Police,-2.401453,53.524970,On or near Shopping Area,E01005708,Salford 002D,Offender given penalty notice
e4a01ebf8cf084c57aed0bb8492fb160aca264fa9f980d8f7d37947e81c6ea3a,2014-02,Greater Manchester Police,Greater Manchester Police,-2.363184,53.560165,On or near SETTLE STREET,E01004914,Bolton 024D,Local resolution
acceb70bbbf592d72a0e0a561a458456bef8bc1ec74a7b87e021508ad59f60e1,2014-02,Greater Manchester Police,Greater Manchester Police,-2.363184,53.560165,On or near SETTLE STREET,E01004914,Bolton 024D,Local resolution
e8ee36043819fce4be497e5e2ed5e4b32cde8540d5ca7e2c36fd073cbc289ada,2014-02,Greater Manchester Police,Greater Manchester Police,-2.289763,53.614340,On or near WATERFIELD CLOSE,E01004977,Bury 004B,Suspect charged
95a70c564f243647c24e312c08afb81ea27354264d0ac4db752e9dba24188b25,2014-02,Greater Manchester Police,Greater Manchester Police,-2.264669,53.490844,On or near ANTARES AVENUE,E01005610,Salford 022D,Suspect charged
66bd26d32713abb46b15366cdae738893a651924ee5c8ffa85734a8682257239,2014-02,Greater Manchester Police,Greater Manchester Police,-2.249141,53.485071,On or near SALFORD APPROACH,E01032909,Salford 022I,Suspect charged
66bd26d32713abb46b15366cdae738893a651924ee5c8ffa85734a8682257239,2014-02,Greater Manchester Police,Greater Manchester Police,-2.249141,53.485071,On or near SALFORD APPROACH,E01032909,Salford 022I,Suspect charged
66bd26d32713abb46b15366cdae738893a651924ee5c8ffa85734a8682257239,2014-02,Greater Manchester Police,Greater Manchester Police,-2.249141,53.485071,On or near SALFORD APPROACH,E01032909,Salford 022I,Suspect charged
d8af9542b30e86af7370cc1ff1f9d4c026a3133841d5a0a334463302f5c228d1,2014-02,Greater Manchester Police,Greater Manchester Police,-2.428170,53.601467,On or near ELSWORTH DRIVE,E01004767,Bolton 005B,Suspect charged
6963ce7896695834e7913b2f97991b832a09b67cb95caf7171da9571c65dd7af,2014-02,Greater Manchester Police,Greater Manchester Police,-2.231993,53.521176,On or near PELHAM PLACE,E01005161,Manchester 004C,Suspect charged
b52f04e97f0946fab643cc720b320eb3a89a9e6bde84e801ea899b0662f3595c,2014-02,Greater Manchester Police,Greater Manchester Police,-2.309420,53.445677,On or near Shopping Area,E01006180,Trafford 011D,Suspect charged as part of another case
01fa13724db51f92382b1522ef18ec753156382e656c024fc745007cf407911d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.425573,53.576147,On or near UNION BUILDINGS,E01004848,Bolton 016D,Offender given penalty notice
444826a1de1d7d5caefe00519aae481f3efb7aaaed5387dde214eecfc60d7bb9,2014-02,Greater Manchester Police,Greater Manchester Police,-2.310817,53.445197,On or near Shopping Area,E01006180,Trafford 011D,Suspect charged as part of another case
01fa13724db51f92382b1522ef18ec753156382e656c024fc745007cf407911d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.425573,53.576147,On or near UNION BUILDINGS,E01004848,Bolton 016D,Offender given penalty notice
b6c022b105505c318b07903be0355b77119183106b02004b19ed1d5d6ebafd1b,2014-02,Greater Manchester Police,Greater Manchester Police,-2.323442,53.424454,On or near Parking Area,E01006160,Trafford 015B,Suspect charged as part of another case
7d1ca2fb646df1e6521bd150577bba369b96f58b577cea35f3317bf48aac7dc0,2014-02,Greater Manchester Police,Greater Manchester Police,-2.212736,53.512943,On or near Shopping Area,E01005205,Manchester 006B,Local resolution
5175e3d5920fcfa35ccbbc79a40e239e8b2374071d10998ffdcce1823e20f24b,2014-02,Greater Manchester Police,Greater Manchester Police,-2.277790,53.485269,On or near CROSS LANE,E01005682,Salford 024D,Suspect charged
08151d8a0644daac25cc136201d587680304ce77ada2e2b87c2035353bad8c68,2014-02,Greater Manchester Police,Greater Manchester Police,-2.208750,53.453662,On or near KELSTERN SQUARE,E01005287,Manchester 026E,Suspect charged
