Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
729d0043b6157cb5820eefcf24131033d8357ea471715a146c70fd36ef9058db,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.188539,52.045258,On or near FELIXSTOWE ROAD,E01029995,Ipswich 014C,Investigation complete; no suspect identified
4b8f229c5643e5b4764ce210b195810edd1608db4e17bbb4e995161ab09fa94c,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.165299,52.069332,On or near BORROWDALE AVENUE,E01030011,Ipswich 005E,Investigation complete; no suspect identified
eb017999b05a5a679b8fa4dcd41de90d7541b6ee6b7b149542edf615fee2cbb0,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.731931,52.044659,On or near YORK CLOSE,E01029916,Babergh 007E,Investigation complete; no suspect identified
5e2ffe826cf2739940a21b79adf7453098e1dc78d754c4cdc3dd88b35a8845c9,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.154097,52.058660,On or near Parking Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
cdaccbef0398c7231ad382a157b3ded5fe23d4141fdea2b9f3da503a7ba95e75,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.126437,52.067690,On or near PITCAIRN ROAD,E01030027,Ipswich 003A,Investigation complete; no suspect identified
ada4eb0d5a949bec2983996d62eebbbf731ca6fa5fcb63f6496d671732fc7929,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.401676,52.245966,On or near ICEWELL HILL,E01029950,Forest Heath 008C,Investigation complete; no suspect identified
b29801ba265eea22cf7a6dc747f6ea8892714213108db1385de621fbae30d164,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.149864,52.058423,On or near WESTGATE STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
71234d631d4bab0932834d8f723f9ede8037d72a711140b2b045a6b1e5813255,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.126437,52.067690,On or near PITCAIRN ROAD,E01030027,Ipswich 003A,Investigation complete; no suspect identified
e239c029333cce33e766338f03b96b08dcfe928bf53f6ffc0dde0e3252931ea3,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.269361,52.330257,On or near BATTLESEA HILL,E01030082,Mid Suffolk 003B,Investigation complete; no suspect identified
97dc3e6d04ca8f85e06b3ddc509478e889fee50e1b7815c2ad4b919d1dcf105d,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.142409,52.050132,On or near GIPPESWYK ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
26e31adfef2d8d2a91f71b8e77fd0e4486d4bb63fdb0427afca70e52ebf9fafa,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.732901,52.453398,On or near CUNNINGHAM WAY,E01030272,Waveney 012E,Investigation complete; no suspect identified
3d26c1bdf6a0acbc01cc2f0d1e7450f9b33b9183b7aa543fcebad50b6197a81e,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.739264,52.468192,On or near BRUCE STREET,E01030254,Waveney 007B,Investigation complete; no suspect identified
56536bdbbac7b5b670131f1ff55862cd4a334f27af9777b45e6ea43b0edf0c8c,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.178018,52.054240,On or near DARWIN ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
09b34f2e6d07f82cae04f184ec12f60c70931a5a4822bce300563de756ef4eb8,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.148058,52.059299,On or near Supermarket,E01033125,Ipswich 007G,Investigation complete; no suspect identified
4f802f675a5a1683703ceb1d2431c55a0d221ab0f451d0fb058606270411361c,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.717559,52.456716,On or near ASPINALL CLOSE,E01030274,Waveney 008B,Investigation complete; no suspect identified
c11dd893e8430cd5e185d7388a904434d9d95f0f4b2800c9cf683e431c6450fd,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.733164,52.040250,On or near EAST STREET,E01029912,Babergh 007A,Investigation complete; no suspect identified
bc665258fbebb2f9f61695b1cb5431fb68b0e358aa21e744099f27e2a1915732,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.153454,52.047048,On or near WEBB STREET,E01029968,Ipswich 012A,Investigation complete; no suspect identified
a3092390508fe6c827064245ac0f0a9c8e9dbc5511c16bc9ca1067deea830687,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.150299,52.044084,On or near Sports/Recreation Area,E01029970,Ipswich 012C,Investigation complete; no suspect identified
8e31403024a6fbd84c4038948b7d2b0fec30e9444f481281050cc41cb133392f,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.685409,52.298401,On or near Park/Open Space,E01030135,St Edmundsbury 008E,Investigation complete; no suspect identified
c85ef5f9425094c66c2579912c792f5a9adbc2484a225125bf1fe5a1156cc05a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.189751,52.045891,On or near ASCOT DRIVE,E01029995,Ipswich 014C,Investigation complete; no suspect identified
009e9bdd6078ef5cff4ac1f1919d50bd5b9d20893ed5e43a802dff200e1c23b4,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.987511,52.184516,On or near UNDERHILL,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
66e4b5d8190e2daabbaa7283a1b0a1f498b29c5dfcea6150423c619cc06d2ba7,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.718956,52.302256,On or near THE STREET,E01030135,St Edmundsbury 008E,Investigation complete; no suspect identified
45d83d93732673fb34d76c494bee68f0234555f10360c80cf3a06d20ac5b6d2e,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.173569,52.055277,On or near WOODVILLE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
193561e4ac70adcff1cb27413d4d6e770a0094afcd11a86d5f3f6269d62f0e31,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.432770,52.313187,On or near HOLLAND RISE,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
81ae865fd9d992c98c6d3b42c0af7ff0d829455d8ea37cc9082c6acf3fb7905f,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.791888,52.272118,On or near PAKENHAM ROAD,E01030104,St Edmundsbury 004B,Investigation complete; no suspect identified
578559cefe6c53e6a9188fa965d68eda00a2d00f634cafa39e76584c9ffea2e2,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.054497,52.152338,On or near STATION YARD,E01030062,Mid Suffolk 011D,Investigation complete; no suspect identified
a6faf0818bf3c158aa001c61a4766a6ec206afe66cede2c646946c6def4fb5f1,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.447103,52.084724,On or near DEBEN ROAD,E01030105,St Edmundsbury 014A,Investigation complete; no suspect identified
206f014f17e8c518319bcfd2dcdb514929f287f15124bfe5e4cade997be99beb,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.139301,52.053021,On or near HOLMAN COURT,E01029985,Ipswich 010B,Investigation complete; no suspect identified
2d509a6fade8d15bd17cb63952f93c9ad897850121ee5266ed2bab06e792f772,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.730532,52.453941,On or near Supermarket,E01030272,Waveney 012E,Investigation complete; no suspect identified
73e2de205e929e25423734b7ba2b93f93fa822fe65b514ddfafb8080214972ef,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.738511,52.248062,On or near MOUNT ROAD,E01030127,St Edmundsbury 005B,Investigation complete; no suspect identified
fe2b4948141eed0b2a9f0ae87217a57832600209c8904071f90daddf69b0f708,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.335767,51.970537,On or near MAIDSTONE ROAD,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
d78f17fd0877a0866a243a92f0f12ec1735a34564f1cb48d16cef2d284e6100a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.127621,52.039958,On or near CLUMP FIELD,E01030018,Ipswich 015B,Investigation complete; no suspect identified
64791031691648e3d457a8db1e507c73e20b96301021375609fedddd9664e757,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.568944,52.461551,On or near GEORGE WESTWOOD WAY,E01030225,Waveney 010C,Investigation complete; no suspect identified
8f55fe02b3414f9d3e71c5bf4db3b584296ab4ff95aa9b5e1ea5e3e609f02a02,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.019917,51.977214,On or near CHAPLIN ROAD,E01029883,Babergh 010D,Investigation complete; no suspect identified
d10c3434fd42233a5e8144fe60d1364697ed43d40448512348aff35d07331efd,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.391285,52.244244,On or near HILL CLOSE,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
05bdb5550611fa28ef835933cea2e0219436783606847aae81fba83954931a76,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.580806,52.076763,On or near MALTING LANE,E01030101,St Edmundsbury 010B,Investigation complete; no suspect identified
718cac859d3011c74b4ba5d9ddda3fb24d73b869234a27698c3ca16ef791f574,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.141712,52.085290,On or near MITFORD CLOSE,E01030034,Ipswich 001C,Investigation complete; no suspect identified
84b5a95647a3abfc5c993e895ce2c4c9a70f3d185aa29d5be3e2f43ad7013815,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.251891,52.059562,On or near ST CRISPINS CLOSE,E01033444,Suffolk Coastal 010H,Investigation complete; no suspect identified
9d3b884644eb0d8cf289ed2826f2cce2994bef0553c13f6cba08068db507dd73,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.370260,51.968330,On or near MARCUS ROAD,E01030166,Suffolk Coastal 013F,Investigation complete; no suspect identified
917e2ec85ad4d9b0b32bdf1a33c7d60c0fcd2e2ad03fdbc9bee9f6099e775902,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.934030,52.171110,On or near BOROUGH LANE,E01030063,Mid Suffolk 009A,Investigation complete; no suspect identified
3652fbe20e7379369b70fcc2422ffb1b9369bf196548f3f263a155f874fe5407,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.736796,52.462180,On or near KIRKLEY PARK ROAD,E01030256,Waveney 007C,Investigation complete; no suspect identified
c5045058271c765d0e9400d39604d9b987404f05fb9f5dddf62f0640a4bbcd04,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.762499,52.066608,On or near VICARAGE LANE,E01029923,Babergh 006D,Investigation complete; no suspect identified
86b711d753a727687250c0174e32e0a7cde3fd42093b2663515a3625bb975670,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.162786,52.055046,On or near GRIMWADE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
d3e0390964fff8501a414ffe987f423a20dc5fb936abdc64eeaf34c7ecfc551e,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.868889,52.277474,On or near CHURCH VIEW,E01030040,Mid Suffolk 004A,Investigation complete; no suspect identified
e671707c7a8c94e92cc5e0884c208fbb77f34e87adf9c5b5687046bbf7df2a91,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.954965,52.044885,On or near Parking Area,E01029892,Babergh 004A,Investigation complete; no suspect identified
efaefb65aeb2e206e6636f4733ed8eea7c1e1803fb13dee3bf5383c438f17bd5,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.736592,52.466378,On or near MARTIN'S AVENUE,E01030257,Waveney 008A,Investigation complete; no suspect identified
df7e5d713a6f5481038cedc7043d90a66969222248ebfa9045cd84cc85ba52be,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.993328,52.190951,On or near FAIRFIELD HILL,E01030077,Mid Suffolk 008B,Investigation complete; no suspect identified
dd617b3f8a43e61bc6dd43369867b3de9a900eec51576fef1e348d391891431a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.457208,52.273519,On or near BROOKE DRIVE,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
c45aa9155fcc9da45152757f6f351f43363b14158f70b46af67d18dd123116e0,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.732313,52.039443,On or near Supermarket,E01029920,Babergh 007H,Investigation complete; no suspect identified
4f00e91bc8e1bce43332f583a62fdacfe34a0db4352625f8e66583269063fc8e,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.320369,52.093178,On or near Supermarket,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
a550491c2bc8faf92abf7de14636d797a9c5aa4327776f06fe7ab5c1794c6439,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.751268,52.476329,On or near Supermarket,E01030249,Waveney 004C,Investigation complete; no suspect identified
ed05a9499aa2bf2ccadff60e0c935ba5c286dc86bf4cebc39e3017831275d6fd,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.493143,52.213474,On or near CHURCH STREET,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
e03c1d3132091b4634a3d5221c9b10bb59975a5a98063e24f0bac17ad8c6bfb2,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.716695,52.254781,On or near Petrol Station,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
6afb9f2714553c98f3ca4c67321cebb26f1eecd4351269b07271f5a02053ee70,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.724122,52.035451,On or near BLACKFRIARS,E01029920,Babergh 007H,Investigation complete; no suspect identified
6cdb271e1cf76a94fd6bfef63b84ad9266f40e10ce607bda578713c348b05b4a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.746371,52.513130,On or near LINDA CLOSE,E01030241,Waveney 001B,Investigation complete; no suspect identified
15abb57c53ed10317f6ac0ce5f6092f36d87240e1be216c62363c39cf60c63b8,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.205179,52.045625,On or near Supermarket,E01029967,Ipswich 009E,Investigation complete; no suspect identified
3972c9b73ffc58fb0e15ea2c68db2b0dc88c6c39f989eefed0350328e4fb87a1,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.273037,52.064192,On or near MANOR ROAD,E01030191,Suffolk Coastal 010D,Investigation complete; no suspect identified
b3d834310ee5a1465639a268dccb8a4cacae091f8bef3c97a59f8df3cf0def4d,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.171683,52.057684,On or near BARTHOLOMEW STREET,E01029960,Ipswich 007C,Investigation complete; no suspect identified
eee425aa9068f63c88ba33b892c3cde7ee915fd3e658e7fc57bc23038fe1a482,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.052883,52.004523,On or near GARRODS,E01029904,Babergh 010F,Investigation complete; no suspect identified
4b3092be2e7b2fa9b19f1562060226684b70d4c60524a681ba0a50f5ddafa558,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.401189,52.242091,On or near HIGH STREET,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
32b19c473cb201e72244093c3a71eb5e3d22005ed243c19fc8a37d87af46cda9,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.989377,52.338165,On or near CHURCH MEADOW,E01030066,Mid Suffolk 002D,Investigation complete; no suspect identified
e60272cea29fe55a51d9b2e51abfddf75d7e5374df1fa782b9e83d58d3fc9661,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.281807,52.329624,On or near RATTLEROW HILL,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
73acc6f30cb0c8c0ab6ec2d911dd3803979c36e54ff23ab4940dedaac3325a4b,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.733605,52.493700,On or near FROSTENDEN CRESCENT,E01030279,Waveney 002D,Investigation complete; no suspect identified
59625f4aaa33f80284d2495518e6a064968066ad0cb8d474c3767844cdfd6119,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.744066,52.492461,On or near EUROPA ROAD,E01030277,Waveney 002C,Investigation complete; no suspect identified
389d59182fa6105f837415b2fb7656405d8e01c1415c75592f20c329acca45f1,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.382277,52.248652,On or near Race Track,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
57558383807c2c490e5c74ac9767e7d7a232d0594277a5f477a9a7e75b582758,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.333450,51.967373,On or near BROOM FIELD,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
d6aca513c29e67bc4aff4a6c6d65496d1f3368cc94c4974c4d1b8b49a2baedf1,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.731959,52.470276,On or near WAVENEY CRESCENT,E01030255,Waveney 005A,Investigation complete; no suspect identified
a17a21364e1075bdcde3d5eef5d500d2a9d425519c8c2996d0783451aee27c05,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.713486,52.476354,On or near BRIDGE ROAD,E01030270,Waveney 005C,Investigation complete; no suspect identified
e5c42873c0f92dcb65e7fb573f945f34fca1592b4b79ad9175b992146dfc1cdd,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.180188,52.068347,On or near LANCING AVENUE,E01029997,Ipswich 004A,Investigation complete; no suspect identified
a372e7dfdeb61ddd85c2bc6a01e480450fed37699c812b07f87dd257fe811fbc,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.171737,52.052691,On or near DEVONSHIRE ROAD,E01033123,Ipswich 011E,Investigation complete; no suspect identified
2e0ea1b3e1b08e3683e35209bfcbd8cc5f2061e222553f8f1e7695c5fd525213,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.713313,52.249301,On or near LATHBURY COURT,E01033046,St Edmundsbury 006F,Investigation complete; no suspect identified
bbc838adb018f829c998076c9a3811baee4dba1d7ceeecedec945be9692435bf,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.646358,52.305443,On or near Park/Open Space,E01030135,St Edmundsbury 008E,Investigation complete; no suspect identified
481452e3f5b28322faaac0d992bf177b2ef34a1bef91fac504ecf4292c080cc7,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.989607,52.188051,On or near LAKE SIDE,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
4a0bd25307b2a71c4f44bccd8be67593ab642e526096de0f7a23b2a9d15be716,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.713078,52.242814,On or near WHITING STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
b45cedd6e5f940b44e6f97fe60e264ac7e91242b049cdee98caa83cbe1564fe1,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.751176,52.490814,On or near SATURN CLOSE,E01030240,Waveney 001A,Investigation complete; no suspect identified
c70cd8dba5a41f7eb8be1f95aab00ea54340602ad5f1cc9c328bbc5525349db7,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.717044,52.246104,On or near NORTHGATE STREET,E01033049,St Edmundsbury 009G,Investigation complete; no suspect identified
74685116c7246109cbe9821298ad896aa0638926ddefdc95b4baefc0c1d8a9cb,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.536848,52.107664,On or near LOWER NORTH STREET,E01030120,St Edmundsbury 011A,Investigation complete; no suspect identified
d893b9f59c251f5018afff34c6a5493c4e0b0dfcb99bed6b6e7225893497317a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.126492,52.075990,On or near BROADWAY LANE,E01029976,Ipswich 002D,Investigation complete; no suspect identified
6cc9fe6c0899399f51ba795b8f33904348eb82a977d219f90434a8a16c6dcf0b,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.523913,52.351657,On or near CYPRESS CLOSE,E01029946,Forest Heath 004D,Investigation complete; no suspect identified
2609f05855b79f59ebbf3ecec4b39f56a15dcb5cfbbbe38c07b99b56f86bb478,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.329732,51.975753,On or near HIGH STREET,E01030216,Suffolk Coastal 012D,Investigation complete; no suspect identified
