Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9638e392ed78bd3a89bf45c93e80ad743e0d3b6ece420016ae8be793b962e96,2014-02,Kent Police,Kent Police,,,No location,,,Suspect charged
91837e14542c7e8d0634b75775f4b97b9496c6ff3e4bd0ab295e255fadef7ecf,2014-02,Kent Police,Kent Police,1.184618,51.077662,On or near Nightclub,E01033215,Shepway 014D,Investigation complete; no suspect identified
33840efcf2ff9e8e44ae203f04938ddc83841ec1ca2cac6e5d7c37edd5c82a2e,2014-02,Kent Police,Kent Police,1.184618,51.077662,On or near Nightclub,E01033215,Shepway 014D,Investigation complete; no suspect identified
12eac3f52cc66a7dc0a201264231f9c32993a25e9edd937b227402d203ee4401,2014-02,Kent Police,Kent Police,1.184248,51.078302,On or near MARINE TERRACE,E01033215,Shepway 014D,Investigation complete; no suspect identified
6851c6a5ae0e5731a75a9b04a0e2b543ee479035f957e944763442b81c1a73af,2014-02,Kent Police,Kent Police,1.421631,51.334999,On or near WELLESLEY COURT,E01024667,Thanet 016D,Investigation complete; no suspect identified
ca7ebcfa4d41bd8171a7db985955ac2cf7f7d79e86cad6d2d9776b60bc8bf39c,2014-02,Kent Police,Kent Police,1.392246,51.391085,On or near DALBY SQUARE,E01024657,Thanet 001A,Investigation complete; no suspect identified
6b53d8d76e7aeb3b23d50acc7bccef7258622c0f67a4c691a243f8c5a59fcecf,2014-02,Kent Police,Kent Police,1.076534,51.071555,On or near MILITARY ROAD,E01024524,Shepway 010B,Investigation complete; no suspect identified
c83bdd219fe19d120859776c65c2d6167a695bb298c1be673a4db4663e20b416,2014-02,Kent Police,Kent Police,1.183982,51.082123,On or near MARGARET STREET,E01024504,Shepway 014A,Investigation complete; no suspect identified
d9e3c4c5a513c0bb76fbc95e4fe0d4e7fcfb1aa1f197a193c7477bd818553574,2014-02,Kent Police,Kent Police,1.297572,51.149322,On or near ROKESLEY ROAD,E01024196,Dover 011D,Investigation complete; no suspect identified
942d4b7b10ad9aafda30f222cfbabac9d3286ee59e08c03aa0d4d627cc08d6b5,2014-02,Kent Police,Kent Police,1.402225,51.386064,On or near WYNDHAM AVENUE,E01024659,Thanet 001C,Investigation complete; no suspect identified
330e9e7708aee222fc6f1dcf7d937c80c26cbf72e98b292c91dd9ea898a7a0d3,2014-02,Kent Police,Kent Police,1.289789,51.216969,On or near DANE COURT,E01024200,Dover 008A,Investigation complete; no suspect identified
3862ec3ab315520538049a90f300f0f3134f6fc66aae8294e3a99c0b8825aca4,2014-02,Kent Police,Kent Police,1.052130,51.351335,On or near LISMORE ROAD,E01024058,Canterbury 005C,Investigation complete; no suspect identified
2ae0147fc0ad9cf110e31c5e136fb70675c931dc904b41690f9a9cd3df656697,2014-02,Kent Police,Kent Police,1.100261,51.288745,On or near SOUTH STREET,E01024090,Canterbury 014C,Investigation complete; no suspect identified
