Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6458b1ded2ed64adf3dd50fdad6acd3e3228f251cc3a1ecc3fa17b9d1d1fbdbf,2014-02,Surrey Police,Surrey Police,-0.418748,51.385341,On or near HIGH STREET,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
91207dd0c5c0a3d9fcdd3ac8aa10e6615b11fd1fe76cbf8f3789af63b225045e,2014-02,Surrey Police,Surrey Police,-0.421530,51.386340,On or near Parking Area,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
2e6c336a2ad34a8b99700ad21ee0e730d35dda7ffa1b6aa8771645c6b14e527b,2014-02,Surrey Police,Surrey Police,-0.464200,51.346810,On or near FERNIHOUGH CLOSE,E01030346,Elmbridge 016A,Investigation complete; no suspect identified
16ed3c396d064195f76f3f90f0667a960ab2a894e4f654f8e79cf7a132d7d972,2014-02,Surrey Police,Surrey Police,-0.466112,51.348022,On or near MAYS CLOSE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
283664b6b013f4b48dc6f2eb66bdde3585e82796997e44741d593b18c2dfcee4,2014-02,Surrey Police,Surrey Police,-0.440849,51.384953,On or near Park/Open Space,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
3d4c2ebeba0c256c2870ccd647194a85b0a3e2cc9b69cfced935c04491cae9ac,2014-02,Surrey Police,Surrey Police,-0.450745,51.372360,On or near CASTLEVIEW ROAD,E01030371,Elmbridge 012A,Investigation complete; no suspect identified
618b93c8b71b8e907ea50113e9750badeaecfdf794f2585956718278c0732d45,2014-02,Surrey Police,Surrey Police,-0.434725,51.335296,On or near SEVEN HILLS ROAD (SOUTH),E01030318,Elmbridge 014F,Investigation complete; no suspect identified
ccdfab91b96191cbe215e3f97a42220d75cfd2349d0756ff99548a3504c2b8d8,2014-02,Surrey Police,Surrey Police,-0.444269,51.365045,On or near THE GABLES,E01030349,Elmbridge 016D,Investigation complete; no suspect identified
0557a5437b02dd00da4de14a6b456380b12c4f03cd7f3a3645fe35bd9cf525a8,2014-02,Surrey Police,Surrey Police,-0.456269,51.371318,On or near SPRINGFIELD MEADOWS,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
523b3607edbbf2715d5094697631e54a57a9d48cbe87d900936bb59227847c5b,2014-02,Surrey Police,Surrey Police,-0.462626,51.372823,On or near DEVONSHIRE ROAD,E01030372,Elmbridge 012B,Investigation complete; no suspect identified
e667ba3339a588ee7c5edf499ae5cd62809aa35d90321f76b89a41289f77403f,2014-02,Surrey Police,Surrey Police,-0.454871,51.373566,On or near Parking Area,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
ac6bd3850ce57a78d87762174345703ace9e46112f97f77ee63988c4723046d1,2014-02,Surrey Police,Surrey Police,-0.457751,51.364836,On or near TRELAWNEY GROVE,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
e4f2ec896f97428b86a240f271fb5196743b95c9d4aefb11890f5886321e0a5d,2014-02,Surrey Police,Surrey Police,-0.465522,51.362672,On or near Further/Higher Educational Building,E01030376,Elmbridge 012F,Investigation complete; no suspect identified
2986b89f3049b401e549d305331f833b8dd7cb12754c88ecf15feecbe45af20a,2014-02,Surrey Police,Surrey Police,-0.364997,51.399890,On or near GLEBELANDS,E01030335,Elmbridge 003B,Investigation complete; no suspect identified
f12aad814de6a98eb4a3be1d23c91b6fb0ba2162f8344b96bc1a9df580fe0787,2014-02,Surrey Police,Surrey Police,-0.378888,51.401000,On or near UPPER FARM ROAD,E01030336,Elmbridge 003C,Investigation complete; no suspect identified
d693b804088c220e0c81c49cbc2305c36cc67987b7ae93dc74f79031b54fbd19,2014-02,Surrey Police,Surrey Police,-0.372976,51.399902,On or near ODARD ROAD,E01030337,Elmbridge 003D,Investigation complete; no suspect identified
8115d8fd6ff1c1354ad3b84f88a6c5425a82757f37fe71199da0bea0680b2cc9,2014-02,Surrey Police,Surrey Police,-0.377640,51.333450,On or near HEATH RIDGE GREEN,E01030344,Elmbridge 018D,Investigation complete; no suspect identified
072f281586cfa01297ebde495e39f3e579ea58abd6f8723f49cf1f825233f8d3,2014-02,Surrey Police,Surrey Police,-0.374688,51.333310,On or near TWINOAKS,E01030344,Elmbridge 018D,Investigation complete; no suspect identified
23829fa8a90fe2cf7579a832f5181816bb5d9f403c55e520d94fd583e4d35852,2014-02,Surrey Police,Surrey Police,-0.409255,51.392604,On or near TITHE CLOSE,E01030361,Elmbridge 004A,Investigation complete; no suspect identified
bc4cadd9642929ad51035fbc504e5ce2c6a119221cd4f3bfb3acefd9e0b834a3,2014-02,Surrey Police,Surrey Police,-0.460529,51.372363,On or near CHURCH STREET,E01030372,Elmbridge 012B,Investigation complete; no suspect identified
1436496472b34c631f798181504511c5d307ba4c46d9f976a4f1afee945b1901,2014-02,Surrey Police,Surrey Police,-0.364296,51.399008,On or near BEAUCHAMP ROAD,E01030335,Elmbridge 003B,Investigation complete; no suspect identified
bc0e240ed23b4fc938cae9759e9a565e67964245097c9aa2e76d792b86c71508,2014-02,Surrey Police,Surrey Police,-0.454423,51.378757,On or near CLINTON CLOSE,E01030373,Elmbridge 012C,Investigation complete; no suspect identified
fa4593eb5029d22d1ad426cc64b603b6ccdcb820e2165e0a350c3046dfd3af0d,2014-02,Surrey Police,Surrey Police,-0.453334,51.374409,On or near OLD PALACE ROAD,E01030371,Elmbridge 012A,Investigation complete; no suspect identified
791a19c6d791720e1507ea7825472b193be05bae084503c3cddd7d4729e67122,2014-02,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
1bc8fe0103f76adbea5247561ff90e465a8cfd0f090e21f338ebef8cf0a5af93,2014-02,Surrey Police,Surrey Police,-0.268453,51.340330,On or near POUND CLOSE,E01030384,Epsom and Ewell 005B,Investigation complete; no suspect identified
f8280dbebed7ff17b39eb4fe625266a4b8d2c4d4bf4a5d2ca6069d6f80ea2f6b,2014-02,Surrey Police,Surrey Police,-0.268453,51.340330,On or near POUND CLOSE,E01030384,Epsom and Ewell 005B,Investigation complete; no suspect identified
c341db8bf3d35d6222f50a6c396860b8ee765fb381919f5b3e9e23e3caf62e26,2014-02,Surrey Police,Surrey Police,-0.271165,51.340011,On or near EASTWAY,E01030384,Epsom and Ewell 005B,Investigation complete; no suspect identified
41d0d8361f99e300c225c690c0980fa4910ee93ed4146729ca35e2c7f4a59fec,2014-02,Surrey Police,Surrey Police,-0.257520,51.342039,On or near Petrol Station,E01030410,Epsom and Ewell 007F,Investigation complete; no suspect identified
34415b3d7376f5311d30df6d3b87662292c8a6adfc82f6b2a038331242c1efe1,2014-02,Surrey Police,Surrey Police,-0.257520,51.342039,On or near Petrol Station,E01030410,Epsom and Ewell 007F,Investigation complete; no suspect identified
497ad974f1ab3a5c5ca322edd76ad6e523232fb74d00232b561244ce563552ed,2014-02,Surrey Police,Surrey Police,-0.260560,51.334557,On or near UPPER HIGH STREET,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
0704e9ee875701cd2880b1c47b7be560d8c6d47b15b707c5edab0b76c27aaba9,2014-02,Surrey Police,Surrey Police,-0.264124,51.334070,On or near CHURCH STREET,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
dfbd66d3449b080a9cde2ec2be4236af5a0c172b3dabe4011933363743b61e01,2014-02,Surrey Police,Surrey Police,-0.260425,51.337756,On or near LINTON'S LANE,E01030410,Epsom and Ewell 007F,Investigation complete; no suspect identified
f0a83a8880215419383ddf39ea390854615e56b55600adbd88c9b5e63b6594a1,2014-02,Surrey Police,Surrey Police,-0.271326,51.333044,On or near WEST STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
1909b3de9ae00ef6251242a7c6cc1759ff0c27d56ff367a807013c50a106cc0f,2014-02,Surrey Police,Surrey Police,-0.264213,51.334000,On or near HIGH STREET,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
92056ebb0291627cbc3b73307334f684a16b32fcc6a3a0f156f0ea4e7df2f015,2014-02,Surrey Police,Surrey Police,-0.267006,51.333403,On or near HIGH STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
bff972988294318a9ef884b9af637e6f85182983390c33fa7727213ef1ae2480,2014-02,Surrey Police,Surrey Police,-0.267006,51.333403,On or near HIGH STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
