Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c439fe48c1814596f6564ebc85eea77a0c4b84cbc1036670b79adb4fba6feba1,2013-07,Dorset Police,Dorset Police,,,No location,,,Suspect charged
d4f67c637e72e0b1f6c287d8925a42a8ade06a55d991d622744d5abbcda71e20,2013-07,Dorset Police,Dorset Police,-1.880981,50.878247,On or near CHURCH HILL,E01020414,East Dorset 003D,Investigation complete; no suspect identified
f4041cdf2d7c6c2b9da26b8860da5cecbf0483b2ccab306e9e6750a6b2e9ce49,2013-07,Dorset Police,Dorset Police,-1.832517,50.777598,On or near Airport/Airfield,E01020365,Christchurch 001D,Investigation complete; no suspect identified
08c8ebad907977959a98f8709700769232015f9e872ab1b7e3d89c23724561dc,2013-07,Dorset Police,Dorset Police,-2.438291,50.707811,On or near ASHLEY ROAD,E01020523,West Dorset 010D,Investigation complete; no suspect identified
cbc8a8a841fea42bb0c8f5c105a6404c9b39a3f1092034f3aca9d273902c3f8f,2013-07,Dorset Police,Dorset Police,-2.455111,50.609330,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
d1ee8cecd79cb271c85ae1a57e44689f7b34339173d7e1360cd448acc0523392,2013-07,Dorset Police,Dorset Police,-2.438488,50.715293,On or near HIGH WEST STREET,E01032644,West Dorset 009H,Investigation complete; no suspect identified
30a7f98795b992ba6598939395e5bc32a8a26c33c6128788675b71ff3614329b,2013-07,Dorset Police,Dorset Police,-1.693529,50.750527,On or near TRESILLIAN WAY,E01020357,Christchurch 003C,Investigation complete; no suspect identified
eba35823da79cfa0f6cf99d87666e9f1497b2577d486a467477c46fd0cccee09,2013-07,Dorset Police,Dorset Police,-1.975514,50.799073,On or near FAIRFIELD ROAD,E01020427,East Dorset 010B,Investigation complete; no suspect identified
b51053ffdd6a7e8a2ca86e51cfec49543c06fe0ad5f0189065185ec3dd9cf4fb,2013-07,Dorset Police,Dorset Police,-1.868132,50.878162,On or near CRESCENT ROAD,E01020418,East Dorset 002C,Investigation complete; no suspect identified
dad7ddf31986aca2361cd1819b16685dccc30eb91ff66377001efce387ef8142,2013-07,Dorset Police,Dorset Police,-1.983246,50.801664,On or near GREENHAYS RISE,E01020426,East Dorset 010A,Investigation complete; no suspect identified
1540d1e749d5a09f6466c9a15e12f017d5eb65706d0cdb68521951fbe84fe846,2013-07,Dorset Police,Dorset Police,-2.437849,50.713523,On or near TRINITY STREET,E01032644,West Dorset 009H,Investigation complete; no suspect identified
27468646217e57f1c1b5cfe4aa402bfbc253c6ea6ef09a976918986461e62f73,2013-07,Dorset Police,Dorset Police,-2.483868,50.611786,On or near WINCHESTER CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
30f43dae0b5074779754217ada17937ee2eb07d9dec80b7066048038495db7a0,2013-07,Dorset Police,Dorset Police,-2.191624,51.007379,On or near Parking Area,E01020454,North Dorset 003A,Investigation complete; no suspect identified
58f378f37e210d172e1e49bd0efc0f118550bf1e6ee6ef8d87da6e57062af84e,2013-07,Dorset Police,Dorset Police,-2.454847,50.606866,On or near TRINITY ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
699142e77b811740f2ef0ef67fe9a3c26ab488acc1f6f38d8021fb65b15afe6e,2013-07,Dorset Police,Dorset Police,-2.436633,50.713798,On or near Shopping Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
