Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b5536efbd7c35320f6cf0ee9d82bd201e703e69c6658af98e0ade411ee517acd,2013-07,Greater Manchester Police,Greater Manchester Police,-2.229220,53.463017,On or near Parking Area,E01005062,Manchester 018B,Investigation complete; no suspect identified
dc2bb48ef0cd6cf8aa51d4c56b1a7cd17a8f3ebbe620c82db275e39a159a3811,2013-07,Greater Manchester Police,Greater Manchester Police,-2.303828,53.400452,On or near Shopping Area,E01005114,Manchester 047D,Investigation complete; no suspect identified
c8071201d42d26f6a82a313a675b202efff53b0775233c605cb3d0c9f95b7b53,2013-07,Greater Manchester Police,Greater Manchester Police,-2.260259,53.472248,On or near ARUNDEL STREET,E01033672,Manchester 059C,Investigation complete; no suspect identified
73edac37e2875a62a2a07a1ce56b5407de1d216c069421ea0be26f0e830cf624,2013-07,Greater Manchester Police,Greater Manchester Police,-2.217049,53.456919,On or near ANSON ROAD,E01005284,Manchester 026C,Investigation complete; no suspect identified
bbb844a5d9733bbe1edd3de00ee2dc3b81a26c0c374529484e484e3fc1ee49c9,2013-07,Greater Manchester Police,Greater Manchester Police,-2.288433,53.392527,On or near BANBURY ROAD,E01005070,Manchester 051B,Investigation complete; no suspect identified
8ee85d601e984b6b46f112fdb630341ce26c1cdb0c52a43f7f5fc7186bd2aa7d,2013-07,Greater Manchester Police,Greater Manchester Police,-2.195343,53.452516,On or near CAYTON STREET,E01005238,Manchester 027F,Investigation complete; no suspect identified
fa272496cf9fe419476525dcf994881b153ae8640a2178a804c1011c2bccaaa0,2013-07,Greater Manchester Police,Greater Manchester Police,-2.296031,53.390953,On or near FLOATS ROAD,E01005069,Manchester 047A,Investigation complete; no suspect identified
e8f6e08e77174d171c8c1c471da6b810301b35bbaa27e2a74325e1a0b19dc682,2013-07,Greater Manchester Police,Greater Manchester Police,-2.232249,53.416406,On or near Supermarket,E01005177,Manchester 043F,Investigation complete; no suspect identified
32c605707a8d3953dfb467d937446d67ee33fd73375fbb92dabd87d3fcac78df,2013-07,Greater Manchester Police,Greater Manchester Police,-2.300326,53.402942,On or near GATEACRE WALK,E01005116,Manchester 047E,Investigation complete; no suspect identified
d6a09bba93454cc3452cd8a8c57d912661fbd1898882fa471a60a72962fd763b,2013-07,Greater Manchester Police,Greater Manchester Police,-2.279894,53.447728,On or near KENSINGTON ROAD,E01005159,Manchester 029D,Investigation complete; no suspect identified
