Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fdbfc9940b16166f691b42c18502bbf7a78f9170271ddf2407dca89489f61319,2013-07,Northamptonshire Police,Northamptonshire Police,-1.144732,52.028766,On or near DOVEHOUSE CLOSE,E01027264,South Northamptonshire 010A,Local resolution
03ecc27cbd88814acfb2676f2b2c07f25bb42197136f01ffb4a865ba6872e09f,2013-07,Northamptonshire Police,Northamptonshire Police,-0.904081,52.271783,On or near OSLER CLOSE,E01027143,Northampton 003A,Investigation complete; no suspect identified
f43fa9907bbb5c45b34f86fce54b0a9bcbc917b5e073b887d70baa7b79c1a60a,2013-07,Northamptonshire Police,Northamptonshire Police,-0.904081,52.271783,On or near OSLER CLOSE,E01027143,Northampton 003A,Investigation complete; no suspect identified
2bcd2a25efbb422b07b13fbafe12d80d97c2ab9e5f1bef314cff8a9a197a796c,2013-07,Northamptonshire Police,Northamptonshire Police,-0.734283,52.302489,On or near BOOTH DRIVE,E01027339,Wellingborough 005A,Investigation complete; no suspect identified
f3f6603fffc6843fb0915ef6fa6dd8fc82667c4170b45571012257c2b47fca60,2013-07,Northamptonshire Police,Northamptonshire Police,-0.872450,52.255725,On or near TUDOR ROAD,E01027186,Northampton 013B,Investigation complete; no suspect identified
ba5c08723ed9282efb4142b9fefa106d439c2d2dc259f7dab956d69ca7fef445,2013-07,Northamptonshire Police,Northamptonshire Police,-0.838156,52.241610,On or near FAIRGROUND WAY,E01027140,Northampton 011A,Investigation complete; no suspect identified
81c7f7089f3f523c214a652aea6e8c19cd07b64315e440484532af2d0ecefeb9,2013-07,Northamptonshire Police,Northamptonshire Police,-0.900145,52.175492,On or near NORTHAMPTON ROAD,E01032985,South Northamptonshire 003I,Investigation complete; no suspect identified
81adaed1eaa0a428d499324c92fec0b2170c20b2ec23854365f4e8dbf2a1b95b,2013-07,Northamptonshire Police,Northamptonshire Police,-0.730083,52.408750,On or near THE GARDENS,E01027104,Kettering 007A,Investigation complete; no suspect identified
7ba2421cded40de4b818151d61b04068bf309814998c16a5ef4484644533f463,2013-07,Northamptonshire Police,Northamptonshire Police,-0.811800,52.256722,On or near CATTLE HILL,E01027142,Northampton 011B,Investigation complete; no suspect identified
a39e8d96dc382bf00533f10777d1dab1e76b0802b388d5fe7c90a9546e4ac628,2013-07,Northamptonshire Police,Northamptonshire Police,-0.728678,52.396759,On or near GEORGE STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
71062cd23c1dafd359cf6c3810f344a2c00684921a45d154b093e06f88ca0c59,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902439,52.239743,On or near UPPER CROSS STREET,E01032978,Northampton 021E,Investigation complete; no suspect identified
