Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
094ee7015518872af6111e2f44a60ddda4454c0463cfb8f6e2b80e6196ea2df1,2014-05,Dorset Police,Dorset Police,-1.818712,50.723810,On or near PORTMAN CRESCENT,E01015274,Bournemouth 018A,Investigation complete; no suspect identified
d41a52f81e9824a3931007f749c8701a1154f76933e8c76e5c83766a2f4f19cf,2014-05,Dorset Police,Dorset Police,-1.834543,50.729706,On or near GLADSTONE ROAD EAST,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
b7a3fd66326fca4029910383c351b5ef0ea381ce93a5d82deb7cddf398ac50ef,2014-05,Dorset Police,Dorset Police,-1.855749,50.726713,On or near SOUTHCOTE ROAD,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
f90adcf8218e11ba65dbda40fbc318236ea60f2cec7b2776957ec690f6c5f16a,2014-05,Dorset Police,Dorset Police,-1.962695,50.752137,On or near Pedestrian Subway,E01015415,Poole 004D,Investigation complete; no suspect identified
5b84e6a72241c64ffce977a300a0ebabe93e3c36cbc1d97ee508c5b25f34cacd,2014-05,Dorset Police,Dorset Police,-1.884192,50.763380,On or near STOUR GARDENS,E01015333,Bournemouth 003B,Investigation complete; no suspect identified
09484f4ed82729ea494790a8cea5e003b6b9de8e6b0535a2b2857fcf2447ec4d,2014-05,Dorset Police,Dorset Police,-1.978049,50.717816,On or near Bus/Coach Station,E01032659,Poole 015F,Investigation complete; no suspect identified
586531480f280579e9cbe0e3f1902ee29e56fe497798dd29aecc00dc1d82013d,2014-05,Dorset Police,Dorset Police,-1.917679,50.749137,On or near TEMPLER CLOSE,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
435a729bc63552ddff280081d8528531d497c74420af2b6f53c188b5b1df7930,2014-05,Dorset Police,Dorset Police,-1.883909,50.717356,On or near ST MICHAEL'S ROAD,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
3272015313bd55a27b08f29181b57ba41621b2fca5a95e1dea9547cc4e8c9fed,2014-05,Dorset Police,Dorset Police,-1.959853,50.726570,On or near DANECOURT ROAD,E01015457,Poole 011E,Investigation complete; no suspect identified
19e1dbfead3f693b38dcd13cb4513fe68215b132d7328dcd6d4d31b88e482aca,2014-05,Dorset Police,Dorset Police,-1.820520,50.747482,On or near Hospital,E01015319,Bournemouth 011D,Investigation complete; no suspect identified
b30abf71953a7cc5c14897aae8b8267cae0bf6c66706868e1858e172ad4fc072,2014-05,Dorset Police,Dorset Police,-1.871700,50.722082,On or near OLD CHRISTCHURCH ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
7fc19099cce656f291a05ab43b5aa8a851e89db8c6ae3b0bc71468c4fb25fc96,2014-05,Dorset Police,Dorset Police,-1.834392,50.724562,On or near WILFRED ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
